Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-19,BRK,MIL,24:10,12,0,7,True
2021-10-22,BRK,PHI,16:50,3,1,3,True
2021-10-24,BRK,CHO,18:19,5,1,4,True
2021-10-25,BRK,WAS,16:16,6,1,8,False
2021-10-27,BRK,MIA,N/A,N/A,N/A,N/A,False
2021-10-29,BRK,IND,N/A,N/A,N/A,N/A,False
2021-10-31,BRK,DET,N/A,N/A,N/A,N/A,False
2021-11-03,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-11-05,BRK,DET,N/A,N/A,N/A,N/A,False
2021-11-07,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-11-08,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-11-10,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-11-12,BRK,NOP,N/A,N/A,N/A,N/A,False
2021-11-14,BRK,OKC,N/A,N/A,N/A,N/A,False
2021-11-16,BRK,GSW,N/A,N/A,N/A,N/A,False
2021-11-17,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-11-19,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-11-22,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-11-24,BRK,BOS,N/A,N/A,N/A,N/A,False
2021-11-27,BRK,PHO,N/A,N/A,N/A,N/A,False
2021-11-30,BRK,NYK,N/A,N/A,N/A,N/A,False
2021-12-03,BRK,MIN,3:15,0,0,0,False
2021-12-04,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-12-07,BRK,DAL,20:57,6,1,9,False
2021-12-08,BRK,HOU,16:10,8,0,4,True
2021-12-10,BRK,ATL,16:44,4,0,4,False
2021-12-12,BRK,DET,23:24,2,0,2,False
2021-12-14,BRK,TOR,26:04,16,1,7,True
2021-12-16,BRK,PHI,22:01,17,0,2,True
2021-12-18,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-12-25,BRK,LAL,32:12,9,3,6,True
2021-12-27,BRK,LAC,30:21,18,2,5,True
2021-12-30,BRK,PHI,33:09,10,2,9,True
2022-01-01,BRK,LAC,22:58,13,0,10,False
2022-01-03,BRK,MEM,25:06,11,1,3,True
2022-01-05,BRK,IND,23:15,12,3,5,True
2022-01-07,BRK,MIL,25:25,14,1,6,True
2022-01-09,BRK,SAS,33:22,16,1,14,True
2022-01-10,BRK,POR,12:40,2,1,1,True
2022-01-12,BRK,CHI,N/A,N/A,N/A,N/A,False
2022-01-13,BRK,OKC,N/A,N/A,N/A,N/A,False
2022-01-15,BRK,NOP,N/A,N/A,N/A,N/A,False
2022-01-17,BRK,CLE,N/A,N/A,N/A,N/A,False
2022-01-19,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-01-21,BRK,SAS,N/A,N/A,N/A,N/A,False
2022-01-23,BRK,MIN,N/A,N/A,N/A,N/A,False
2022-01-25,BRK,LAL,17:16,6,0,6,False
2022-01-26,BRK,DEN,N/A,N/A,N/A,N/A,False
2022-01-29,BRK,GSW,17:00,9,0,8,True
2022-02-01,BRK,PHO,18:41,6,1,3,True
2022-02-02,BRK,SAC,29:21,23,1,11,True
2022-02-04,BRK,UTA,5:15,0,0,3,True
2022-02-06,BRK,DEN,N/A,N/A,N/A,N/A,False
2022-02-08,BRK,BOS,N/A,N/A,N/A,N/A,False
2022-02-10,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-02-12,BRK,MIA,N/A,N/A,N/A,N/A,False
2022-02-14,BRK,SAC,N/A,N/A,N/A,N/A,False
2022-02-16,BRK,NYK,N/A,N/A,N/A,N/A,False
2022-02-17,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-02-24,BRK,BOS,11:05,8,0,1,False
2022-02-26,BRK,MIL,N/A,N/A,N/A,N/A,False
2022-02-28,BRK,TOR,12:00,2,1,4,False
2022-03-01,BRK,TOR,23:11,8,0,5,False
2022-03-03,BRK,MIA,6:06,2,0,3,False
2022-03-06,BRK,BOS,18:04,5,1,5,False
2022-03-08,BRK,CHO,19:34,4,1,2,False
2022-03-10,BRK,PHI,21:59,9,2,8,False
2022-03-13,BRK,NYK,21:26,10,1,5,False
2022-03-15,BRK,ORL,23:40,12,2,10,False
2022-03-16,BRK,DAL,26:03,13,2,5,False
2022-03-18,BRK,POR,24:30,7,0,9,False
2022-03-21,BRK,UTA,27:32,15,4,6,True
2022-03-23,BRK,MEM,20:18,7,0,5,False
2022-03-26,BRK,MIA,18:06,10,1,6,False
2022-03-27,BRK,CHO,15:28,9,0,4,False
2022-03-29,BRK,DET,18:15,11,0,4,False
2022-03-31,BRK,MIL,23:48,11,1,8,False
2022-04-02,BRK,ATL,23:59,4,1,7,False
2022-04-05,BRK,HOU,26:36,9,0,9,False
2022-04-06,BRK,NYK,22:57,8,0,7,False
2022-04-08,BRK,CLE,15:57,4,1,5,False
2022-04-10,BRK,IND,23:22,14,4,6,False
