Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,MEM,CLE,17:10,3,1,2,False
2021-10-23,MEM,LAC,15:40,6,2,0,False
2021-10-24,MEM,LAL,17:48,3,0,3,False
2021-10-27,MEM,POR,18:52,5,0,1,False
2021-10-28,MEM,GSW,20:57,4,1,1,False
2021-10-30,MEM,MIA,15:34,5,0,2,False
2021-11-01,MEM,DEN,16:03,5,0,2,False
2021-11-03,MEM,DEN,24:27,11,1,2,False
2021-11-05,MEM,WAS,18:50,9,0,0,False
2021-11-08,MEM,MIN,N/A,N/A,N/A,N/A,False
2021-11-10,MEM,CHO,N/A,N/A,N/A,N/A,False
2021-11-12,MEM,PHO,19:17,2,0,2,False
2021-11-13,MEM,NOP,16:33,4,0,0,False
2021-11-15,MEM,HOU,17:59,3,1,3,False
2021-11-18,MEM,LAC,12:30,4,0,1,False
2021-11-20,MEM,MIN,20:57,7,0,0,False
2021-11-22,MEM,UTA,29:18,8,1,4,False
2021-11-24,MEM,TOR,21:20,3,1,0,False
2021-11-26,MEM,ATL,15:27,0,3,3,False
2021-11-28,MEM,SAC,16:43,8,1,2,False
2021-11-30,MEM,TOR,N/A,N/A,N/A,N/A,False
2021-12-02,MEM,OKC,N/A,N/A,N/A,N/A,False
2021-12-04,MEM,DAL,N/A,N/A,N/A,N/A,False
2021-12-06,MEM,MIA,3:10,0,0,0,False
2021-12-08,MEM,DAL,N/A,N/A,N/A,N/A,False
2021-12-09,MEM,LAL,N/A,N/A,N/A,N/A,False
2021-12-11,MEM,HOU,N/A,N/A,N/A,N/A,False
2021-12-13,MEM,PHI,N/A,N/A,N/A,N/A,False
2021-12-15,MEM,POR,N/A,N/A,N/A,N/A,False
2021-12-17,MEM,SAC,N/A,N/A,N/A,N/A,False
2021-12-19,MEM,POR,N/A,N/A,N/A,N/A,False
2021-12-20,MEM,OKC,N/A,N/A,N/A,N/A,False
2021-12-23,MEM,GSW,N/A,N/A,N/A,N/A,False
2021-12-26,MEM,SAC,N/A,N/A,N/A,N/A,False
2021-12-27,MEM,PHO,N/A,N/A,N/A,N/A,False
2021-12-29,MEM,LAL,N/A,N/A,N/A,N/A,False
2021-12-31,MEM,SAS,N/A,N/A,N/A,N/A,False
2022-01-03,MEM,BRK,N/A,N/A,N/A,N/A,False
2022-01-04,MEM,CLE,13:57,10,0,0,False
2022-01-06,MEM,DET,25:22,14,0,0,True
2022-01-08,MEM,LAC,19:18,7,2,3,False
2022-01-09,MEM,LAL,27:06,9,3,2,True
2022-01-11,MEM,GSW,30:25,17,2,1,True
2022-01-13,MEM,MIN,18:22,5,0,0,True
2022-01-14,MEM,DAL,29:00,7,2,3,True
2022-01-17,MEM,CHI,18:09,2,1,3,True
2022-01-19,MEM,MIL,33:07,10,1,1,True
2022-01-21,MEM,DEN,30:55,17,0,5,True
2022-01-23,MEM,DAL,23:25,9,1,1,True
2022-01-26,MEM,SAS,25:48,11,2,3,True
2022-01-28,MEM,UTA,27:17,8,0,1,True
2022-01-29,MEM,WAS,N/A,N/A,N/A,N/A,False
2022-01-31,MEM,PHI,34:11,8,2,9,True
2022-02-02,MEM,NYK,33:17,21,3,4,True
2022-02-05,MEM,ORL,25:20,11,2,1,True
2022-02-08,MEM,LAC,21:52,10,0,1,True
2022-02-10,MEM,DET,22:00,8,2,1,True
2022-02-12,MEM,CHO,23:12,4,0,0,True
2022-02-15,MEM,NOP,21:20,7,0,2,True
2022-02-16,MEM,POR,18:59,6,0,2,True
2022-02-24,MEM,MIN,27:06,21,1,4,True
2022-02-26,MEM,CHI,28:39,9,0,6,True
2022-02-28,MEM,SAS,26:16,0,1,2,True
2022-03-03,MEM,BOS,15:28,5,1,1,True
2022-03-05,MEM,ORL,22:07,8,1,3,True
2022-03-06,MEM,HOU,17:41,2,1,1,True
2022-03-08,MEM,NOP,21:50,16,1,6,True
2022-03-11,MEM,NYK,23:57,13,1,3,True
2022-03-13,MEM,OKC,21:55,11,3,3,False
2022-03-15,MEM,IND,16:27,11,0,2,False
2022-03-18,MEM,ATL,14:06,2,0,1,False
2022-03-20,MEM,HOU,22:03,14,0,3,False
2022-03-23,MEM,BRK,6:35,0,0,0,False
2022-03-24,MEM,IND,30:09,3,5,2,True
2022-03-26,MEM,MIL,17:42,7,3,3,False
2022-03-28,MEM,GSW,23:49,8,4,4,False
2022-03-30,MEM,SAS,11:03,3,0,1,False
2022-04-01,MEM,PHO,34:40,19,3,4,True
2022-04-05,MEM,UTA,35:15,9,1,0,True
2022-04-07,MEM,DEN,19:10,12,1,2,False
2022-04-09,MEM,NOP,21:49,19,2,3,False
2022-04-10,MEM,BOS,27:41,18,1,4,True
