Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-26,MIL,PHI,26:46,9,2,4,False
2023-10-29,MIL,ATL,25:57,2,3,3,True
2023-10-30,MIL,MIA,25:20,8,2,5,False
2023-11-01,MIL,TOR,25:04,9,3,1,False
2023-11-03,MIL,NYK,23:44,14,2,6,False
2023-11-06,MIL,BRK,30:18,15,0,5,False
2023-11-08,MIL,DET,37:12,10,2,5,True
2023-11-09,MIL,IND,29:09,5,1,4,False
2023-11-11,MIL,ORL,16:55,1,0,2,False
2023-11-13,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-11-15,MIL,TOR,N/A,N/A,N/A,N/A,False
2023-11-17,MIL,CHO,N/A,N/A,N/A,N/A,False
2023-11-18,MIL,DAL,N/A,N/A,N/A,N/A,False
2023-11-20,MIL,WAS,N/A,N/A,N/A,N/A,False
2023-11-22,MIL,BOS,N/A,N/A,N/A,N/A,False
2023-11-24,MIL,WAS,N/A,N/A,N/A,N/A,False
2023-11-26,MIL,POR,N/A,N/A,N/A,N/A,False
2023-11-28,MIL,MIA,N/A,N/A,N/A,N/A,False
2023-11-30,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-12-02,MIL,ATL,N/A,N/A,N/A,N/A,False
2023-12-05,MIL,NYK,N/A,N/A,N/A,N/A,False
2023-12-07,MIL,IND,N/A,N/A,N/A,N/A,False
2023-12-11,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-12-13,MIL,IND,N/A,N/A,N/A,N/A,False
2023-12-16,MIL,DET,N/A,N/A,N/A,N/A,False
2023-12-17,MIL,HOU,N/A,N/A,N/A,N/A,False
2023-12-19,MIL,SAS,N/A,N/A,N/A,N/A,False
2023-12-21,MIL,ORL,N/A,N/A,N/A,N/A,False
2023-12-23,MIL,NYK,N/A,N/A,N/A,N/A,False
2023-12-25,MIL,NYK,N/A,N/A,N/A,N/A,False
2023-12-27,MIL,BRK,N/A,N/A,N/A,N/A,False
2023-12-29,MIL,CLE,N/A,N/A,N/A,N/A,False
2024-01-01,MIL,IND,N/A,N/A,N/A,N/A,False
2024-01-03,MIL,IND,N/A,N/A,N/A,N/A,False
2024-01-04,MIL,SAS,N/A,N/A,N/A,N/A,False
2024-01-06,MIL,HOU,N/A,N/A,N/A,N/A,False
2024-01-08,MIL,UTA,N/A,N/A,N/A,N/A,False
2024-01-11,MIL,BOS,N/A,N/A,N/A,N/A,False
2024-01-13,MIL,GSW,N/A,N/A,N/A,N/A,False
2024-01-14,MIL,SAC,N/A,N/A,N/A,N/A,False
2024-01-17,MIL,CLE,19:00,15,0,1,False
2024-01-20,MIL,DET,13:48,2,0,2,False
2024-01-22,MIL,DET,11:57,3,1,2,False
2024-01-24,MIL,CLE,17:36,3,1,3,False
2024-01-26,MIL,CLE,22:11,6,0,3,False
2024-01-27,MIL,NOP,22:24,5,1,4,True
2024-01-29,MIL,DEN,19:14,3,1,0,False
2024-01-31,MIL,POR,18:32,6,2,5,False
2024-02-03,MIL,DAL,20:42,8,2,2,False
2024-02-04,MIL,UTA,40:03,6,3,2,True
2024-02-06,MIL,PHO,39:45,10,3,6,False
2024-02-08,MIL,MIN,37:21,21,5,8,True
2024-02-09,MIL,CHO,29:40,5,3,2,True
2024-02-12,MIL,DEN,22:54,2,1,1,True
2024-02-13,MIL,MIA,17:49,2,1,1,True
2024-02-15,MIL,MEM,24:08,4,0,5,True
2024-02-23,MIL,MIN,34:55,2,1,7,True
2024-02-25,MIL,PHI,25:15,0,3,8,True
2024-02-27,MIL,CHO,23:08,10,2,7,True
2024-02-29,MIL,CHO,22:37,4,1,2,True
2024-03-01,MIL,CHI,23:53,3,0,3,True
2024-03-04,MIL,LAC,18:03,3,1,2,True
2024-03-06,MIL,GSW,17:24,4,1,6,True
2024-03-08,MIL,LAL,21:13,4,0,3,True
2024-03-10,MIL,LAC,19:23,7,1,2,True
2024-03-12,MIL,SAC,15:56,0,2,0,True
2024-03-14,MIL,PHI,18:34,9,0,2,True
2024-03-17,MIL,PHO,31:51,18,0,2,True
2024-03-20,MIL,BOS,14:58,7,2,2,True
2024-03-21,MIL,BRK,29:56,6,2,3,True
2024-03-24,MIL,OKC,17:56,10,2,2,False
2024-03-26,MIL,LAL,18:15,5,0,2,False
2024-03-28,MIL,NOP,15:13,3,2,2,False
2024-03-30,MIL,ATL,13:27,5,0,2,False
2024-04-02,MIL,WAS,20:44,5,1,2,False
2024-04-03,MIL,MEM,24:59,6,0,2,True
2024-04-05,MIL,TOR,17:56,4,1,5,True
2024-04-07,MIL,NYK,15:18,0,3,2,False
2024-04-09,MIL,BOS,N/A,N/A,N/A,N/A,False
2024-04-10,MIL,ORL,30:34,14,1,4,False
2024-04-12,MIL,OKC,24:40,3,1,5,False
2024-04-14,MIL,ORL,22:04,6,0,2,False
