Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-26,OKC,CHO,N/A,N/A,N/A,N/A,False
2020-12-28,OKC,UTA,N/A,N/A,N/A,N/A,False
2020-12-29,OKC,ORL,N/A,N/A,N/A,N/A,False
2020-12-31,OKC,NOP,N/A,N/A,N/A,N/A,False
2021-01-02,OKC,ORL,N/A,N/A,N/A,N/A,False
2021-01-04,OKC,MIA,N/A,N/A,N/A,N/A,False
2021-01-06,OKC,NOP,N/A,N/A,N/A,N/A,False
2021-01-08,OKC,NYK,N/A,N/A,N/A,N/A,False
2021-01-10,OKC,BRK,N/A,N/A,N/A,N/A,False
2021-01-12,OKC,SAS,N/A,N/A,N/A,N/A,False
2021-01-13,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-01-15,OKC,CHI,N/A,N/A,N/A,N/A,False
2021-01-19,OKC,DEN,N/A,N/A,N/A,N/A,False
2021-01-22,OKC,LAC,N/A,N/A,N/A,N/A,False
2021-01-24,OKC,LAC,N/A,N/A,N/A,N/A,False
2021-01-25,OKC,POR,N/A,N/A,N/A,N/A,False
2021-01-27,OKC,PHO,N/A,N/A,N/A,N/A,False
2021-01-29,OKC,BRK,N/A,N/A,N/A,N/A,False
2021-02-01,OKC,HOU,N/A,N/A,N/A,N/A,False
2021-02-03,OKC,HOU,N/A,N/A,N/A,N/A,False
2021-02-05,OKC,MIN,N/A,N/A,N/A,N/A,False
2021-02-06,OKC,MIN,N/A,N/A,N/A,N/A,False
2021-02-08,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-02-10,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-02-12,OKC,DEN,N/A,N/A,N/A,N/A,False
2021-02-14,OKC,MIL,N/A,N/A,N/A,N/A,False
2021-02-16,OKC,POR,N/A,N/A,N/A,N/A,False
2021-02-17,OKC,MEM,N/A,N/A,N/A,N/A,False
2021-02-19,OKC,MIL,N/A,N/A,N/A,N/A,False
2021-02-21,OKC,CLE,N/A,N/A,N/A,N/A,False
2021-02-22,OKC,MIA,N/A,N/A,N/A,N/A,False
2021-02-24,OKC,SAS,N/A,N/A,N/A,N/A,False
2021-02-26,OKC,ATL,22:05,9,7,5,False
2021-02-27,OKC,DEN,29:47,15,2,1,False
2021-03-03,OKC,DAL,28:35,13,2,3,False
2021-03-04,OKC,SAS,19:20,0,2,2,False
2021-03-11,OKC,DAL,26:58,3,1,6,False
2021-03-13,OKC,NYK,28:20,11,5,5,False
2021-03-14,OKC,MEM,29:33,12,5,6,True
2021-03-16,OKC,CHI,29:25,11,3,1,False
2021-03-18,OKC,ATL,24:22,18,2,1,False
2021-03-21,OKC,HOU,28:13,2,5,4,False
2021-03-22,OKC,MIN,25:55,15,6,4,False
2021-03-24,OKC,MEM,21:09,11,3,3,False
2021-03-27,OKC,BOS,21:41,7,1,0,False
2021-03-29,OKC,DAL,29:56,11,5,3,False
2021-03-31,OKC,TOR,N/A,N/A,N/A,N/A,False
2021-04-02,OKC,PHO,17:47,5,3,2,False
2021-04-03,OKC,POR,25:52,7,4,3,False
2021-04-05,OKC,DET,27:41,10,5,3,False
2021-04-07,OKC,CHO,19:57,1,4,1,False
2021-04-08,OKC,CLE,31:40,23,3,3,False
2021-04-10,OKC,PHI,21:49,12,5,4,False
2021-04-13,OKC,UTA,19:16,14,2,2,False
2021-04-14,OKC,GSW,21:17,10,3,2,False
2021-04-16,OKC,DET,18:54,9,3,2,False
2021-04-18,OKC,TOR,19:36,9,6,2,False
2021-04-19,OKC,WAS,20:15,11,3,5,False
2021-04-21,OKC,IND,21:12,9,5,0,False
2021-04-23,OKC,WAS,19:04,7,4,3,False
2021-04-26,OKC,PHI,30:59,22,2,2,False
2021-04-27,OKC,BOS,23:47,15,3,4,False
2021-04-29,OKC,NOP,18:56,5,4,2,False
2021-05-01,OKC,IND,N/A,N/A,N/A,N/A,False
2021-05-02,OKC,PHO,22:45,15,5,2,False
2021-05-04,OKC,SAC,19:18,8,4,1,False
2021-05-06,OKC,GSW,22:21,23,3,4,False
2021-05-08,OKC,GSW,N/A,N/A,N/A,N/A,False
2021-05-09,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-05-11,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-05-14,OKC,UTA,N/A,N/A,N/A,N/A,False
2021-05-16,OKC,LAC,N/A,N/A,N/A,N/A,False
