Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,TOR,CLE,25:24,14,5,2,False
2018-10-19,TOR,BOS,27:43,11,7,6,False
2018-10-20,TOR,WAS,26:44,13,5,4,False
2018-10-22,TOR,CHO,18:41,8,4,0,False
2018-10-24,TOR,MIN,N/A,N/A,N/A,N/A,False
2018-10-26,TOR,DAL,N/A,N/A,N/A,N/A,False
2018-10-29,TOR,MIL,N/A,N/A,N/A,N/A,False
2018-10-30,TOR,PHI,N/A,N/A,N/A,N/A,False
2018-11-02,TOR,PHO,20:19,8,6,3,False
2018-11-04,TOR,LAL,23:06,3,2,0,False
2018-11-05,TOR,UTA,28:11,17,6,4,False
2018-11-07,TOR,SAC,21:22,8,2,1,False
2018-11-10,TOR,NYK,22:04,7,4,4,False
2018-11-12,TOR,NOP,22:26,10,3,0,False
2018-11-14,TOR,DET,22:42,4,5,2,False
2018-11-16,TOR,BOS,22:07,0,2,1,False
2018-11-17,TOR,CHI,29:06,18,4,4,True
2018-11-20,TOR,ORL,26:21,4,5,2,False
2018-11-21,TOR,ATL,36:24,11,6,1,True
2018-11-23,TOR,WAS,22:53,13,7,4,False
2018-11-25,TOR,MIA,19:06,10,4,2,False
2018-11-27,TOR,MEM,21:59,18,3,2,False
2018-11-29,TOR,GSW,14:52,0,3,1,False
2018-12-01,TOR,CLE,33:00,15,4,3,True
2018-12-03,TOR,DEN,18:14,2,4,2,False
2018-12-05,TOR,PHI,18:39,5,1,1,False
2018-12-07,TOR,BRK,27:02,8,3,1,False
2018-12-09,TOR,MIL,27:24,19,2,2,False
2018-12-11,TOR,LAC,29:24,5,14,6,True
2018-12-12,TOR,GSW,27:34,10,2,3,True
2018-12-14,TOR,POR,37:52,21,8,4,True
2018-12-16,TOR,DEN,N/A,N/A,N/A,N/A,False
2018-12-19,TOR,IND,30:52,11,1,2,True
2018-12-21,TOR,CLE,37:41,14,8,5,True
2018-12-22,TOR,PHI,27:54,12,3,2,False
2018-12-26,TOR,MIA,38:07,16,2,1,True
2018-12-28,TOR,ORL,23:04,11,2,1,True
2018-12-30,TOR,CHI,33:12,10,7,5,True
2019-01-01,TOR,UTA,32:20,8,5,4,True
2019-01-03,TOR,SAS,27:42,12,2,5,True
2019-01-05,TOR,MIL,35:14,21,8,5,True
2019-01-06,TOR,IND,34:30,12,8,2,True
2019-01-08,TOR,ATL,34:26,9,4,5,True
2019-01-11,TOR,BRK,18:41,10,6,2,False
2019-01-13,TOR,WAS,N/A,N/A,N/A,N/A,False
2019-01-16,TOR,BOS,18:07,0,2,2,False
2019-01-17,TOR,PHO,31:05,15,4,2,True
2019-01-19,TOR,MEM,26:20,4,7,2,True
2019-01-22,TOR,SAC,32:11,19,7,7,True
2019-01-23,TOR,IND,37:24,14,3,2,True
2019-01-25,TOR,HOU,20:35,8,4,4,False
2019-01-27,TOR,DAL,21:11,13,6,1,False
2019-01-31,TOR,MIL,30:02,10,3,2,False
2019-02-03,TOR,LAC,26:00,9,7,5,True
2019-02-05,TOR,PHI,25:08,3,2,1,False
2019-02-07,TOR,ATL,36:53,30,6,5,True
2019-02-09,TOR,NYK,19:48,5,6,1,False
2019-02-11,TOR,BRK,N/A,N/A,N/A,N/A,False
2019-02-13,TOR,WAS,N/A,N/A,N/A,N/A,False
2019-02-22,TOR,SAS,N/A,N/A,N/A,N/A,False
2019-02-24,TOR,ORL,N/A,N/A,N/A,N/A,False
2019-02-26,TOR,BOS,N/A,N/A,N/A,N/A,False
2019-03-01,TOR,POR,N/A,N/A,N/A,N/A,False
2019-03-03,TOR,DET,N/A,N/A,N/A,N/A,False
2019-03-05,TOR,HOU,N/A,N/A,N/A,N/A,False
2019-03-08,TOR,NOP,N/A,N/A,N/A,N/A,False
2019-03-10,TOR,MIA,N/A,N/A,N/A,N/A,False
2019-03-11,TOR,CLE,N/A,N/A,N/A,N/A,False
2019-03-14,TOR,LAL,N/A,N/A,N/A,N/A,False
2019-03-17,TOR,DET,31:21,17,4,1,False
2019-03-18,TOR,NYK,28:23,13,12,2,True
2019-03-20,TOR,OKC,40:26,23,6,0,True
2019-03-22,TOR,OKC,35:58,8,5,2,True
2019-03-24,TOR,CHO,31:10,12,3,5,False
2019-03-26,TOR,CHI,25:40,7,5,3,False
2019-03-28,TOR,NYK,32:04,12,8,3,True
2019-03-30,TOR,CHI,33:23,23,6,4,True
2019-04-01,TOR,ORL,26:38,10,7,0,False
2019-04-03,TOR,BRK,25:59,7,3,3,False
2019-04-05,TOR,CHO,30:56,12,5,3,False
2019-04-07,TOR,MIA,22:10,3,5,1,False
2019-04-09,TOR,MIN,27:00,16,4,2,True
