Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-22,BRK,GSW,19:57,9,4,5,True
2020-12-25,BRK,BOS,29:12,6,2,4,True
2020-12-27,BRK,CHO,15:11,5,3,4,True
2020-12-28,BRK,MEM,N/A,N/A,N/A,N/A,False
2020-12-30,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-01-01,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-01-03,BRK,WAS,N/A,N/A,N/A,N/A,False
2021-01-05,BRK,UTA,N/A,N/A,N/A,N/A,False
2021-01-07,BRK,PHI,N/A,N/A,N/A,N/A,False
2021-01-08,BRK,MEM,N/A,N/A,N/A,N/A,False
2021-01-10,BRK,OKC,N/A,N/A,N/A,N/A,False
2021-01-12,BRK,DEN,N/A,N/A,N/A,N/A,False
2021-01-13,BRK,NYK,N/A,N/A,N/A,N/A,False
2021-01-16,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-01-18,BRK,MIL,N/A,N/A,N/A,N/A,False
2021-01-20,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-01-22,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-01-23,BRK,MIA,N/A,N/A,N/A,N/A,False
2021-01-25,BRK,MIA,N/A,N/A,N/A,N/A,False
2021-01-27,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-01-29,BRK,OKC,N/A,N/A,N/A,N/A,False
2021-01-31,BRK,WAS,N/A,N/A,N/A,N/A,False
2021-02-02,BRK,LAC,N/A,N/A,N/A,N/A,False
2021-02-05,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-02-06,BRK,PHI,N/A,N/A,N/A,N/A,False
2021-02-09,BRK,DET,N/A,N/A,N/A,N/A,False
2021-02-10,BRK,IND,N/A,N/A,N/A,N/A,False
2021-02-13,BRK,GSW,N/A,N/A,N/A,N/A,False
2021-02-15,BRK,SAC,N/A,N/A,N/A,N/A,False
2021-02-16,BRK,PHO,N/A,N/A,N/A,N/A,False
2021-02-18,BRK,LAL,N/A,N/A,N/A,N/A,False
2021-02-21,BRK,LAC,N/A,N/A,N/A,N/A,False
2021-02-23,BRK,SAC,N/A,N/A,N/A,N/A,False
2021-02-25,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-02-27,BRK,DAL,N/A,N/A,N/A,N/A,False
2021-03-01,BRK,SAS,N/A,N/A,N/A,N/A,False
2021-03-03,BRK,HOU,N/A,N/A,N/A,N/A,False
2021-03-11,BRK,BOS,N/A,N/A,N/A,N/A,False
2021-03-13,BRK,DET,N/A,N/A,N/A,N/A,False
2021-03-15,BRK,NYK,N/A,N/A,N/A,N/A,False
2021-03-17,BRK,IND,N/A,N/A,N/A,N/A,False
2021-03-19,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-03-21,BRK,WAS,N/A,N/A,N/A,N/A,False
2021-03-23,BRK,POR,N/A,N/A,N/A,N/A,False
2021-03-24,BRK,UTA,N/A,N/A,N/A,N/A,False
2021-03-26,BRK,DET,N/A,N/A,N/A,N/A,False
2021-03-29,BRK,MIN,N/A,N/A,N/A,N/A,False
2021-03-31,BRK,HOU,N/A,N/A,N/A,N/A,False
2021-04-01,BRK,CHO,N/A,N/A,N/A,N/A,False
2021-04-04,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-04-05,BRK,NYK,N/A,N/A,N/A,N/A,False
2021-04-07,BRK,NOP,N/A,N/A,N/A,N/A,False
2021-04-10,BRK,LAL,N/A,N/A,N/A,N/A,False
2021-04-13,BRK,MIN,N/A,N/A,N/A,N/A,False
2021-04-14,BRK,PHI,N/A,N/A,N/A,N/A,False
2021-04-16,BRK,CHO,N/A,N/A,N/A,N/A,False
2021-04-18,BRK,MIA,N/A,N/A,N/A,N/A,False
2021-04-20,BRK,NOP,N/A,N/A,N/A,N/A,False
2021-04-21,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-04-23,BRK,BOS,N/A,N/A,N/A,N/A,False
2021-04-25,BRK,PHO,N/A,N/A,N/A,N/A,False
2021-04-27,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-04-29,BRK,IND,N/A,N/A,N/A,N/A,False
2021-04-30,BRK,POR,N/A,N/A,N/A,N/A,False
2021-05-02,BRK,MIL,N/A,N/A,N/A,N/A,False
2021-05-04,BRK,MIL,N/A,N/A,N/A,N/A,False
2021-05-06,BRK,DAL,N/A,N/A,N/A,N/A,False
2021-05-08,BRK,DEN,N/A,N/A,N/A,N/A,False
2021-05-11,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-05-12,BRK,SAS,N/A,N/A,N/A,N/A,False
2021-05-15,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-05-16,BRK,CLE,N/A,N/A,N/A,N/A,False
