Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MEM,NYK,33:22,12,2,11,True
2022-10-21,MEM,HOU,30:15,17,0,5,True
2022-10-22,MEM,DAL,20:26,5,0,2,True
2022-10-24,MEM,BRK,26:12,7,0,4,False
2022-10-27,MEM,SAC,N/A,N/A,N/A,N/A,False
2022-10-29,MEM,UTA,27:59,0,1,6,False
2022-10-31,MEM,UTA,25:46,4,0,3,True
2022-11-02,MEM,POR,22:05,10,4,5,False
2022-11-04,MEM,CHO,20:53,8,1,4,False
2022-11-06,MEM,WAS,15:08,2,1,4,False
2022-11-07,MEM,BOS,26:19,12,1,7,False
2022-11-09,MEM,SAS,28:20,4,2,5,False
2022-11-11,MEM,MIN,22:31,0,1,7,False
2022-11-13,MEM,WAS,36:33,7,1,9,True
2022-11-15,MEM,NOP,36:31,9,2,8,True
2022-11-18,MEM,OKC,28:51,19,2,10,True
2022-11-20,MEM,BRK,33:16,16,7,9,True
2022-11-22,MEM,SAC,30:35,10,2,9,True
2022-11-25,MEM,NOP,25:23,9,0,6,True
2022-11-27,MEM,NYK,29:10,10,2,8,True
2022-11-30,MEM,MIN,30:29,7,2,9,True
2022-12-02,MEM,PHI,32:05,8,0,6,True
2022-12-04,MEM,DET,31:39,11,0,5,True
2022-12-05,MEM,MIA,N/A,N/A,N/A,N/A,False
2022-12-07,MEM,OKC,27:47,7,1,4,True
2022-12-09,MEM,DET,24:53,8,1,4,True
2022-12-12,MEM,ATL,23:53,9,5,7,True
2022-12-15,MEM,MIL,16:33,5,0,3,True
2022-12-17,MEM,OKC,23:19,3,3,4,True
2022-12-20,MEM,DEN,15:34,0,1,1,True
2022-12-23,MEM,PHO,18:46,1,4,3,False
2022-12-25,MEM,GSW,20:09,0,1,2,False
2022-12-27,MEM,PHO,14:04,5,1,3,False
2022-12-29,MEM,TOR,23:46,11,1,7,False
2022-12-31,MEM,NOP,23:13,8,3,3,False
2023-01-01,MEM,SAC,27:38,12,2,6,True
2023-01-04,MEM,CHO,18:49,2,2,2,False
2023-01-05,MEM,ORL,23:41,3,1,7,True
2023-01-08,MEM,UTA,15:36,5,1,0,False
2023-01-09,MEM,SAS,14:46,3,1,2,False
2023-01-11,MEM,SAS,12:20,0,1,2,False
2023-01-14,MEM,IND,N/A,N/A,N/A,N/A,False
2023-01-16,MEM,PHO,N/A,N/A,N/A,N/A,False
2023-01-18,MEM,CLE,13:22,2,1,4,False
2023-01-20,MEM,LAL,8:56,0,1,4,False
2023-01-22,MEM,PHO,5:59,0,1,1,False
2023-01-23,MEM,SAC,9:53,0,0,1,False
2023-01-25,MEM,GSW,N/A,N/A,N/A,N/A,False
2023-01-27,MEM,MIN,N/A,N/A,N/A,N/A,False
2023-01-29,MEM,IND,N/A,N/A,N/A,N/A,False
2023-02-01,MEM,POR,N/A,N/A,N/A,N/A,False
2023-02-02,MEM,CLE,28:21,2,5,7,False
2023-02-05,MEM,TOR,18:27,3,0,3,False
2023-02-07,MEM,CHI,10:12,0,0,3,False
2023-02-10,MEM,MIN,26:46,3,2,2,False
2023-02-12,MEM,BOS,4:53,3,0,0,False
2023-02-15,MEM,UTA,11:27,6,0,4,False
2023-02-23,MEM,PHI,17:22,9,0,5,False
2023-02-25,MEM,DEN,14:07,2,1,3,False
2023-02-28,MEM,LAL,13:59,0,0,1,False
2023-03-01,MEM,HOU,14:38,3,2,1,False
2023-03-03,MEM,DEN,14:01,3,1,3,False
2023-03-05,MEM,LAC,20:01,5,2,3,False
2023-03-07,MEM,LAL,21:25,6,0,3,False
2023-03-09,MEM,GSW,22:12,8,3,2,False
2023-03-11,MEM,DAL,11:36,0,0,2,False
2023-03-13,MEM,DAL,24:36,1,0,2,False
2023-03-15,MEM,MIA,22:06,3,4,4,False
2023-03-17,MEM,SAS,4:32,0,1,2,False
2023-03-18,MEM,GSW,15:04,0,0,3,False
2023-03-20,MEM,DAL,18:04,3,1,7,False
2023-03-22,MEM,HOU,15:18,2,0,2,False
2023-03-24,MEM,HOU,18:22,3,2,3,False
2023-03-26,MEM,ATL,12:25,2,0,1,False
2023-03-28,MEM,ORL,14:48,1,2,3,False
2023-03-29,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-03-31,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-04-02,MEM,CHI,1:29,0,0,1,False
2023-04-04,MEM,POR,12:53,0,1,3,False
2023-04-05,MEM,NOP,22:29,10,4,9,False
2023-04-07,MEM,MIL,29:47,13,3,7,False
2023-04-09,MEM,OKC,35:39,2,3,9,True
