Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,POR,LAC,22:39,20,5,2,False
2023-10-27,POR,ORL,30:36,18,1,7,False
2023-10-29,POR,PHI,25:51,18,5,5,False
2023-10-30,POR,TOR,29:24,21,5,3,False
2023-11-01,POR,DET,25:27,14,6,6,False
2023-11-03,POR,MEM,44:21,24,10,7,True
2023-11-05,POR,MEM,39:02,18,11,7,True
2023-11-08,POR,SAC,5:03,5,1,1,True
2023-11-12,POR,LAL,N/A,N/A,N/A,N/A,False
2023-11-14,POR,UTA,N/A,N/A,N/A,N/A,False
2023-11-15,POR,CLE,N/A,N/A,N/A,N/A,False
2023-11-17,POR,LAL,N/A,N/A,N/A,N/A,False
2023-11-19,POR,OKC,N/A,N/A,N/A,N/A,False
2023-11-21,POR,PHO,24:54,19,5,1,True
2023-11-22,POR,UTA,23:52,20,8,4,True
2023-11-26,POR,MIL,33:42,18,12,8,True
2023-11-27,POR,IND,36:07,24,7,2,True
2023-11-30,POR,CLE,30:46,11,7,3,True
2023-12-02,POR,UTA,37:34,25,6,3,True
2023-12-06,POR,GSW,12:31,0,2,1,True
2023-12-08,POR,DAL,N/A,N/A,N/A,N/A,False
2023-12-11,POR,LAC,N/A,N/A,N/A,N/A,False
2023-12-14,POR,UTA,14:00,9,1,0,False
2023-12-16,POR,DAL,24:14,9,2,2,False
2023-12-17,POR,GSW,26:42,8,5,1,False
2023-12-19,POR,PHO,32:29,14,4,4,False
2023-12-21,POR,WAS,27:45,7,4,2,True
2023-12-23,POR,GSW,36:56,17,12,6,True
2023-12-26,POR,SAC,29:35,19,6,5,True
2023-12-28,POR,SAS,36:47,29,6,6,True
2023-12-29,POR,SAS,36:36,27,7,1,True
2024-01-01,POR,PHO,21:06,10,5,2,True
2024-01-03,POR,DAL,16:49,5,2,2,False
2024-01-05,POR,DAL,16:24,4,3,3,False
2024-01-07,POR,BRK,21:41,18,2,3,False
2024-01-09,POR,NYK,13:08,2,0,1,False
2024-01-11,POR,OKC,N/A,N/A,N/A,N/A,False
2024-01-12,POR,MIN,25:54,9,3,2,False
2024-01-14,POR,PHO,N/A,N/A,N/A,N/A,False
2024-01-17,POR,BRK,30:17,16,6,5,True
2024-01-19,POR,IND,37:17,30,6,7,True
2024-01-21,POR,LAL,32:33,23,9,7,True
2024-01-23,POR,OKC,35:14,18,7,2,True
2024-01-24,POR,HOU,41:27,19,6,2,True
2024-01-26,POR,SAS,N/A,N/A,N/A,N/A,False
2024-01-28,POR,CHI,38:29,16,6,6,True
2024-01-29,POR,PHI,32:21,24,9,5,True
2024-01-31,POR,MIL,35:44,14,6,6,True
2024-02-02,POR,DEN,35:31,11,6,8,True
2024-02-04,POR,DEN,N/A,N/A,N/A,N/A,False
2024-02-08,POR,DET,N/A,N/A,N/A,N/A,False
2024-02-10,POR,NOP,N/A,N/A,N/A,N/A,False
2024-02-13,POR,MIN,N/A,N/A,N/A,N/A,False
2024-02-15,POR,MIN,N/A,N/A,N/A,N/A,False
2024-02-23,POR,DEN,N/A,N/A,N/A,N/A,False
2024-02-25,POR,CHO,N/A,N/A,N/A,N/A,False
2024-02-27,POR,MIA,N/A,N/A,N/A,N/A,False
2024-03-01,POR,MEM,N/A,N/A,N/A,N/A,False
2024-03-02,POR,MEM,N/A,N/A,N/A,N/A,False
2024-03-04,POR,MIN,N/A,N/A,N/A,N/A,False
2024-03-06,POR,OKC,N/A,N/A,N/A,N/A,False
2024-03-08,POR,HOU,N/A,N/A,N/A,N/A,False
2024-03-09,POR,TOR,N/A,N/A,N/A,N/A,False
2024-03-11,POR,BOS,N/A,N/A,N/A,N/A,False
2024-03-13,POR,ATL,N/A,N/A,N/A,N/A,False
2024-03-14,POR,NYK,N/A,N/A,N/A,N/A,False
2024-03-16,POR,NOP,N/A,N/A,N/A,N/A,False
2024-03-18,POR,CHI,N/A,N/A,N/A,N/A,False
2024-03-20,POR,LAC,N/A,N/A,N/A,N/A,False
2024-03-22,POR,LAC,N/A,N/A,N/A,N/A,False
2024-03-23,POR,DEN,N/A,N/A,N/A,N/A,False
2024-03-25,POR,HOU,N/A,N/A,N/A,N/A,False
2024-03-27,POR,ATL,N/A,N/A,N/A,N/A,False
2024-03-29,POR,MIA,N/A,N/A,N/A,N/A,False
2024-04-01,POR,ORL,N/A,N/A,N/A,N/A,False
2024-04-03,POR,CHO,N/A,N/A,N/A,N/A,False
2024-04-05,POR,WAS,N/A,N/A,N/A,N/A,False
2024-04-07,POR,BOS,N/A,N/A,N/A,N/A,False
2024-04-09,POR,NOP,N/A,N/A,N/A,N/A,False
2024-04-11,POR,GSW,N/A,N/A,N/A,N/A,False
2024-04-12,POR,HOU,N/A,N/A,N/A,N/A,False
2024-04-14,POR,SAC,N/A,N/A,N/A,N/A,False
