Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-19,LAL,GSW,12:55,2,1,2,True
2021-10-22,LAL,PHO,10:12,2,1,4,True
2021-10-24,LAL,MEM,14:29,8,0,8,True
2021-10-26,LAL,SAS,15:35,7,0,9,True
2021-10-27,LAL,OKC,12:41,6,0,4,True
2021-10-29,LAL,CLE,14:38,4,1,7,True
2021-10-31,LAL,HOU,17:06,8,2,3,False
2021-11-02,LAL,HOU,15:58,8,0,9,False
2021-11-04,LAL,OKC,14:08,1,0,3,True
2021-11-06,LAL,POR,20:07,6,0,9,True
2021-11-08,LAL,CHO,10:33,10,0,8,True
2021-11-10,LAL,MIA,11:09,1,0,5,True
2021-11-12,LAL,MIN,N/A,N/A,N/A,N/A,False
2021-11-14,LAL,SAS,N/A,N/A,N/A,N/A,False
2021-11-15,LAL,CHI,7:00,4,1,5,False
2021-11-17,LAL,MIL,5:01,0,0,4,False
2021-11-19,LAL,BOS,N/A,N/A,N/A,N/A,False
2021-11-21,LAL,DET,13:15,6,1,9,True
2021-11-23,LAL,NYK,24:35,6,0,11,True
2021-11-24,LAL,IND,20:58,4,0,11,True
2021-11-26,LAL,SAC,10:52,4,0,1,True
2021-11-28,LAL,DET,20:38,9,1,6,True
2021-11-30,LAL,SAC,4:22,0,0,2,True
2021-12-03,LAL,LAC,N/A,N/A,N/A,N/A,False
2021-12-07,LAL,BOS,N/A,N/A,N/A,N/A,False
2021-12-09,LAL,MEM,N/A,N/A,N/A,N/A,False
2021-12-10,LAL,OKC,11:02,3,0,4,False
2021-12-12,LAL,ORL,9:31,4,0,6,False
2021-12-15,LAL,DAL,8:01,2,0,4,False
2021-12-17,LAL,MIN,9:32,2,0,2,False
2021-12-19,LAL,CHI,20:37,9,0,7,True
2021-12-21,LAL,PHO,15:17,1,0,8,True
2021-12-23,LAL,SAS,6:33,5,0,4,False
2021-12-25,LAL,BRK,N/A,N/A,N/A,N/A,False
2021-12-28,LAL,HOU,N/A,N/A,N/A,N/A,False
2021-12-29,LAL,MEM,N/A,N/A,N/A,N/A,False
2021-12-31,LAL,POR,N/A,N/A,N/A,N/A,False
2022-01-02,LAL,MIN,N/A,N/A,N/A,N/A,False
2022-01-04,LAL,SAC,N/A,N/A,N/A,N/A,False
2022-01-07,LAL,ATL,N/A,N/A,N/A,N/A,False
2022-01-09,LAL,MEM,7:58,0,3,2,False
2022-01-12,LAL,SAC,N/A,N/A,N/A,N/A,False
2022-01-15,LAL,DEN,11:53,4,2,3,False
2022-01-17,LAL,UTA,N/A,N/A,N/A,N/A,False
2022-01-19,LAL,IND,N/A,N/A,N/A,N/A,False
2022-01-21,LAL,ORL,N/A,N/A,N/A,N/A,False
2022-01-23,LAL,MIA,N/A,N/A,N/A,N/A,False
2022-01-25,LAL,BRK,N/A,N/A,N/A,N/A,False
2022-01-27,LAL,PHI,N/A,N/A,N/A,N/A,False
2022-01-28,LAL,CHO,19:30,4,0,7,True
2022-01-30,LAL,ATL,N/A,N/A,N/A,N/A,False
2022-02-02,LAL,POR,N/A,N/A,N/A,N/A,False
2022-02-03,LAL,LAC,N/A,N/A,N/A,N/A,False
2022-02-05,LAL,NYK,3:07,0,0,2,False
2022-02-08,LAL,MIL,N/A,N/A,N/A,N/A,False
2022-02-09,LAL,POR,N/A,N/A,N/A,N/A,False
2022-02-12,LAL,GSW,N/A,N/A,N/A,N/A,False
2022-02-16,LAL,UTA,N/A,N/A,N/A,N/A,False
2022-02-25,LAL,LAC,N/A,N/A,N/A,N/A,False
2022-02-27,LAL,NOP,9:13,2,0,3,False
2022-03-04,PHI,CLE,N/A,N/A,N/A,N/A,False
2022-03-05,PHI,MIA,N/A,N/A,N/A,N/A,False
2022-03-07,PHI,CHI,10:24,2,2,3,False
2022-03-10,PHI,BRK,17:29,10,0,9,False
2022-03-13,PHI,ORL,11:43,0,0,4,False
2022-03-14,PHI,DEN,11:40,3,0,6,False
2022-03-16,PHI,CLE,12:53,4,1,5,False
2022-03-18,PHI,DAL,13:08,8,0,7,False
2022-03-20,PHI,TOR,10:43,0,0,2,False
2022-03-21,PHI,MIA,24:56,2,1,8,False
2022-03-23,PHI,LAL,13:41,9,0,7,False
2022-03-25,PHI,LAC,14:40,2,1,9,False
2022-03-27,PHI,PHO,10:25,4,0,5,False
2022-03-29,PHI,MIL,N/A,N/A,N/A,N/A,False
2022-03-31,PHI,DET,9:58,2,0,1,False
2022-04-02,PHI,CHO,9:47,8,1,5,False
2022-04-03,PHI,CLE,9:57,6,0,4,False
2022-04-05,PHI,IND,9:21,6,1,6,False
2022-04-07,PHI,TOR,N/A,N/A,N/A,N/A,False
2022-04-09,PHI,IND,N/A,N/A,N/A,N/A,False
2022-04-10,PHI,DET,23:09,8,1,11,True
