Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MEM,NYK,N/A,N/A,N/A,N/A,False
2022-10-21,MEM,HOU,N/A,N/A,N/A,N/A,False
2022-10-22,MEM,DAL,6:16,0,0,0,False
2022-10-24,MEM,BRK,N/A,N/A,N/A,N/A,False
2022-10-27,MEM,SAC,N/A,N/A,N/A,N/A,False
2022-10-29,MEM,UTA,N/A,N/A,N/A,N/A,False
2022-10-31,MEM,UTA,4:40,2,1,3,False
2022-11-02,MEM,POR,N/A,N/A,N/A,N/A,False
2022-11-04,MEM,CHO,7:23,0,1,0,False
2022-11-06,MEM,WAS,N/A,N/A,N/A,N/A,False
2022-11-07,MEM,BOS,N/A,N/A,N/A,N/A,False
2022-11-09,MEM,SAS,N/A,N/A,N/A,N/A,False
2022-11-11,MEM,MIN,N/A,N/A,N/A,N/A,False
2022-11-13,MEM,WAS,N/A,N/A,N/A,N/A,False
2022-11-15,MEM,NOP,N/A,N/A,N/A,N/A,False
2022-11-18,MEM,OKC,N/A,N/A,N/A,N/A,False
2022-11-20,MEM,BRK,2:39,2,0,0,False
2022-11-22,MEM,SAC,N/A,N/A,N/A,N/A,False
2022-11-25,MEM,NOP,4:43,3,0,0,False
2022-11-27,MEM,NYK,N/A,N/A,N/A,N/A,False
2022-11-30,MEM,MIN,N/A,N/A,N/A,N/A,False
2022-12-02,MEM,PHI,N/A,N/A,N/A,N/A,False
2022-12-04,MEM,DET,N/A,N/A,N/A,N/A,False
2022-12-05,MEM,MIA,13:55,0,0,2,False
2022-12-07,MEM,OKC,N/A,N/A,N/A,N/A,False
2022-12-09,MEM,DET,N/A,N/A,N/A,N/A,False
2022-12-12,MEM,ATL,N/A,N/A,N/A,N/A,False
2022-12-15,MEM,MIL,N/A,N/A,N/A,N/A,False
2022-12-17,MEM,OKC,N/A,N/A,N/A,N/A,False
2022-12-20,MEM,DEN,N/A,N/A,N/A,N/A,False
2022-12-23,MEM,PHO,N/A,N/A,N/A,N/A,False
2022-12-25,MEM,GSW,N/A,N/A,N/A,N/A,False
2022-12-27,MEM,PHO,N/A,N/A,N/A,N/A,False
2022-12-29,MEM,TOR,N/A,N/A,N/A,N/A,False
2022-12-31,MEM,NOP,N/A,N/A,N/A,N/A,False
2023-01-01,MEM,SAC,0:58,0,0,0,False
2023-01-04,MEM,CHO,3:44,0,1,0,False
2023-01-05,MEM,ORL,N/A,N/A,N/A,N/A,False
2023-01-08,MEM,UTA,N/A,N/A,N/A,N/A,False
2023-01-09,MEM,SAS,N/A,N/A,N/A,N/A,False
2023-01-11,MEM,SAS,N/A,N/A,N/A,N/A,False
2023-01-14,MEM,IND,N/A,N/A,N/A,N/A,False
2023-01-16,MEM,PHO,N/A,N/A,N/A,N/A,False
2023-01-18,MEM,CLE,N/A,N/A,N/A,N/A,False
2023-01-20,MEM,LAL,N/A,N/A,N/A,N/A,False
2023-01-22,MEM,PHO,N/A,N/A,N/A,N/A,False
2023-01-23,MEM,SAC,4:15,0,0,2,False
2023-01-25,MEM,GSW,N/A,N/A,N/A,N/A,False
2023-01-27,MEM,MIN,N/A,N/A,N/A,N/A,False
2023-01-29,MEM,IND,N/A,N/A,N/A,N/A,False
2023-02-01,MEM,POR,N/A,N/A,N/A,N/A,False
2023-02-02,MEM,CLE,N/A,N/A,N/A,N/A,False
2023-02-05,MEM,TOR,N/A,N/A,N/A,N/A,False
2023-02-07,MEM,CHI,N/A,N/A,N/A,N/A,False
2023-02-10,MEM,MIN,N/A,N/A,N/A,N/A,False
2023-02-12,MEM,BOS,N/A,N/A,N/A,N/A,False
2023-02-15,MEM,UTA,N/A,N/A,N/A,N/A,False
2023-02-23,MEM,PHI,N/A,N/A,N/A,N/A,False
2023-02-25,MEM,DEN,N/A,N/A,N/A,N/A,False
2023-02-28,MEM,LAL,0:41,0,0,0,False
2023-03-01,MEM,HOU,N/A,N/A,N/A,N/A,False
2023-03-03,MEM,DEN,2:37,3,0,0,False
2023-03-05,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-03-07,MEM,LAL,N/A,N/A,N/A,N/A,False
2023-03-09,MEM,GSW,N/A,N/A,N/A,N/A,False
2023-03-11,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-03-13,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-03-15,MEM,MIA,N/A,N/A,N/A,N/A,False
2023-03-17,MEM,SAS,N/A,N/A,N/A,N/A,False
2023-03-18,MEM,GSW,N/A,N/A,N/A,N/A,False
2023-03-20,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-03-22,MEM,HOU,N/A,N/A,N/A,N/A,False
2023-03-24,MEM,HOU,N/A,N/A,N/A,N/A,False
2023-03-26,MEM,ATL,N/A,N/A,N/A,N/A,False
2023-03-28,MEM,ORL,N/A,N/A,N/A,N/A,False
2023-03-29,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-03-31,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-04-02,MEM,CHI,1:29,0,0,0,False
2023-04-04,MEM,POR,N/A,N/A,N/A,N/A,False
2023-04-05,MEM,NOP,0:36,2,0,0,False
2023-04-07,MEM,MIL,2:38,3,0,0,False
2023-04-09,MEM,OKC,48:00,15,1,8,True
