Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-11-01,BRK,MIA,N/A,N/A,N/A,N/A,False
2023-11-03,BRK,CHI,N/A,N/A,N/A,N/A,False
2023-11-04,BRK,BOS,N/A,N/A,N/A,N/A,False
2023-11-06,BRK,MIL,N/A,N/A,N/A,N/A,False
2023-11-08,BRK,LAC,N/A,N/A,N/A,N/A,False
2023-11-10,BRK,BOS,N/A,N/A,N/A,N/A,False
2023-11-12,BRK,WAS,N/A,N/A,N/A,N/A,False
2023-11-14,BRK,ORL,N/A,N/A,N/A,N/A,False
2023-11-16,BRK,MIA,N/A,N/A,N/A,N/A,False
2023-11-19,BRK,PHI,N/A,N/A,N/A,N/A,False
2023-11-22,BRK,ATL,N/A,N/A,N/A,N/A,False
2023-11-25,BRK,MIA,N/A,N/A,N/A,N/A,False
2023-11-26,BRK,CHI,N/A,N/A,N/A,N/A,False
2023-11-28,BRK,TOR,N/A,N/A,N/A,N/A,False
2023-11-30,BRK,CHO,N/A,N/A,N/A,N/A,False
2023-12-02,BRK,ORL,N/A,N/A,N/A,N/A,False
2023-12-06,BRK,ATL,N/A,N/A,N/A,N/A,False
2023-12-08,BRK,WAS,N/A,N/A,N/A,N/A,False
2023-12-11,BRK,SAC,N/A,N/A,N/A,N/A,False
2023-12-13,BRK,PHO,N/A,N/A,N/A,N/A,False
2023-12-14,BRK,DEN,N/A,N/A,N/A,N/A,False
2023-12-16,BRK,GSW,N/A,N/A,N/A,N/A,False
2023-12-18,BRK,UTA,N/A,N/A,N/A,N/A,False
2023-12-20,BRK,NYK,N/A,N/A,N/A,N/A,False
2023-12-22,BRK,DEN,N/A,N/A,N/A,N/A,False
2023-12-23,BRK,DET,N/A,N/A,N/A,N/A,False
2023-12-26,BRK,DET,N/A,N/A,N/A,N/A,False
2023-12-27,BRK,MIL,20:54,12,1,1,False
2023-12-29,BRK,WAS,N/A,N/A,N/A,N/A,False
2023-12-31,BRK,OKC,N/A,N/A,N/A,N/A,False
2024-01-02,BRK,NOP,N/A,N/A,N/A,N/A,False
2024-01-03,BRK,HOU,N/A,N/A,N/A,N/A,False
2024-01-05,BRK,OKC,N/A,N/A,N/A,N/A,False
2024-01-07,BRK,POR,N/A,N/A,N/A,N/A,False
2024-01-11,BRK,CLE,N/A,N/A,N/A,N/A,False
2024-01-15,BRK,MIA,N/A,N/A,N/A,N/A,False
2024-01-17,BRK,POR,N/A,N/A,N/A,N/A,False
2024-01-19,BRK,LAL,N/A,N/A,N/A,N/A,False
2024-01-21,BRK,LAC,N/A,N/A,N/A,N/A,False
2024-01-23,BRK,NYK,N/A,N/A,N/A,N/A,False
2024-01-25,BRK,MIN,N/A,N/A,N/A,N/A,False
2024-01-27,BRK,HOU,N/A,N/A,N/A,N/A,False
2024-01-29,BRK,UTA,N/A,N/A,N/A,N/A,False
2024-01-31,BRK,PHO,N/A,N/A,N/A,N/A,False
2024-02-03,BRK,PHI,N/A,N/A,N/A,N/A,False
2024-02-05,BRK,GSW,N/A,N/A,N/A,N/A,False
2024-02-06,BRK,DAL,N/A,N/A,N/A,N/A,False
2024-02-08,BRK,CLE,14:20,3,0,2,False
2024-02-10,BRK,SAS,N/A,N/A,N/A,N/A,False
2024-02-13,BRK,BOS,N/A,N/A,N/A,N/A,False
2024-02-14,BRK,BOS,12:00,9,2,1,False
2024-02-22,BRK,TOR,N/A,N/A,N/A,N/A,False
2024-02-24,BRK,MIN,N/A,N/A,N/A,N/A,False
2024-02-26,BRK,MEM,N/A,N/A,N/A,N/A,False
2024-02-27,BRK,ORL,3:49,4,0,1,False
2024-02-29,BRK,ATL,N/A,N/A,N/A,N/A,False
2024-03-02,BRK,ATL,N/A,N/A,N/A,N/A,False
2024-03-04,BRK,MEM,N/A,N/A,N/A,N/A,False
2024-03-05,BRK,PHI,N/A,N/A,N/A,N/A,False
2024-03-07,BRK,DET,N/A,N/A,N/A,N/A,False
2024-03-09,BRK,CHO,N/A,N/A,N/A,N/A,False
2024-03-10,BRK,CLE,N/A,N/A,N/A,N/A,False
2024-03-13,BRK,ORL,N/A,N/A,N/A,N/A,False
2024-03-16,BRK,IND,N/A,N/A,N/A,N/A,False
2024-03-17,BRK,SAS,N/A,N/A,N/A,N/A,False
2024-03-19,BRK,NOP,N/A,N/A,N/A,N/A,False
2024-03-21,BRK,MIL,N/A,N/A,N/A,N/A,False
2024-03-23,BRK,NYK,N/A,N/A,N/A,N/A,False
2024-03-25,BRK,TOR,N/A,N/A,N/A,N/A,False
2024-03-27,BRK,WAS,N/A,N/A,N/A,N/A,False
2024-03-29,BRK,CHI,N/A,N/A,N/A,N/A,False
2024-03-31,BRK,LAL,N/A,N/A,N/A,N/A,False
2024-04-01,BRK,IND,N/A,N/A,N/A,N/A,False
2024-04-03,BRK,IND,N/A,N/A,N/A,N/A,False
2024-04-06,BRK,DET,N/A,N/A,N/A,N/A,False
2024-04-07,BRK,SAC,N/A,N/A,N/A,N/A,False
2024-04-10,BRK,TOR,N/A,N/A,N/A,N/A,False
2024-04-12,BRK,NYK,N/A,N/A,N/A,N/A,False
2024-04-14,BRK,PHI,10:21,3,0,2,False
