Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,OKC,UTA,28:42,4,3,10,True
2021-10-22,OKC,HOU,19:34,6,4,2,True
2021-10-24,OKC,PHI,33:34,19,7,8,True
2021-10-26,OKC,GSW,27:11,7,4,9,True
2021-10-27,OKC,LAL,32:13,18,10,2,True
2021-10-30,OKC,GSW,27:46,10,6,4,True
2021-11-01,OKC,LAC,34:41,15,7,5,True
2021-11-04,OKC,LAL,31:54,5,8,8,True
2021-11-07,OKC,SAS,27:12,7,4,7,True
2021-11-10,OKC,NOP,30:42,7,9,12,True
2021-11-12,OKC,SAC,24:36,7,5,5,True
2021-11-14,OKC,BRK,24:49,6,4,5,True
2021-11-15,OKC,MIA,31:32,6,9,9,True
2021-11-17,OKC,HOU,33:36,14,2,11,True
2021-11-19,OKC,MIL,31:54,14,4,12,True
2021-11-20,OKC,BOS,28:36,15,3,8,True
2021-11-22,OKC,ATL,31:07,15,8,7,True
2021-11-24,OKC,UTA,33:44,19,8,7,True
2021-11-26,OKC,WAS,28:48,11,4,7,True
2021-11-29,OKC,HOU,24:58,2,7,5,True
2021-12-01,OKC,HOU,N/A,N/A,N/A,N/A,False
2021-12-02,OKC,MEM,N/A,N/A,N/A,N/A,False
2021-12-06,OKC,DET,30:07,12,5,0,True
2021-12-08,OKC,TOR,30:51,13,8,4,True
2021-12-10,OKC,LAL,32:03,12,7,7,True
2021-12-12,OKC,DAL,30:12,6,4,7,True
2021-12-15,OKC,NOP,36:42,17,7,9,True
2021-12-18,OKC,LAC,31:32,8,10,18,True
2021-12-20,OKC,MEM,29:49,19,11,5,True
2021-12-22,OKC,DEN,33:45,14,3,5,True
2021-12-23,OKC,PHO,30:47,17,2,6,True
2021-12-26,OKC,NOP,27:38,0,10,10,True
2021-12-28,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-12-29,OKC,PHO,N/A,N/A,N/A,N/A,False
2021-12-31,OKC,NYK,N/A,N/A,N/A,N/A,False
2022-01-02,OKC,DAL,36:10,17,14,13,True
2022-01-05,OKC,MIN,34:53,14,6,15,True
2022-01-07,OKC,MIN,29:53,10,5,5,True
2022-01-09,OKC,DEN,32:26,11,8,7,True
2022-01-11,OKC,WAS,36:00,18,8,6,True
2022-01-13,OKC,BRK,31:04,19,7,3,True
2022-01-15,OKC,CLE,29:59,11,3,10,True
2022-01-17,OKC,DAL,32:13,10,5,6,True
2022-01-19,OKC,SAS,32:40,9,8,11,True
2022-01-21,OKC,CHO,32:57,21,3,9,True
2022-01-22,OKC,CLE,33:51,8,3,5,True
2022-01-24,OKC,CHI,30:57,9,6,8,True
2022-01-28,OKC,IND,39:39,15,5,10,True
2022-01-31,OKC,POR,32:41,14,4,12,True
2022-02-02,OKC,DAL,36:48,14,10,7,True
2022-02-04,OKC,POR,35:37,16,3,7,True
2022-02-05,OKC,SAC,37:36,24,8,4,True
2022-02-07,OKC,GSW,30:12,16,7,11,True
2022-02-09,OKC,TOR,28:33,13,6,9,True
2022-02-11,OKC,PHI,23:56,9,5,7,True
2022-02-12,OKC,CHI,32:46,11,10,12,True
2022-02-14,OKC,NYK,38:44,28,12,11,True
2022-02-16,OKC,SAS,33:26,17,10,10,True
2022-02-24,OKC,PHO,36:47,15,6,9,True
2022-02-25,OKC,IND,N/A,N/A,N/A,N/A,False
2022-02-28,OKC,SAC,N/A,N/A,N/A,N/A,False
2022-03-02,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-03-04,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-03-06,OKC,UTA,N/A,N/A,N/A,N/A,False
2022-03-08,OKC,MIL,N/A,N/A,N/A,N/A,False
2022-03-09,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-03-13,OKC,MEM,N/A,N/A,N/A,N/A,False
2022-03-14,OKC,CHO,N/A,N/A,N/A,N/A,False
2022-03-16,OKC,SAS,N/A,N/A,N/A,N/A,False
2022-03-18,OKC,MIA,N/A,N/A,N/A,N/A,False
2022-03-20,OKC,ORL,N/A,N/A,N/A,N/A,False
2022-03-21,OKC,BOS,N/A,N/A,N/A,N/A,False
2022-03-23,OKC,ORL,N/A,N/A,N/A,N/A,False
2022-03-26,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-03-28,OKC,POR,N/A,N/A,N/A,N/A,False
2022-03-30,OKC,ATL,N/A,N/A,N/A,N/A,False
2022-04-01,OKC,DET,N/A,N/A,N/A,N/A,False
2022-04-03,OKC,PHO,N/A,N/A,N/A,N/A,False
2022-04-05,OKC,POR,N/A,N/A,N/A,N/A,False
2022-04-06,OKC,UTA,N/A,N/A,N/A,N/A,False
2022-04-08,OKC,LAL,N/A,N/A,N/A,N/A,False
2022-04-10,OKC,LAC,N/A,N/A,N/A,N/A,False
