Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,DET,MIA,26:53,4,3,7,True
2023-10-27,DET,CHO,29:35,6,6,13,True
2023-10-28,DET,CHI,31:15,9,5,12,True
2023-10-30,DET,OKC,30:36,15,3,10,True
2023-11-01,DET,POR,29:56,16,2,7,True
2023-11-02,DET,NOP,25:03,16,5,7,True
2023-11-05,DET,PHO,38:07,14,4,9,True
2023-11-06,DET,GSW,37:31,16,2,7,True
2023-11-08,DET,MIL,36:48,6,3,15,True
2023-11-10,DET,PHI,32:16,12,4,13,True
2023-11-12,DET,CHI,32:21,9,2,16,True
2023-11-14,DET,ATL,34:50,21,5,8,True
2023-11-17,DET,CLE,17:19,9,2,10,True
2023-11-19,DET,TOR,30:16,9,2,10,True
2023-11-20,DET,DEN,23:45,8,0,7,True
2023-11-24,DET,IND,30:06,8,3,6,True
2023-11-27,DET,WAS,27:52,16,2,4,True
2023-11-29,DET,LAL,20:53,12,0,6,True
2023-11-30,DET,NYK,13:10,3,0,7,False
2023-12-02,DET,CLE,16:02,4,0,8,False
2023-12-06,DET,MEM,16:07,5,0,4,False
2023-12-08,DET,ORL,19:36,5,2,2,False
2023-12-11,DET,IND,33:22,20,2,6,True
2023-12-13,DET,PHI,29:56,10,3,8,True
2023-12-15,DET,PHI,21:50,8,1,3,True
2023-12-16,DET,MIL,23:37,7,1,6,True
2023-12-18,DET,ATL,18:56,2,3,8,True
2023-12-21,DET,UTA,18:39,7,1,2,False
2023-12-23,DET,BRK,31:02,7,2,5,True
2023-12-26,DET,BRK,8:31,2,1,1,False
2023-12-28,DET,BOS,11:51,2,2,3,False
2023-12-30,DET,TOR,12:02,6,0,1,False
2024-01-01,DET,HOU,24:26,5,2,4,False
2024-01-03,DET,UTA,11:07,2,1,3,False
2024-01-05,DET,GSW,8:31,2,1,4,False
2024-01-07,DET,DEN,20:14,5,4,5,False
2024-01-09,DET,SAC,13:31,0,0,2,False
2024-01-10,DET,SAS,15:02,3,1,6,False
2024-01-12,DET,HOU,18:17,4,0,8,False
2024-01-15,DET,WAS,27:11,14,2,8,False
2024-01-17,DET,MIN,21:57,7,1,9,False
2024-01-20,DET,MIL,32:04,22,1,9,False
2024-01-22,DET,MIL,18:57,0,1,5,False
2024-01-24,DET,CHO,26:46,7,1,2,False
2024-01-27,DET,WAS,17:11,8,0,2,False
2024-01-28,DET,OKC,19:43,9,1,4,False
2024-01-31,DET,CLE,17:42,4,2,6,False
2024-02-02,DET,LAC,26:08,3,1,7,False
2024-02-04,DET,ORL,27:26,17,1,7,False
2024-02-07,DET,SAC,27:24,12,2,6,True
2024-02-08,DET,POR,28:30,6,1,5,True
2024-02-10,DET,LAC,27:30,10,5,8,True
2024-02-13,DET,LAL,28:55,19,0,2,True
2024-02-14,DET,PHO,28:57,14,1,7,True
2024-02-22,DET,IND,35:06,11,5,7,True
2024-02-24,DET,ORL,20:44,8,0,2,True
2024-02-26,DET,NYK,35:37,7,3,4,True
2024-02-27,DET,CHI,34:58,13,3,8,True
2024-03-01,DET,CLE,36:40,15,3,7,True
2024-03-03,DET,ORL,33:04,8,1,6,True
2024-03-05,DET,MIA,34:25,9,2,6,True
2024-03-07,DET,BRK,43:20,14,3,7,True
2024-03-09,DET,DAL,11:16,4,0,5,True
2024-03-11,DET,CHO,N/A,N/A,N/A,N/A,False
2024-03-13,DET,TOR,N/A,N/A,N/A,N/A,False
2024-03-15,DET,MIA,N/A,N/A,N/A,N/A,False
2024-03-17,DET,MIA,N/A,N/A,N/A,N/A,False
2024-03-18,DET,BOS,N/A,N/A,N/A,N/A,False
2024-03-20,DET,IND,N/A,N/A,N/A,N/A,False
2024-03-22,DET,BOS,N/A,N/A,N/A,N/A,False
2024-03-24,DET,NOP,N/A,N/A,N/A,N/A,False
2024-03-25,DET,NYK,N/A,N/A,N/A,N/A,False
2024-03-27,DET,MIN,N/A,N/A,N/A,N/A,False
2024-03-29,DET,WAS,N/A,N/A,N/A,N/A,False
2024-04-01,DET,MEM,N/A,N/A,N/A,N/A,False
2024-04-03,DET,ATL,N/A,N/A,N/A,N/A,False
2024-04-05,DET,MEM,N/A,N/A,N/A,N/A,False
2024-04-06,DET,BRK,N/A,N/A,N/A,N/A,False
2024-04-09,DET,PHI,N/A,N/A,N/A,N/A,False
2024-04-11,DET,CHI,N/A,N/A,N/A,N/A,False
2024-04-12,DET,DAL,N/A,N/A,N/A,N/A,False
2024-04-14,DET,SAS,N/A,N/A,N/A,N/A,False
