Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-26,MIL,PHI,20:21,7,2,2,False
2023-10-29,MIL,ATL,23:19,5,2,3,False
2023-10-30,MIL,MIA,22:31,8,2,5,False
2023-11-01,MIL,TOR,22:38,3,1,2,False
2023-11-03,MIL,NYK,23:55,2,2,2,False
2023-11-06,MIL,BRK,19:29,10,3,1,False
2023-11-08,MIL,DET,18:55,2,1,0,False
2023-11-09,MIL,IND,24:38,8,4,2,False
2023-11-11,MIL,ORL,15:37,3,1,3,False
2023-11-13,MIL,CHI,28:44,6,5,8,False
2023-11-15,MIL,TOR,22:28,3,0,7,False
2023-11-17,MIL,CHO,30:58,11,3,7,False
2023-11-18,MIL,DAL,34:36,16,3,5,False
2023-11-20,MIL,WAS,26:22,3,4,4,False
2023-11-22,MIL,BOS,20:23,3,0,3,False
2023-11-24,MIL,WAS,26:40,2,1,4,False
2023-11-26,MIL,POR,19:37,5,1,4,False
2023-11-28,MIL,MIA,15:08,7,1,1,False
2023-11-30,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-12-02,MIL,ATL,N/A,N/A,N/A,N/A,False
2023-12-05,MIL,NYK,N/A,N/A,N/A,N/A,False
2023-12-07,MIL,IND,N/A,N/A,N/A,N/A,False
2023-12-11,MIL,CHI,N/A,N/A,N/A,N/A,False
2023-12-13,MIL,IND,N/A,N/A,N/A,N/A,False
2023-12-16,MIL,DET,12:17,6,2,4,False
2023-12-17,MIL,HOU,17:06,5,4,2,False
2023-12-19,MIL,SAS,18:13,3,2,3,False
2023-12-21,MIL,ORL,20:58,8,2,8,False
2023-12-23,MIL,NYK,22:08,8,0,8,False
2023-12-25,MIL,NYK,23:51,3,1,7,False
2023-12-27,MIL,BRK,18:03,3,1,1,False
2023-12-29,MIL,CLE,22:43,3,3,1,False
2024-01-01,MIL,IND,23:39,3,2,2,False
2024-01-03,MIL,IND,14:11,3,1,2,False
2024-01-04,MIL,SAS,28:20,7,0,6,False
2024-01-06,MIL,HOU,18:59,9,1,1,False
2024-01-08,MIL,UTA,21:53,6,1,2,False
2024-01-11,MIL,BOS,21:15,2,3,1,False
2024-01-13,MIL,GSW,21:33,3,2,2,False
2024-01-14,MIL,SAC,33:14,5,2,3,False
2024-01-17,MIL,CLE,13:58,8,1,1,False
2024-01-20,MIL,DET,14:13,10,1,4,False
2024-01-22,MIL,DET,8:49,2,0,1,False
2024-01-24,MIL,CLE,17:27,6,0,1,False
2024-01-26,MIL,CLE,13:58,6,0,0,False
2024-01-27,MIL,NOP,19:40,5,4,3,False
2024-01-29,MIL,DEN,15:42,7,3,1,False
2024-01-31,MIL,POR,14:26,0,0,1,False
2024-02-03,MIL,DAL,18:18,2,1,3,False
2024-02-04,MIL,UTA,18:23,1,1,4,False
2024-02-06,MIL,PHO,32:15,12,6,6,True
2024-02-08,MIL,MIN,37:17,9,9,2,True
2024-02-09,MIL,CHO,15:42,5,1,6,False
2024-02-12,MIL,DEN,22:20,5,5,5,False
2024-02-13,MIL,MIA,24:25,0,3,6,False
2024-02-15,MIL,MEM,23:52,2,0,5,False
2024-02-23,MIL,MIN,20:20,8,0,4,False
2024-02-25,MIL,PHI,22:24,7,1,5,False
2024-02-27,MIL,CHO,26:26,9,5,3,False
2024-02-29,MIL,CHO,24:20,11,1,1,False
2024-03-01,MIL,CHI,24:31,0,1,1,False
2024-03-04,MIL,LAC,17:22,8,0,1,False
2024-03-06,MIL,GSW,22:24,6,3,2,False
2024-03-08,MIL,LAL,30:31,17,1,6,False
2024-03-10,MIL,LAC,26:14,5,2,3,False
2024-03-12,MIL,SAC,22:55,7,1,4,False
2024-03-14,MIL,PHI,29:15,9,4,3,False
2024-03-17,MIL,PHO,22:08,3,0,2,False
2024-03-20,MIL,BOS,24:29,7,1,5,False
2024-03-21,MIL,BRK,15:28,2,4,0,False
2024-03-24,MIL,OKC,19:07,11,1,1,False
2024-03-26,MIL,LAL,21:46,3,9,3,False
2024-03-28,MIL,NOP,22:00,3,1,1,False
2024-03-30,MIL,ATL,16:19,4,4,3,False
2024-04-02,MIL,WAS,29:09,15,5,8,False
2024-04-03,MIL,MEM,34:42,6,8,6,True
2024-04-05,MIL,TOR,33:27,4,2,4,False
2024-04-07,MIL,NYK,31:03,5,2,1,False
2024-04-09,MIL,BOS,19:49,4,2,3,False
2024-04-10,MIL,ORL,24:31,5,3,2,False
2024-04-12,MIL,OKC,16:10,8,2,1,False
2024-04-14,MIL,ORL,13:56,0,0,1,False
