Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,LAL,DEN,36:11,11,7,4,True
2023-10-26,LAL,PHO,33:05,14,5,4,True
2023-10-29,LAL,SAC,40:38,17,9,3,True
2023-10-30,LAL,ORL,36:22,28,8,2,True
2023-11-01,LAL,LAC,36:13,27,6,2,True
2023-11-04,LAL,ORL,34:42,11,4,4,True
2023-11-06,LAL,MIA,28:42,13,6,4,True
2023-11-08,LAL,HOU,27:35,22,4,2,True
2023-11-10,LAL,PHO,28:52,19,9,3,True
2023-11-12,LAL,POR,31:53,11,11,5,True
2023-11-14,LAL,MEM,26:35,24,5,3,True
2023-11-15,LAL,SAC,34:44,28,5,5,True
2023-11-17,LAL,POR,28:50,14,6,3,True
2023-11-19,LAL,HOU,24:29,4,2,5,True
2023-11-21,LAL,UTA,26:17,20,8,3,True
2023-11-22,LAL,DAL,24:24,15,5,3,True
2023-11-25,LAL,CLE,31:57,10,5,5,True
2023-11-27,LAL,PHI,24:24,12,7,2,True
2023-11-29,LAL,DET,34:19,35,9,4,True
2023-11-30,LAL,OKC,32:07,16,10,3,True
2023-12-02,LAL,HOU,26:22,9,7,2,True
2023-12-05,LAL,PHO,24:14,8,5,1,True
2023-12-07,LAL,NOP,21:59,14,1,3,True
2023-12-12,LAL,DAL,25:00,7,7,2,True
2023-12-13,LAL,SAS,32:33,12,10,3,True
2023-12-15,LAL,SAS,N/A,N/A,N/A,N/A,False
2023-12-18,LAL,NYK,27:40,9,4,3,True
2023-12-20,LAL,CHI,27:33,2,2,1,True
2023-12-21,LAL,MIN,38:21,17,8,4,True
2023-12-23,LAL,OKC,17:28,15,3,1,False
2023-12-25,LAL,BOS,17:49,8,6,1,False
2023-12-28,LAL,CHO,29:10,16,9,3,False
2023-12-30,LAL,MIN,20:16,5,3,1,False
2023-12-31,LAL,NOP,N/A,N/A,N/A,N/A,False
2024-01-03,LAL,MIA,N/A,N/A,N/A,N/A,False
2024-01-05,LAL,MEM,N/A,N/A,N/A,N/A,False
2024-01-07,LAL,LAC,30:57,13,6,0,False
2024-01-09,LAL,TOR,16:31,11,5,1,False
2024-01-11,LAL,PHO,27:24,19,6,1,False
2024-01-13,LAL,UTA,40:47,39,8,3,True
2024-01-15,LAL,OKC,35:48,14,6,2,True
2024-01-17,LAL,DAL,35:58,29,3,4,True
2024-01-19,LAL,BRK,34:53,20,7,1,True
2024-01-21,LAL,POR,33:56,34,8,1,True
2024-01-23,LAL,LAC,39:57,27,10,5,True
2024-01-25,LAL,CHI,37:43,29,4,0,True
2024-01-27,LAL,GSW,48:48,28,5,3,True
2024-01-29,LAL,HOU,41:10,23,5,1,True
2024-01-30,LAL,ATL,27:08,9,5,1,True
2024-02-01,LAL,BOS,39:02,16,14,8,True
2024-02-03,LAL,NYK,26:59,16,4,1,True
2024-02-05,LAL,CHO,39:40,28,6,4,True
2024-02-08,LAL,DEN,N/A,N/A,N/A,N/A,False
2024-02-09,LAL,NOP,39:45,30,5,2,True
2024-02-13,LAL,DET,31:41,21,3,2,True
2024-02-14,LAL,UTA,33:19,11,17,9,True
2024-02-22,LAL,GSW,33:40,18,9,5,True
2024-02-23,LAL,SAS,34:53,22,6,3,True
2024-02-25,LAL,PHO,36:54,20,7,3,True
2024-02-28,LAL,LAC,34:23,18,6,2,True
2024-02-29,LAL,WAS,43:48,22,5,6,True
2024-03-02,LAL,DEN,30:44,17,3,3,True
2024-03-04,LAL,OKC,33:30,26,3,6,True
2024-03-06,LAL,SAC,35:29,10,3,1,True
2024-03-08,LAL,MIL,38:13,44,9,6,True
2024-03-10,LAL,MIN,33:37,13,6,3,True
2024-03-13,LAL,SAC,33:10,6,6,2,True
2024-03-16,LAL,GSW,40:09,23,13,3,True
2024-03-18,LAL,ATL,30:23,27,10,4,True
2024-03-22,LAL,PHI,37:11,14,3,5,True
2024-03-24,LAL,IND,N/A,N/A,N/A,N/A,False
2024-03-26,LAL,MIL,50:23,29,12,7,True
2024-03-27,LAL,MEM,29:09,23,4,2,True
2024-03-29,LAL,IND,35:03,6,5,3,True
2024-03-31,LAL,BRK,31:52,18,6,6,True
2024-04-02,LAL,TOR,32:33,25,7,2,True
2024-04-03,LAL,WAS,37:32,18,2,3,True
2024-04-06,LAL,CLE,31:00,28,2,5,True
2024-04-07,LAL,MIN,38:51,15,11,7,True
2024-04-09,LAL,GSW,37:01,14,7,2,True
2024-04-12,LAL,MEM,34:35,4,10,3,True
2024-04-14,LAL,NOP,37:56,19,4,1,True
