Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,CHI,OKC,3:40,0,1,2,False
2023-10-27,CHI,TOR,N/A,N/A,N/A,N/A,False
2023-10-28,CHI,DET,1:11,3,0,0,False
2023-10-30,CHI,IND,N/A,N/A,N/A,N/A,False
2023-11-01,CHI,DAL,N/A,N/A,N/A,N/A,False
2023-11-03,CHI,BRK,N/A,N/A,N/A,N/A,False
2023-11-04,CHI,DEN,3:11,2,1,1,False
2023-11-06,CHI,UTA,3:13,2,1,1,False
2023-11-08,CHI,PHO,N/A,N/A,N/A,N/A,False
2023-11-12,CHI,DET,N/A,N/A,N/A,N/A,False
2023-11-13,CHI,MIL,N/A,N/A,N/A,N/A,False
2023-11-15,CHI,ORL,N/A,N/A,N/A,N/A,False
2023-11-17,CHI,ORL,N/A,N/A,N/A,N/A,False
2023-11-18,CHI,MIA,N/A,N/A,N/A,N/A,False
2023-11-20,CHI,MIA,N/A,N/A,N/A,N/A,False
2023-11-22,CHI,OKC,N/A,N/A,N/A,N/A,False
2023-11-24,CHI,TOR,N/A,N/A,N/A,N/A,False
2023-11-26,CHI,BRK,N/A,N/A,N/A,N/A,False
2023-11-28,CHI,BOS,7:34,0,1,5,False
2023-11-30,CHI,MIL,4:28,0,0,1,False
2023-12-02,CHI,NOP,N/A,N/A,N/A,N/A,False
2023-12-06,CHI,CHO,2:51,0,0,0,False
2023-12-08,CHI,SAS,N/A,N/A,N/A,N/A,False
2023-12-11,CHI,MIL,11:18,3,1,0,False
2023-12-12,CHI,DEN,11:15,2,1,0,False
2023-12-14,CHI,MIA,2:52,0,0,1,False
2023-12-16,CHI,MIA,16:19,2,2,1,False
2023-12-18,CHI,PHI,10:28,2,1,3,False
2023-12-20,CHI,LAL,21:06,2,3,5,False
2023-12-21,CHI,SAS,17:30,1,3,3,False
2023-12-23,CHI,CLE,17:03,6,0,1,False
2023-12-26,CHI,ATL,6:47,0,0,0,False
2023-12-28,CHI,IND,17:43,6,1,3,False
2023-12-30,CHI,PHI,11:23,3,0,0,False
2024-01-02,CHI,PHI,20:47,6,7,8,False
2024-01-03,CHI,NYK,8:22,2,1,1,False
2024-01-05,CHI,CHO,21:01,8,4,1,True
2024-01-08,CHI,CHO,11:40,2,1,2,False
2024-01-10,CHI,HOU,6:03,3,1,0,False
2024-01-12,CHI,GSW,7:33,2,0,1,False
2024-01-13,CHI,SAS,3:07,0,0,0,False
2024-01-15,CHI,CLE,3:54,0,0,0,False
2024-01-18,CHI,TOR,11:59,0,0,3,False
2024-01-20,CHI,MEM,18:06,7,3,5,False
2024-01-22,CHI,PHO,9:20,0,1,0,False
2024-01-25,CHI,LAL,3:19,3,1,0,False
2024-01-28,CHI,POR,8:10,3,2,0,False
2024-01-30,CHI,TOR,8:15,4,1,4,False
2024-01-31,CHI,CHO,N/A,N/A,N/A,N/A,False
2024-02-03,CHI,SAC,N/A,N/A,N/A,N/A,False
2024-02-06,CHI,MIN,N/A,N/A,N/A,N/A,False
2024-02-08,CHI,MEM,N/A,N/A,N/A,N/A,False
2024-02-10,CHI,ORL,11:39,5,2,1,False
2024-02-12,CHI,ATL,20:43,7,1,4,False
2024-02-14,CHI,CLE,6:46,0,2,0,False
2024-02-22,CHI,BOS,11:50,3,2,3,False
2024-02-25,CHI,NOP,15:24,2,3,4,False
2024-02-27,CHI,DET,15:07,3,2,1,False
2024-02-28,CHI,CLE,9:01,0,0,1,False
2024-03-01,CHI,MIL,2:17,1,0,1,False
2024-03-04,CHI,SAC,N/A,N/A,N/A,N/A,False
2024-03-06,CHI,UTA,N/A,N/A,N/A,N/A,False
2024-03-07,CHI,GSW,N/A,N/A,N/A,N/A,False
2024-03-09,CHI,LAC,0:36,0,0,0,False
2024-03-11,CHI,DAL,7:23,4,2,0,False
2024-03-13,CHI,IND,5:37,1,0,1,False
2024-03-14,CHI,LAC,13:25,4,0,1,False
2024-03-16,CHI,WAS,18:40,6,3,5,False
2024-03-18,CHI,POR,15:02,5,2,3,False
2024-03-21,CHI,HOU,17:07,6,5,7,False
2024-03-23,CHI,BOS,19:42,12,1,3,False
2024-03-25,CHI,WAS,11:28,0,1,1,False
2024-03-27,CHI,IND,13:25,0,4,2,False
2024-03-29,CHI,BRK,19:09,4,0,4,False
2024-03-31,CHI,MIN,11:07,0,1,1,False
2024-04-01,CHI,ATL,8:22,0,2,0,False
2024-04-05,CHI,NYK,13:00,2,0,0,False
2024-04-07,CHI,ORL,15:12,2,0,2,False
2024-04-09,CHI,NYK,19:13,4,1,3,False
2024-04-11,CHI,DET,17:01,12,0,2,False
2024-04-12,CHI,WAS,26:30,17,8,4,True
2024-04-14,CHI,NYK,24:27,6,1,7,False
