Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,BOS,NYK,45:55,15,6,8,True
2021-10-22,BOS,TOR,29:00,0,5,0,True
2021-10-24,BOS,HOU,35:41,8,5,6,True
2021-10-25,BOS,CHO,38:28,7,5,4,True
2021-10-27,BOS,WAS,35:55,7,3,2,True
2021-10-30,BOS,WAS,N/A,N/A,N/A,N/A,False
2021-11-01,BOS,CHI,33:10,16,0,1,True
2021-11-03,BOS,ORL,32:47,8,4,4,True
2021-11-04,BOS,MIA,30:02,9,2,4,True
2021-11-06,BOS,DAL,36:20,7,6,2,True
2021-11-10,BOS,TOR,34:33,13,6,3,True
2021-11-12,BOS,MIL,42:19,19,6,6,True
2021-11-13,BOS,CLE,34:12,2,8,4,True
2021-11-15,BOS,CLE,36:48,14,5,4,True
2021-11-17,BOS,ATL,35:25,8,11,3,True
2021-11-19,BOS,LAL,30:04,22,6,8,True
2021-11-20,BOS,OKC,34:38,7,8,1,True
2021-11-22,BOS,HOU,27:43,7,5,3,True
2021-11-24,BOS,BRK,36:29,20,8,3,True
2021-11-26,BOS,SAS,32:46,13,8,7,True
2021-11-28,BOS,TOR,36:06,21,6,8,True
2021-12-01,BOS,PHI,32:03,6,8,2,True
2021-12-03,BOS,UTA,37:24,15,2,2,True
2021-12-04,BOS,POR,23:20,17,4,2,True
2021-12-07,BOS,LAL,33:28,6,6,4,True
2021-12-08,BOS,LAC,37:03,16,6,7,True
2021-12-10,BOS,PHO,31:02,4,0,2,True
2021-12-13,BOS,MIL,29:44,2,11,5,True
2021-12-17,BOS,GSW,35:03,19,8,6,True
2021-12-18,BOS,NYK,33:52,4,5,1,True
2021-12-20,BOS,PHI,35:50,15,3,6,True
2021-12-22,BOS,CLE,31:34,4,4,2,True
2021-12-25,BOS,MIL,40:15,19,7,2,True
2021-12-27,BOS,MIN,N/A,N/A,N/A,N/A,False
2021-12-29,BOS,LAC,N/A,N/A,N/A,N/A,False
2021-12-31,BOS,PHO,39:19,24,3,9,True
2022-01-02,BOS,ORL,43:59,17,7,7,True
2022-01-05,BOS,SAS,33:05,14,6,5,True
2022-01-06,BOS,NYK,30:48,14,5,2,True
2022-01-08,BOS,NYK,25:03,10,2,3,True
2022-01-10,BOS,IND,22:54,11,1,3,True
2022-01-12,BOS,IND,N/A,N/A,N/A,N/A,False
2022-01-14,BOS,PHI,N/A,N/A,N/A,N/A,False
2022-01-15,BOS,CHI,N/A,N/A,N/A,N/A,False
2022-01-17,BOS,NOP,N/A,N/A,N/A,N/A,False
2022-01-19,BOS,CHO,N/A,N/A,N/A,N/A,False
2022-01-21,BOS,POR,N/A,N/A,N/A,N/A,False
2022-01-23,BOS,WAS,30:38,11,6,4,True
2022-01-25,BOS,SAC,23:38,0,7,3,True
2022-01-28,BOS,ATL,32:16,17,2,6,True
2022-01-29,BOS,NOP,29:55,5,12,3,True
2022-01-31,BOS,MIA,28:08,16,7,2,True
2022-02-02,BOS,CHO,33:07,22,6,4,True
2022-02-04,BOS,DET,25:22,6,6,4,True
2022-02-06,BOS,ORL,24:38,3,2,8,True
2022-02-08,BOS,BRK,27:36,22,3,1,True
2022-02-11,BOS,DEN,39:22,22,7,5,True
2022-02-13,BOS,ATL,35:09,13,7,6,True
2022-02-15,BOS,PHI,12:42,7,1,0,True
2022-02-16,BOS,DET,N/A,N/A,N/A,N/A,False
2022-02-24,BOS,BRK,29:47,15,6,3,True
2022-02-26,BOS,DET,29:13,7,7,4,True
2022-02-27,BOS,IND,35:00,13,7,3,True
2022-03-01,BOS,ATL,37:29,16,5,6,True
2022-03-03,BOS,MEM,34:34,18,12,2,True
2022-03-06,BOS,BRK,35:26,14,9,3,True
2022-03-09,BOS,CHO,31:33,12,9,3,True
2022-03-11,BOS,DET,32:38,20,5,3,True
2022-03-13,BOS,DAL,34:29,15,4,7,True
2022-03-16,BOS,GSW,33:36,20,8,4,True
2022-03-18,BOS,SAC,27:06,9,8,4,True
2022-03-20,BOS,DEN,28:54,7,7,1,True
2022-03-21,BOS,OKC,N/A,N/A,N/A,N/A,False
2022-03-23,BOS,UTA,26:56,5,13,3,True
2022-03-27,BOS,MIN,27:28,7,7,3,True
2022-03-28,BOS,TOR,39:38,28,4,10,True
2022-03-30,BOS,MIA,35:06,10,8,5,True
2022-04-01,BOS,IND,34:23,12,5,2,True
2022-04-03,BOS,WAS,23:54,7,7,1,True
2022-04-06,BOS,CHI,25:45,9,6,2,True
2022-04-07,BOS,MIL,30:21,29,7,1,True
2022-04-10,BOS,MEM,25:52,4,6,3,True
