Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,OKC,UTA,N/A,N/A,N/A,N/A,False
2021-10-22,OKC,HOU,N/A,N/A,N/A,N/A,False
2021-10-24,OKC,PHI,N/A,N/A,N/A,N/A,False
2021-10-26,OKC,GSW,N/A,N/A,N/A,N/A,False
2021-10-27,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-10-30,OKC,GSW,N/A,N/A,N/A,N/A,False
2021-11-01,OKC,LAC,N/A,N/A,N/A,N/A,False
2021-11-04,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-11-07,OKC,SAS,N/A,N/A,N/A,N/A,False
2021-11-10,OKC,NOP,N/A,N/A,N/A,N/A,False
2021-11-12,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-11-14,OKC,BRK,21:18,3,4,4,False
2021-11-15,OKC,MIA,19:37,6,0,2,False
2021-11-17,OKC,HOU,0:25,0,0,0,False
2021-11-19,OKC,MIL,14:19,2,2,1,False
2021-11-20,OKC,BOS,9:51,6,1,1,False
2021-11-22,OKC,ATL,17:38,3,1,0,False
2021-11-24,OKC,UTA,26:02,1,1,3,True
2021-11-26,OKC,WAS,N/A,N/A,N/A,N/A,False
2021-11-29,OKC,HOU,10:30,5,1,2,False
2021-12-01,OKC,HOU,10:07,0,0,1,False
2021-12-02,OKC,MEM,N/A,N/A,N/A,N/A,False
2021-12-06,OKC,DET,N/A,N/A,N/A,N/A,False
2021-12-08,OKC,TOR,N/A,N/A,N/A,N/A,False
2021-12-10,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-12-12,OKC,DAL,N/A,N/A,N/A,N/A,False
2021-12-15,OKC,NOP,22:33,4,0,2,True
2021-12-18,OKC,LAC,18:27,5,1,3,True
2021-12-20,OKC,MEM,5:45,0,1,1,False
2021-12-22,OKC,DEN,N/A,N/A,N/A,N/A,False
2021-12-23,OKC,PHO,23:28,5,2,3,True
2021-12-26,OKC,NOP,32:17,24,1,6,True
2021-12-28,OKC,SAC,25:42,14,0,5,True
2021-12-29,OKC,PHO,38:30,22,1,8,True
2021-12-31,OKC,NYK,26:07,13,1,4,True
2022-01-02,OKC,DAL,37:05,10,0,6,True
2022-01-05,OKC,MIN,37:07,11,1,3,True
2022-01-07,OKC,MIN,26:02,13,4,7,True
2022-01-09,OKC,DEN,18:35,8,3,1,False
2022-01-11,OKC,WAS,17:53,2,0,6,True
2022-01-13,OKC,BRK,26:35,9,2,6,True
2022-01-15,OKC,CLE,10:24,0,1,0,False
2022-01-17,OKC,DAL,31:26,8,0,5,False
2022-01-19,OKC,SAS,34:57,19,1,8,True
2022-01-21,OKC,CHO,26:44,5,1,6,True
2022-01-22,OKC,CLE,21:35,11,0,2,False
2022-01-24,OKC,CHI,16:15,5,0,1,True
2022-01-28,OKC,IND,N/A,N/A,N/A,N/A,False
2022-01-31,OKC,POR,28:06,7,2,8,True
2022-02-02,OKC,DAL,24:11,8,1,4,True
2022-02-04,OKC,POR,N/A,N/A,N/A,N/A,False
2022-02-05,OKC,SAC,N/A,N/A,N/A,N/A,False
2022-02-07,OKC,GSW,N/A,N/A,N/A,N/A,False
2022-02-09,OKC,TOR,N/A,N/A,N/A,N/A,False
2022-02-11,OKC,PHI,N/A,N/A,N/A,N/A,False
2022-02-12,OKC,CHI,18:57,5,1,2,False
2022-02-14,OKC,NYK,33:50,2,3,3,True
2022-02-16,OKC,SAS,30:05,7,1,1,True
2022-02-24,OKC,PHO,21:21,6,0,7,True
2022-02-25,OKC,IND,30:51,8,0,4,True
2022-02-28,OKC,SAC,9:19,3,0,1,True
2022-03-02,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-03-04,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-03-06,OKC,UTA,34:39,11,2,4,True
2022-03-08,OKC,MIL,30:18,8,0,5,True
2022-03-09,OKC,MIN,38:45,25,5,9,True
2022-03-13,OKC,MEM,N/A,N/A,N/A,N/A,False
2022-03-14,OKC,CHO,N/A,N/A,N/A,N/A,False
2022-03-16,OKC,SAS,26:01,2,1,2,True
2022-03-18,OKC,MIA,29:04,17,1,1,True
2022-03-20,OKC,ORL,27:25,2,3,4,True
2022-03-21,OKC,BOS,23:44,8,1,4,True
2022-03-23,OKC,ORL,21:32,8,0,2,True
2022-03-26,OKC,DEN,29:32,10,3,2,False
2022-03-28,OKC,POR,39:37,28,6,5,True
2022-03-30,OKC,ATL,33:38,13,3,4,True
2022-04-01,OKC,DET,24:43,7,1,3,True
2022-04-03,OKC,PHO,25:45,17,4,6,True
2022-04-05,OKC,POR,N/A,N/A,N/A,N/A,False
2022-04-06,OKC,UTA,N/A,N/A,N/A,N/A,False
2022-04-08,OKC,LAL,N/A,N/A,N/A,N/A,False
2022-04-10,OKC,LAC,N/A,N/A,N/A,N/A,False
