Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,NYK,ATL,N/A,N/A,N/A,N/A,False
2018-10-19,NYK,BRK,N/A,N/A,N/A,N/A,False
2018-10-20,NYK,BOS,N/A,N/A,N/A,N/A,False
2018-10-22,NYK,MIL,N/A,N/A,N/A,N/A,False
2018-10-24,NYK,MIA,6:14,0,1,0,False
2018-10-26,NYK,GSW,2:04,0,0,0,False
2018-10-29,NYK,BRK,2:24,0,1,0,False
2018-10-31,NYK,IND,N/A,N/A,N/A,N/A,False
2018-11-02,NYK,DAL,N/A,N/A,N/A,N/A,False
2018-11-04,NYK,WAS,2:10,0,0,0,False
2018-11-05,NYK,CHI,N/A,N/A,N/A,N/A,False
2018-11-07,NYK,ATL,N/A,N/A,N/A,N/A,False
2018-11-10,NYK,TOR,N/A,N/A,N/A,N/A,False
2018-11-11,NYK,ORL,N/A,N/A,N/A,N/A,False
2018-11-14,NYK,OKC,N/A,N/A,N/A,N/A,False
2018-11-16,NYK,NOP,N/A,N/A,N/A,N/A,False
2018-11-18,NYK,ORL,N/A,N/A,N/A,N/A,False
2018-11-20,NYK,POR,N/A,N/A,N/A,N/A,False
2018-11-21,NYK,BOS,N/A,N/A,N/A,N/A,False
2018-11-23,NYK,NOP,N/A,N/A,N/A,N/A,False
2018-11-25,NYK,MEM,N/A,N/A,N/A,N/A,False
2018-11-27,NYK,DET,N/A,N/A,N/A,N/A,False
2018-11-28,NYK,PHI,N/A,N/A,N/A,N/A,False
2018-12-01,NYK,MIL,0:01,0,0,0,False
2018-12-03,NYK,WAS,N/A,N/A,N/A,N/A,False
2018-12-06,NYK,BOS,2:43,0,0,1,False
2018-12-08,NYK,BRK,N/A,N/A,N/A,N/A,False
2018-12-09,NYK,CHO,N/A,N/A,N/A,N/A,False
2018-12-12,NYK,CLE,7:38,0,1,3,False
2018-12-14,NYK,CHO,24:11,13,0,6,False
2018-12-16,NYK,IND,9:27,5,0,3,False
2018-12-17,NYK,PHO,13:39,6,2,3,False
2018-12-19,NYK,PHI,10:11,3,2,1,False
2018-12-21,NYK,ATL,11:21,7,2,2,False
2018-12-25,NYK,MIL,13:49,9,0,3,False
2018-12-27,NYK,MIL,33:34,23,5,3,True
2018-12-29,NYK,UTA,28:38,14,5,6,True
2019-01-01,NYK,DEN,26:59,19,1,6,True
2019-01-04,NYK,LAL,21:11,6,1,5,True
2019-01-07,NYK,POR,18:50,6,0,2,True
2019-01-08,NYK,GSW,18:53,6,0,2,True
2019-01-11,NYK,IND,20:58,3,3,3,True
2019-01-13,NYK,PHI,33:38,23,5,5,False
2019-01-17,NYK,WAS,33:55,16,2,3,True
2019-01-21,NYK,OKC,6:45,2,0,1,True
2019-01-23,NYK,HOU,N/A,N/A,N/A,N/A,False
2019-01-25,NYK,BRK,N/A,N/A,N/A,N/A,False
2019-01-27,NYK,MIA,N/A,N/A,N/A,N/A,False
2019-01-28,NYK,CHO,N/A,N/A,N/A,N/A,False
2019-01-30,NYK,DAL,N/A,N/A,N/A,N/A,False
2019-02-01,NYK,BOS,16:31,9,0,2,True
2019-02-03,NYK,MEM,20:17,11,1,4,False
2019-02-05,NYK,DET,N/A,N/A,N/A,N/A,False
2019-02-08,NYK,DET,3:33,3,1,1,False
2019-02-09,NYK,TOR,N/A,N/A,N/A,N/A,False
2019-02-11,NYK,CLE,12:00,6,0,1,False
2019-02-13,NYK,PHI,28:07,7,1,6,False
2019-02-14,NYK,ATL,31:23,11,0,3,True
2019-02-22,NYK,MIN,10:33,0,0,1,True
2019-02-24,NYK,SAS,N/A,N/A,N/A,N/A,False
2019-02-26,NYK,ORL,4:27,0,0,0,False
2019-02-28,NYK,CLE,N/A,N/A,N/A,N/A,False
2019-03-03,NYK,LAC,21:21,6,2,3,False
2019-03-04,NYK,SAC,25:57,7,0,3,True
2019-03-06,NYK,PHO,N/A,N/A,N/A,N/A,False
2019-03-09,NYK,SAC,13:16,4,2,2,False
2019-03-10,NYK,MIN,N/A,N/A,N/A,N/A,False
2019-03-12,NYK,IND,N/A,N/A,N/A,N/A,False
2019-03-15,NYK,SAS,10:02,0,1,0,False
2019-03-17,NYK,LAL,N/A,N/A,N/A,N/A,False
2019-03-18,NYK,TOR,13:10,6,0,3,False
2019-03-20,NYK,UTA,11:16,0,0,4,False
2019-03-22,NYK,DEN,3:11,0,0,0,False
2019-03-24,NYK,LAC,N/A,N/A,N/A,N/A,False
2019-03-28,NYK,TOR,8:51,3,2,0,False
2019-03-30,NYK,MIA,36:26,17,3,8,True
2019-04-01,NYK,CHI,28:28,24,1,6,True
2019-04-03,NYK,ORL,14:11,6,0,3,False
2019-04-05,NYK,HOU,19:04,6,2,5,False
2019-04-07,NYK,WAS,35:49,17,1,7,True
2019-04-09,NYK,CHI,38:46,12,4,13,True
2019-04-10,NYK,DET,28:08,6,2,2,True
