Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,MEM,NOP,14:38,2,1,2,False
2023-10-27,MEM,DEN,16:09,6,0,5,False
2023-10-28,MEM,WAS,15:35,5,1,1,False
2023-10-30,MEM,DAL,6:16,0,0,0,False
2023-11-01,MEM,UTA,8:30,4,0,0,False
2023-11-03,MEM,POR,N/A,N/A,N/A,N/A,False
2023-11-05,MEM,POR,N/A,N/A,N/A,N/A,False
2023-11-08,MEM,MIA,N/A,N/A,N/A,N/A,False
2023-11-10,MEM,UTA,N/A,N/A,N/A,N/A,False
2023-11-12,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-11-14,MEM,LAL,N/A,N/A,N/A,N/A,False
2023-11-18,MEM,SAS,N/A,N/A,N/A,N/A,False
2023-11-19,MEM,BOS,N/A,N/A,N/A,N/A,False
2023-11-22,MEM,HOU,N/A,N/A,N/A,N/A,False
2023-11-24,MEM,PHO,N/A,N/A,N/A,N/A,False
2023-11-26,MEM,MIN,N/A,N/A,N/A,N/A,False
2023-11-29,MEM,UTA,N/A,N/A,N/A,N/A,False
2023-12-01,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-12-02,MEM,PHO,N/A,N/A,N/A,N/A,False
2023-12-06,MEM,DET,N/A,N/A,N/A,N/A,False
2023-12-08,MEM,MIN,N/A,N/A,N/A,N/A,False
2023-12-11,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-12-13,MEM,HOU,15:26,4,2,0,False
2023-12-15,MEM,HOU,10:13,2,1,0,False
2023-12-18,MEM,OKC,12:00,3,0,3,False
2023-12-19,MEM,NOP,N/A,N/A,N/A,N/A,False
2023-12-21,MEM,IND,N/A,N/A,N/A,N/A,False
2023-12-23,MEM,ATL,N/A,N/A,N/A,N/A,False
2023-12-26,MEM,NOP,N/A,N/A,N/A,N/A,False
2023-12-28,MEM,DEN,N/A,N/A,N/A,N/A,False
2023-12-29,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-12-31,MEM,SAC,N/A,N/A,N/A,N/A,False
2024-01-02,MEM,SAS,N/A,N/A,N/A,N/A,False
2024-01-03,MEM,TOR,N/A,N/A,N/A,N/A,False
2024-01-05,MEM,LAL,N/A,N/A,N/A,N/A,False
2024-01-07,MEM,PHO,N/A,N/A,N/A,N/A,False
2024-01-09,MEM,DAL,2:03,0,0,1,False
2024-01-12,MEM,LAC,19:53,12,1,4,False
2024-01-13,MEM,NYK,1:19,2,0,0,False
2024-01-15,MEM,GSW,N/A,N/A,N/A,N/A,False
2024-01-18,MEM,MIN,N/A,N/A,N/A,N/A,False
2024-01-20,MEM,CHI,N/A,N/A,N/A,N/A,False
2024-01-22,MEM,TOR,N/A,N/A,N/A,N/A,False
2024-01-24,MEM,MIA,N/A,N/A,N/A,N/A,False
2024-01-26,MEM,ORL,N/A,N/A,N/A,N/A,False
2024-01-28,MEM,IND,N/A,N/A,N/A,N/A,False
2024-01-29,MEM,SAC,N/A,N/A,N/A,N/A,False
2024-02-01,MEM,CLE,N/A,N/A,N/A,N/A,False
2024-02-02,MEM,GSW,N/A,N/A,N/A,N/A,False
2024-02-04,MEM,BOS,N/A,N/A,N/A,N/A,False
2024-02-06,MEM,NYK,N/A,N/A,N/A,N/A,False
2024-02-08,MEM,CHI,N/A,N/A,N/A,N/A,False
2024-02-10,MEM,CHO,N/A,N/A,N/A,N/A,False
2024-02-12,MEM,NOP,N/A,N/A,N/A,N/A,False
2024-02-14,MEM,HOU,N/A,N/A,N/A,N/A,False
2024-02-15,MEM,MIL,N/A,N/A,N/A,N/A,False
2024-02-23,MEM,LAC,16:41,3,2,4,False
2024-02-26,MEM,BRK,27:44,10,2,5,False
2024-02-28,MEM,MIN,18:53,5,2,5,False
2024-03-01,MEM,POR,26:09,21,2,2,False
2024-03-02,MEM,POR,13:44,6,0,2,False
2024-03-04,MEM,BRK,28:38,14,3,10,False
2024-03-06,MEM,PHI,31:57,19,0,13,False
2024-03-08,MEM,ATL,26:06,14,3,3,False
2024-03-10,MEM,OKC,24:13,13,4,1,True
2024-03-12,MEM,WAS,23:41,16,1,4,False
2024-03-13,MEM,CHO,30:12,5,0,5,False
2024-03-16,MEM,OKC,23:31,14,0,4,False
2024-03-18,MEM,SAC,40:49,12,5,8,False
2024-03-20,MEM,GSW,31:35,12,3,5,False
2024-03-22,MEM,SAS,27:47,15,1,5,False
2024-03-25,MEM,DEN,22:54,3,2,2,False
2024-03-27,MEM,LAL,31:59,25,4,6,False
2024-03-30,MEM,ORL,27:57,10,1,2,True
2024-04-01,MEM,DET,24:43,12,2,4,False
2024-04-03,MEM,MIL,27:39,9,2,2,False
2024-04-05,MEM,DET,33:43,12,2,5,True
2024-04-06,MEM,PHI,N/A,N/A,N/A,N/A,False
2024-04-09,MEM,SAS,N/A,N/A,N/A,N/A,False
2024-04-10,MEM,CLE,40:00,32,1,7,True
2024-04-12,MEM,LAL,43:15,28,6,3,True
2024-04-14,MEM,DEN,39:42,29,4,5,True
