Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,SAC,POR,N/A,N/A,N/A,N/A,False
2022-10-22,SAC,LAC,N/A,N/A,N/A,N/A,False
2022-10-23,SAC,GSW,N/A,N/A,N/A,N/A,False
2022-10-27,SAC,MEM,3:12,0,0,1,False
2022-10-29,SAC,MIA,3:09,1,0,1,False
2022-10-31,SAC,CHO,1:57,0,0,0,False
2022-11-02,SAC,MIA,N/A,N/A,N/A,N/A,False
2022-11-05,SAC,ORL,N/A,N/A,N/A,N/A,False
2022-11-07,SAC,GSW,N/A,N/A,N/A,N/A,False
2022-11-09,SAC,CLE,N/A,N/A,N/A,N/A,False
2022-11-11,SAC,LAL,N/A,N/A,N/A,N/A,False
2022-11-13,SAC,GSW,N/A,N/A,N/A,N/A,False
2022-11-15,SAC,BRK,5:04,4,0,1,False
2022-11-17,SAC,SAS,1:37,0,0,0,False
2022-11-20,SAC,DET,N/A,N/A,N/A,N/A,False
2022-11-22,SAC,MEM,N/A,N/A,N/A,N/A,False
2022-11-23,SAC,ATL,N/A,N/A,N/A,N/A,False
2022-11-25,SAC,BOS,N/A,N/A,N/A,N/A,False
2022-11-28,SAC,PHO,N/A,N/A,N/A,N/A,False
2022-11-30,SAC,IND,4:55,4,1,5,False
2022-12-03,SAC,LAC,3:31,2,0,0,False
2022-12-04,SAC,CHI,N/A,N/A,N/A,N/A,False
2022-12-07,SAC,MIL,1:18,0,1,1,False
2022-12-09,SAC,CLE,N/A,N/A,N/A,N/A,False
2022-12-11,SAC,NYK,N/A,N/A,N/A,N/A,False
2022-12-13,SAC,PHI,N/A,N/A,N/A,N/A,False
2022-12-14,SAC,TOR,N/A,N/A,N/A,N/A,False
2022-12-16,SAC,DET,N/A,N/A,N/A,N/A,False
2022-12-19,SAC,CHO,N/A,N/A,N/A,N/A,False
2022-12-21,SAC,LAL,N/A,N/A,N/A,N/A,False
2022-12-23,SAC,WAS,N/A,N/A,N/A,N/A,False
2022-12-27,SAC,DEN,13:54,2,0,4,True
2022-12-28,SAC,DEN,N/A,N/A,N/A,N/A,False
2022-12-30,SAC,UTA,N/A,N/A,N/A,N/A,False
2023-01-01,SAC,MEM,1:26,0,1,0,False
2023-01-03,SAC,UTA,N/A,N/A,N/A,N/A,False
2023-01-04,SAC,ATL,N/A,N/A,N/A,N/A,False
2023-01-07,SAC,LAL,N/A,N/A,N/A,N/A,False
2023-01-09,SAC,ORL,N/A,N/A,N/A,N/A,False
2023-01-11,SAC,HOU,N/A,N/A,N/A,N/A,False
2023-01-13,SAC,HOU,N/A,N/A,N/A,N/A,False
2023-01-15,SAC,SAS,N/A,N/A,N/A,N/A,False
2023-01-18,SAC,LAL,N/A,N/A,N/A,N/A,False
2023-01-20,SAC,OKC,N/A,N/A,N/A,N/A,False
2023-01-21,SAC,PHI,0:02,0,0,0,False
2023-01-23,SAC,MEM,3:22,0,1,2,False
2023-01-25,SAC,TOR,N/A,N/A,N/A,N/A,False
2023-01-28,SAC,MIN,N/A,N/A,N/A,N/A,False
2023-01-30,SAC,MIN,N/A,N/A,N/A,N/A,False
2023-02-01,SAC,SAS,N/A,N/A,N/A,N/A,False
2023-02-03,SAC,IND,N/A,N/A,N/A,N/A,False
2023-02-05,SAC,NOP,N/A,N/A,N/A,N/A,False
2023-02-06,SAC,HOU,2:27,0,1,0,False
2023-02-08,SAC,HOU,N/A,N/A,N/A,N/A,False
2023-02-10,SAC,DAL,N/A,N/A,N/A,N/A,False
2023-02-11,SAC,DAL,N/A,N/A,N/A,N/A,False
2023-02-14,SAC,PHO,N/A,N/A,N/A,N/A,False
2023-02-23,SAC,POR,1:48,0,0,0,False
2023-02-24,SAC,LAC,N/A,N/A,N/A,N/A,False
2023-02-26,SAC,OKC,N/A,N/A,N/A,N/A,False
2023-02-28,SAC,OKC,N/A,N/A,N/A,N/A,False
2023-03-03,SAC,LAC,N/A,N/A,N/A,N/A,False
2023-03-04,SAC,MIN,0:20,0,0,0,False
2023-03-06,SAC,NOP,0:40,0,0,0,False
2023-03-09,SAC,NYK,N/A,N/A,N/A,N/A,False
2023-03-11,SAC,PHO,N/A,N/A,N/A,N/A,False
2023-03-13,SAC,MIL,N/A,N/A,N/A,N/A,False
2023-03-15,SAC,CHI,4:38,0,0,1,False
2023-03-16,SAC,BRK,N/A,N/A,N/A,N/A,False
2023-03-18,SAC,WAS,4:13,0,1,1,False
2023-03-20,SAC,UTA,N/A,N/A,N/A,N/A,False
2023-03-21,SAC,BOS,N/A,N/A,N/A,N/A,False
2023-03-24,SAC,PHO,N/A,N/A,N/A,N/A,False
2023-03-25,SAC,UTA,N/A,N/A,N/A,N/A,False
2023-03-27,SAC,MIN,7:29,4,0,2,False
2023-03-29,SAC,POR,15:31,5,0,8,False
2023-03-31,SAC,POR,12:45,4,0,2,False
2023-04-02,SAC,SAS,13:24,6,2,7,False
2023-04-04,SAC,NOP,12:54,4,1,4,False
2023-04-05,SAC,DAL,12:53,2,0,9,False
2023-04-07,SAC,GSW,16:27,5,2,6,True
2023-04-09,SAC,DEN,12:17,0,1,5,False
