Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,HOU,ATL,N/A,N/A,N/A,N/A,False
2022-10-21,HOU,MEM,N/A,N/A,N/A,N/A,False
2022-10-22,HOU,MIL,N/A,N/A,N/A,N/A,False
2022-10-24,HOU,UTA,N/A,N/A,N/A,N/A,False
2022-10-26,HOU,UTA,20:18,7,1,5,True
2022-10-28,HOU,POR,17:47,9,6,3,False
2022-10-30,HOU,PHO,30:00,9,3,5,True
2022-10-31,HOU,LAC,N/A,N/A,N/A,N/A,False
2022-11-02,HOU,LAC,N/A,N/A,N/A,N/A,False
2022-11-05,HOU,MIN,N/A,N/A,N/A,N/A,False
2022-11-07,HOU,ORL,N/A,N/A,N/A,N/A,False
2022-11-09,HOU,TOR,N/A,N/A,N/A,N/A,False
2022-11-12,HOU,NOP,N/A,N/A,N/A,N/A,False
2022-11-14,HOU,LAC,N/A,N/A,N/A,N/A,False
2022-11-16,HOU,DAL,N/A,N/A,N/A,N/A,False
2022-11-18,HOU,IND,N/A,N/A,N/A,N/A,False
2022-11-20,HOU,GSW,N/A,N/A,N/A,N/A,False
2022-11-25,HOU,ATL,N/A,N/A,N/A,N/A,False
2022-11-26,HOU,OKC,N/A,N/A,N/A,N/A,False
2022-11-28,HOU,DEN,N/A,N/A,N/A,N/A,False
2022-11-30,HOU,DEN,N/A,N/A,N/A,N/A,False
2022-12-02,HOU,PHO,N/A,N/A,N/A,N/A,False
2022-12-03,HOU,GSW,N/A,N/A,N/A,N/A,False
2022-12-05,HOU,PHI,N/A,N/A,N/A,N/A,False
2022-12-08,HOU,SAS,N/A,N/A,N/A,N/A,False
2022-12-11,HOU,MIL,N/A,N/A,N/A,N/A,False
2022-12-13,HOU,PHO,N/A,N/A,N/A,N/A,False
2022-12-15,HOU,MIA,N/A,N/A,N/A,N/A,False
2022-12-17,HOU,POR,N/A,N/A,N/A,N/A,False
2022-12-19,HOU,SAS,N/A,N/A,N/A,N/A,False
2022-12-21,HOU,ORL,N/A,N/A,N/A,N/A,False
2022-12-23,HOU,DAL,N/A,N/A,N/A,N/A,False
2022-12-26,HOU,CHI,N/A,N/A,N/A,N/A,False
2022-12-27,HOU,BOS,N/A,N/A,N/A,N/A,False
2022-12-29,HOU,DAL,N/A,N/A,N/A,N/A,False
2022-12-31,HOU,NYK,N/A,N/A,N/A,N/A,False
2023-01-02,HOU,DAL,N/A,N/A,N/A,N/A,False
2023-01-04,HOU,NOP,N/A,N/A,N/A,N/A,False
2023-01-05,HOU,UTA,19:15,11,2,2,False
2023-01-08,HOU,MIN,17:58,3,4,4,False
2023-01-11,HOU,SAC,18:45,2,5,5,False
2023-01-13,HOU,SAC,19:04,6,3,1,False
2023-01-15,HOU,LAC,N/A,N/A,N/A,N/A,False
2023-01-16,HOU,LAL,17:40,7,4,1,False
2023-01-18,HOU,CHO,23:33,4,1,4,False
2023-01-21,HOU,MIN,21:12,8,4,3,False
2023-01-23,HOU,MIN,22:18,11,1,7,False
2023-01-25,HOU,WAS,20:59,10,4,8,False
2023-01-26,HOU,CLE,N/A,N/A,N/A,N/A,False
2023-01-28,HOU,DET,20:04,13,2,3,False
2023-02-01,HOU,OKC,20:14,4,3,6,False
2023-02-03,HOU,TOR,16:47,3,0,2,False
2023-02-04,HOU,OKC,N/A,N/A,N/A,N/A,False
2023-02-06,HOU,SAC,21:23,9,3,4,False
2023-02-08,HOU,SAC,25:12,16,2,6,False
2023-02-10,HOU,MIA,24:26,5,1,4,True
2023-02-13,HOU,PHI,24:15,6,1,2,True
2023-02-15,HOU,OKC,18:46,11,1,2,True
2023-02-24,HOU,GSW,28:28,14,4,3,True
2023-02-26,HOU,POR,25:13,17,2,2,True
2023-02-28,HOU,DEN,N/A,N/A,N/A,N/A,False
2023-03-01,HOU,MEM,18:15,11,1,3,False
2023-03-04,HOU,SAS,N/A,N/A,N/A,N/A,False
2023-03-05,HOU,SAS,22:51,16,1,2,False
2023-03-07,HOU,BRK,22:27,11,1,5,False
2023-03-09,HOU,IND,29:02,13,3,8,False
2023-03-11,HOU,CHI,22:59,9,6,5,False
2023-03-13,HOU,BOS,24:06,11,2,2,False
2023-03-15,HOU,LAL,20:51,13,4,4,False
2023-03-17,HOU,NOP,21:17,12,5,6,False
2023-03-19,HOU,NOP,22:03,2,4,1,False
2023-03-20,HOU,GSW,N/A,N/A,N/A,N/A,False
2023-03-22,HOU,MEM,N/A,N/A,N/A,N/A,False
2023-03-24,HOU,MEM,N/A,N/A,N/A,N/A,False
2023-03-26,HOU,CLE,N/A,N/A,N/A,N/A,False
2023-03-27,HOU,NYK,N/A,N/A,N/A,N/A,False
2023-03-29,HOU,BRK,N/A,N/A,N/A,N/A,False
2023-03-31,HOU,DET,N/A,N/A,N/A,N/A,False
2023-04-02,HOU,LAL,N/A,N/A,N/A,N/A,False
2023-04-04,HOU,DEN,N/A,N/A,N/A,N/A,False
2023-04-07,HOU,CHO,N/A,N/A,N/A,N/A,False
2023-04-09,HOU,WAS,N/A,N/A,N/A,N/A,False
