Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,ATL,CHO,N/A,N/A,N/A,N/A,False
2023-10-27,ATL,NYK,N/A,N/A,N/A,N/A,False
2023-10-29,ATL,MIL,3:14,1,0,2,False
2023-10-30,ATL,MIN,1:11,0,0,0,False
2023-11-01,ATL,WAS,N/A,N/A,N/A,N/A,False
2023-11-04,ATL,NOP,N/A,N/A,N/A,N/A,False
2023-11-06,ATL,OKC,N/A,N/A,N/A,N/A,False
2023-11-09,ATL,ORL,N/A,N/A,N/A,N/A,False
2023-11-11,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-11-14,ATL,DET,N/A,N/A,N/A,N/A,False
2023-11-15,ATL,NYK,N/A,N/A,N/A,N/A,False
2023-11-17,ATL,PHI,N/A,N/A,N/A,N/A,False
2023-11-21,ATL,IND,N/A,N/A,N/A,N/A,False
2023-11-22,ATL,BRK,N/A,N/A,N/A,N/A,False
2023-11-25,ATL,WAS,N/A,N/A,N/A,N/A,False
2023-11-26,ATL,BOS,N/A,N/A,N/A,N/A,False
2023-11-28,ATL,CLE,N/A,N/A,N/A,N/A,False
2023-11-30,ATL,SAS,N/A,N/A,N/A,N/A,False
2023-12-02,ATL,MIL,N/A,N/A,N/A,N/A,False
2023-12-06,ATL,BRK,N/A,N/A,N/A,N/A,False
2023-12-08,ATL,PHI,N/A,N/A,N/A,N/A,False
2023-12-11,ATL,DEN,N/A,N/A,N/A,N/A,False
2023-12-13,ATL,TOR,N/A,N/A,N/A,N/A,False
2023-12-15,ATL,TOR,N/A,N/A,N/A,N/A,False
2023-12-16,ATL,CLE,N/A,N/A,N/A,N/A,False
2023-12-18,ATL,DET,N/A,N/A,N/A,N/A,False
2023-12-20,ATL,HOU,N/A,N/A,N/A,N/A,False
2023-12-22,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-12-23,ATL,MEM,N/A,N/A,N/A,N/A,False
2023-12-26,ATL,CHI,N/A,N/A,N/A,N/A,False
2023-12-29,ATL,SAC,N/A,N/A,N/A,N/A,False
2023-12-31,ATL,WAS,N/A,N/A,N/A,N/A,False
2024-01-03,ATL,OKC,N/A,N/A,N/A,N/A,False
2024-01-05,ATL,IND,N/A,N/A,N/A,N/A,False
2024-01-07,ATL,ORL,N/A,N/A,N/A,N/A,False
2024-01-10,ATL,PHI,N/A,N/A,N/A,N/A,False
2024-01-12,ATL,IND,N/A,N/A,N/A,N/A,False
2024-01-13,ATL,WAS,N/A,N/A,N/A,N/A,False
2024-01-15,ATL,SAS,N/A,N/A,N/A,N/A,False
2024-01-17,ATL,ORL,N/A,N/A,N/A,N/A,False
2024-01-19,ATL,MIA,N/A,N/A,N/A,N/A,False
2024-01-20,ATL,CLE,N/A,N/A,N/A,N/A,False
2024-01-22,ATL,SAC,N/A,N/A,N/A,N/A,False
2024-01-24,ATL,GSW,N/A,N/A,N/A,N/A,False
2024-01-26,ATL,DAL,N/A,N/A,N/A,N/A,False
2024-01-28,ATL,TOR,N/A,N/A,N/A,N/A,False
2024-01-30,ATL,LAL,1:52,3,1,1,False
2024-02-02,ATL,PHO,N/A,N/A,N/A,N/A,False
2024-02-03,ATL,GSW,N/A,N/A,N/A,N/A,False
2024-02-05,ATL,LAC,N/A,N/A,N/A,N/A,False
2024-02-07,ATL,BOS,N/A,N/A,N/A,N/A,False
2024-02-09,ATL,PHI,N/A,N/A,N/A,N/A,False
2024-02-10,ATL,HOU,15:46,3,0,3,False
2024-02-12,ATL,CHI,N/A,N/A,N/A,N/A,False
2024-02-14,ATL,CHO,2:27,2,0,0,False
2024-02-23,ATL,TOR,N/A,N/A,N/A,N/A,False
2024-02-25,ATL,ORL,10:45,2,3,1,False
2024-02-27,ATL,UTA,21:06,7,5,2,False
2024-02-29,ATL,BRK,18:40,12,3,3,False
2024-03-02,ATL,BRK,14:02,3,3,2,False
2024-03-05,ATL,NYK,N/A,N/A,N/A,N/A,False
2024-03-06,ATL,CLE,N/A,N/A,N/A,N/A,False
2024-03-08,ATL,MEM,N/A,N/A,N/A,N/A,False
2024-03-10,ATL,NOP,N/A,N/A,N/A,N/A,False
2024-03-13,ATL,POR,N/A,N/A,N/A,N/A,False
2024-03-15,ATL,UTA,N/A,N/A,N/A,N/A,False
2024-03-17,ATL,LAC,N/A,N/A,N/A,N/A,False
2024-03-18,ATL,LAL,N/A,N/A,N/A,N/A,False
2024-03-21,ATL,PHO,N/A,N/A,N/A,N/A,False
2024-03-23,ATL,CHO,N/A,N/A,N/A,N/A,False
2024-03-25,ATL,BOS,N/A,N/A,N/A,N/A,False
2024-03-27,ATL,POR,N/A,N/A,N/A,N/A,False
2024-03-28,ATL,BOS,N/A,N/A,N/A,N/A,False
2024-03-30,ATL,MIL,N/A,N/A,N/A,N/A,False
2024-04-01,ATL,CHI,17:11,3,3,2,False
2024-04-03,ATL,DET,12:34,9,1,1,False
2024-04-04,ATL,DAL,12:39,9,1,3,False
2024-04-06,ATL,DEN,13:39,4,3,3,False
2024-04-09,ATL,MIA,10:31,4,3,4,False
2024-04-10,ATL,CHO,23:51,11,1,2,False
2024-04-12,ATL,MIN,9:44,6,0,3,False
2024-04-14,ATL,IND,6:48,2,0,1,False
