Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,HOU,ORL,6:27,0,0,0,False
2023-10-27,HOU,SAS,N/A,N/A,N/A,N/A,False
2023-10-29,HOU,GSW,N/A,N/A,N/A,N/A,False
2023-11-01,HOU,CHO,N/A,N/A,N/A,N/A,False
2023-11-04,HOU,SAC,1:22,2,0,0,False
2023-11-06,HOU,SAC,12:00,4,0,3,False
2023-11-08,HOU,LAL,N/A,N/A,N/A,N/A,False
2023-11-10,HOU,NOP,N/A,N/A,N/A,N/A,False
2023-11-12,HOU,DEN,N/A,N/A,N/A,N/A,False
2023-11-17,HOU,LAC,N/A,N/A,N/A,N/A,False
2023-11-19,HOU,LAL,N/A,N/A,N/A,N/A,False
2023-11-20,HOU,GSW,N/A,N/A,N/A,N/A,False
2023-11-22,HOU,MEM,N/A,N/A,N/A,N/A,False
2023-11-24,HOU,DEN,N/A,N/A,N/A,N/A,False
2023-11-28,HOU,DAL,N/A,N/A,N/A,N/A,False
2023-11-29,HOU,DEN,5:47,0,2,2,False
2023-12-02,HOU,LAL,3:05,0,0,2,False
2023-12-06,HOU,OKC,N/A,N/A,N/A,N/A,False
2023-12-08,HOU,DEN,N/A,N/A,N/A,N/A,False
2023-12-11,HOU,SAS,N/A,N/A,N/A,N/A,False
2023-12-13,HOU,MEM,N/A,N/A,N/A,N/A,False
2023-12-15,HOU,MEM,N/A,N/A,N/A,N/A,False
2023-12-17,HOU,MIL,N/A,N/A,N/A,N/A,False
2023-12-18,HOU,CLE,N/A,N/A,N/A,N/A,False
2023-12-20,HOU,ATL,N/A,N/A,N/A,N/A,False
2023-12-22,HOU,DAL,8:55,6,0,1,False
2023-12-23,HOU,NOP,N/A,N/A,N/A,N/A,False
2023-12-26,HOU,IND,N/A,N/A,N/A,N/A,False
2023-12-27,HOU,PHO,N/A,N/A,N/A,N/A,False
2023-12-29,HOU,PHI,N/A,N/A,N/A,N/A,False
2024-01-01,HOU,DET,N/A,N/A,N/A,N/A,False
2024-01-03,HOU,BRK,N/A,N/A,N/A,N/A,False
2024-01-05,HOU,MIN,N/A,N/A,N/A,N/A,False
2024-01-06,HOU,MIL,N/A,N/A,N/A,N/A,False
2024-01-08,HOU,MIA,N/A,N/A,N/A,N/A,False
2024-01-10,HOU,CHI,N/A,N/A,N/A,N/A,False
2024-01-12,HOU,DET,N/A,N/A,N/A,N/A,False
2024-01-13,HOU,BOS,N/A,N/A,N/A,N/A,False
2024-01-15,HOU,PHI,N/A,N/A,N/A,N/A,False
2024-01-17,HOU,NYK,N/A,N/A,N/A,N/A,False
2024-01-20,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-01-21,HOU,BOS,N/A,N/A,N/A,N/A,False
2024-01-24,HOU,POR,N/A,N/A,N/A,N/A,False
2024-01-26,HOU,CHO,5:59,0,0,2,False
2024-01-27,HOU,BRK,N/A,N/A,N/A,N/A,False
2024-01-29,HOU,LAL,0:23,0,0,0,False
2024-01-31,HOU,NOP,0:55,0,0,0,False
2024-02-02,HOU,TOR,3:53,2,0,0,False
2024-02-04,HOU,MIN,4:16,4,0,1,False
2024-02-06,HOU,IND,N/A,N/A,N/A,N/A,False
2024-02-09,HOU,TOR,N/A,N/A,N/A,N/A,False
2024-02-10,HOU,ATL,N/A,N/A,N/A,N/A,False
2024-02-12,HOU,NYK,N/A,N/A,N/A,N/A,False
2024-02-14,HOU,MEM,N/A,N/A,N/A,N/A,False
2024-02-22,HOU,NOP,N/A,N/A,N/A,N/A,False
2024-02-23,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-02-25,HOU,OKC,N/A,N/A,N/A,N/A,False
2024-02-27,HOU,OKC,N/A,N/A,N/A,N/A,False
2024-02-29,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-03-02,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-03-05,HOU,SAS,N/A,N/A,N/A,N/A,False
2024-03-06,HOU,LAC,N/A,N/A,N/A,N/A,False
2024-03-08,HOU,POR,N/A,N/A,N/A,N/A,False
2024-03-10,HOU,SAC,N/A,N/A,N/A,N/A,False
2024-03-12,HOU,SAS,N/A,N/A,N/A,N/A,False
2024-03-14,HOU,WAS,N/A,N/A,N/A,N/A,False
2024-03-16,HOU,CLE,N/A,N/A,N/A,N/A,False
2024-03-19,HOU,WAS,N/A,N/A,N/A,N/A,False
2024-03-21,HOU,CHI,N/A,N/A,N/A,N/A,False
2024-03-23,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-03-25,HOU,POR,N/A,N/A,N/A,N/A,False
2024-03-27,HOU,OKC,N/A,N/A,N/A,N/A,False
2024-03-29,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-03-31,HOU,DAL,N/A,N/A,N/A,N/A,False
2024-04-02,HOU,MIN,N/A,N/A,N/A,N/A,False
2024-04-04,HOU,GSW,N/A,N/A,N/A,N/A,False
2024-04-05,HOU,MIA,1:28,2,0,1,False
2024-04-07,HOU,DAL,N/A,N/A,N/A,N/A,False
2024-04-09,HOU,ORL,0:51,0,0,0,False
2024-04-11,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-04-12,HOU,POR,N/A,N/A,N/A,N/A,False
2024-04-14,HOU,LAC,4:46,0,1,1,False
