Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,OKC,MIN,22:01,5,1,6,True
2022-10-22,OKC,DEN,16:04,3,3,3,False
2022-10-23,OKC,MIN,18:23,6,1,2,True
2022-10-25,OKC,LAC,25:25,10,2,7,False
2022-10-27,OKC,LAC,25:57,12,3,1,False
2022-10-29,OKC,DAL,17:32,3,0,6,False
2022-11-01,OKC,ORL,N/A,N/A,N/A,N/A,False
2022-11-03,OKC,DEN,22:08,5,1,6,False
2022-11-05,OKC,MIL,16:53,3,1,3,False
2022-11-07,OKC,DET,26:25,11,4,8,False
2022-11-09,OKC,MIL,17:01,2,1,1,False
2022-11-11,OKC,TOR,19:22,6,0,6,False
2022-11-13,OKC,NYK,20:17,3,3,3,False
2022-11-14,OKC,BOS,18:59,7,2,1,False
2022-11-16,OKC,WAS,25:47,9,1,5,False
2022-11-18,OKC,MEM,11:12,5,0,1,False
2022-11-21,OKC,NYK,17:03,4,1,1,True
2022-11-23,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-11-25,OKC,CHI,33:00,8,2,5,False
2022-11-26,OKC,HOU,16:10,9,0,4,False
2022-11-28,OKC,NOP,19:18,3,1,3,False
2022-11-30,OKC,SAS,18:50,9,0,5,False
2022-12-03,OKC,MIN,21:16,15,2,3,False
2022-12-05,OKC,ATL,N/A,N/A,N/A,N/A,False
2022-12-07,OKC,MEM,N/A,N/A,N/A,N/A,False
2022-12-10,OKC,CLE,N/A,N/A,N/A,N/A,False
2022-12-12,OKC,DAL,N/A,N/A,N/A,N/A,False
2022-12-14,OKC,MIA,N/A,N/A,N/A,N/A,False
2022-12-16,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-12-17,OKC,MEM,31:56,11,5,8,False
2022-12-19,OKC,POR,28:37,12,2,4,False
2022-12-21,OKC,POR,26:46,9,2,7,False
2022-12-23,OKC,NOP,26:02,9,2,5,False
2022-12-27,OKC,SAS,17:50,7,0,5,False
2022-12-29,OKC,CHO,15:08,4,0,5,False
2022-12-31,OKC,PHI,22:57,6,2,9,False
2023-01-03,OKC,BOS,23:44,10,3,5,True
2023-01-04,OKC,ORL,20:20,12,1,9,False
2023-01-06,OKC,WAS,24:17,8,1,4,False
2023-01-08,OKC,DAL,24:47,14,2,10,True
2023-01-10,OKC,MIA,23:31,13,1,4,False
2023-01-12,OKC,PHI,16:59,8,1,4,False
2023-01-13,OKC,CHI,24:02,8,0,8,False
2023-01-15,OKC,BRK,22:40,2,1,4,False
2023-01-18,OKC,IND,22:03,12,10,5,True
2023-01-20,OKC,SAC,25:56,3,3,6,False
2023-01-22,OKC,DEN,25:22,11,4,6,False
2023-01-25,OKC,ATL,30:12,9,7,7,True
2023-01-27,OKC,CLE,20:21,7,1,7,False
2023-01-30,OKC,GSW,33:09,7,2,8,True
2023-02-01,OKC,HOU,30:10,13,2,6,False
2023-02-04,OKC,HOU,10:32,10,4,3,False
2023-02-06,OKC,GSW,19:06,9,2,4,False
2023-02-07,OKC,LAL,29:43,8,5,4,True
2023-02-10,OKC,POR,27:02,8,0,3,True
2023-02-13,OKC,NOP,30:51,9,3,8,False
2023-02-15,OKC,HOU,18:04,6,2,5,False
2023-02-23,OKC,UTA,28:01,16,3,4,False
2023-02-24,OKC,PHO,27:33,8,3,5,False
2023-02-26,OKC,SAC,20:20,7,2,5,False
2023-02-28,OKC,SAC,28:47,11,0,4,False
2023-03-01,OKC,LAL,N/A,N/A,N/A,N/A,False
2023-03-03,OKC,UTA,N/A,N/A,N/A,N/A,False
2023-03-05,OKC,UTA,N/A,N/A,N/A,N/A,False
2023-03-07,OKC,GSW,N/A,N/A,N/A,N/A,False
2023-03-08,OKC,PHO,N/A,N/A,N/A,N/A,False
2023-03-11,OKC,NOP,N/A,N/A,N/A,N/A,False
2023-03-12,OKC,SAS,N/A,N/A,N/A,N/A,False
2023-03-14,OKC,BRK,N/A,N/A,N/A,N/A,False
2023-03-16,OKC,TOR,N/A,N/A,N/A,N/A,False
2023-03-19,OKC,PHO,N/A,N/A,N/A,N/A,False
2023-03-21,OKC,LAC,N/A,N/A,N/A,N/A,False
2023-03-23,OKC,LAC,N/A,N/A,N/A,N/A,False
2023-03-24,OKC,LAL,N/A,N/A,N/A,N/A,False
2023-03-26,OKC,POR,N/A,N/A,N/A,N/A,False
2023-03-28,OKC,CHO,N/A,N/A,N/A,N/A,False
2023-03-29,OKC,DET,N/A,N/A,N/A,N/A,False
2023-03-31,OKC,IND,N/A,N/A,N/A,N/A,False
2023-04-02,OKC,PHO,N/A,N/A,N/A,N/A,False
2023-04-04,OKC,GSW,N/A,N/A,N/A,N/A,False
2023-04-06,OKC,UTA,N/A,N/A,N/A,N/A,False
2023-04-09,OKC,MEM,N/A,N/A,N/A,N/A,False
