Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,MIN,TOR,N/A,N/A,N/A,N/A,False
2023-10-28,MIN,MIA,6:01,3,4,0,False
2023-10-30,MIN,ATL,1:11,0,0,0,False
2023-11-01,MIN,DEN,4:12,0,0,0,False
2023-11-04,MIN,UTA,3:35,0,1,0,False
2023-11-06,MIN,BOS,3:51,2,0,0,False
2023-11-08,MIN,NOP,N/A,N/A,N/A,N/A,False
2023-11-10,MIN,SAS,N/A,N/A,N/A,N/A,False
2023-11-12,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-11-14,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-11-15,MIN,PHO,N/A,N/A,N/A,N/A,False
2023-11-18,MIN,NOP,N/A,N/A,N/A,N/A,False
2023-11-20,MIN,NYK,N/A,N/A,N/A,N/A,False
2023-11-22,MIN,PHI,N/A,N/A,N/A,N/A,False
2023-11-24,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-11-26,MIN,MEM,N/A,N/A,N/A,N/A,False
2023-11-28,MIN,OKC,N/A,N/A,N/A,N/A,False
2023-11-30,MIN,UTA,N/A,N/A,N/A,N/A,False
2023-12-02,MIN,CHO,N/A,N/A,N/A,N/A,False
2023-12-06,MIN,SAS,N/A,N/A,N/A,N/A,False
2023-12-08,MIN,MEM,N/A,N/A,N/A,N/A,False
2023-12-11,MIN,NOP,8:23,3,1,0,False
2023-12-14,MIN,DAL,1:46,0,1,0,False
2023-12-16,MIN,IND,3:26,0,0,0,False
2023-12-18,MIN,MIA,N/A,N/A,N/A,N/A,False
2023-12-20,MIN,PHI,2:15,0,1,0,False
2023-12-21,MIN,LAL,N/A,N/A,N/A,N/A,False
2023-12-23,MIN,SAC,1:37,0,2,0,False
2023-12-26,MIN,OKC,14:27,2,2,4,False
2023-12-28,MIN,DAL,N/A,N/A,N/A,N/A,False
2023-12-30,MIN,LAL,N/A,N/A,N/A,N/A,False
2024-01-01,MIN,NYK,11:37,9,3,1,False
2024-01-03,MIN,NOP,17:22,3,4,3,False
2024-01-05,MIN,HOU,12:49,3,3,3,False
2024-01-07,MIN,DAL,13:03,6,1,1,False
2024-01-09,MIN,ORL,15:28,4,5,0,False
2024-01-10,MIN,BOS,16:44,6,0,2,False
2024-01-12,MIN,POR,12:51,2,5,0,False
2024-01-14,MIN,LAC,N/A,N/A,N/A,N/A,False
2024-01-17,MIN,DET,8:19,0,0,2,False
2024-01-18,MIN,MEM,7:18,0,0,2,False
2024-01-20,MIN,OKC,12:39,8,3,2,False
2024-01-22,MIN,CHO,10:00,0,3,2,False
2024-01-24,MIN,WAS,13:01,5,2,2,False
2024-01-25,MIN,BRK,10:34,2,1,0,False
2024-01-27,MIN,SAS,9:07,0,1,1,False
2024-01-29,MIN,OKC,14:00,10,1,0,False
2024-01-31,MIN,DAL,13:48,0,5,3,False
2024-02-02,MIN,ORL,5:27,6,1,0,False
2024-02-04,MIN,HOU,17:11,4,2,4,False
2024-02-06,MIN,CHI,6:41,3,1,1,False
2024-02-08,MIN,MIL,N/A,N/A,N/A,N/A,False
2024-02-12,MIN,LAC,3:54,0,0,0,False
2024-02-13,MIN,POR,3:30,0,0,0,False
2024-02-15,MIN,POR,6:27,0,1,0,False
2024-02-23,MIN,MIL,N/A,N/A,N/A,N/A,False
2024-02-24,MIN,BRK,4:13,0,1,2,False
2024-02-27,MIN,SAS,15:58,9,3,2,False
2024-02-28,MIN,MEM,3:56,3,1,0,False
2024-03-01,MIN,SAC,11:55,4,4,1,False
2024-03-03,MIN,LAC,N/A,N/A,N/A,N/A,False
2024-03-04,MIN,POR,N/A,N/A,N/A,N/A,False
2024-03-07,MIN,IND,N/A,N/A,N/A,N/A,False
2024-03-08,MIN,CLE,10:35,2,4,1,False
2024-03-10,MIN,LAL,21:12,12,2,4,False
2024-03-12,MIN,LAC,17:03,4,2,6,False
2024-03-16,MIN,UTA,15:59,3,4,2,False
2024-03-18,MIN,UTA,21:45,11,0,1,False
2024-03-19,MIN,DEN,18:38,2,3,3,False
2024-03-22,MIN,CLE,18:33,12,4,2,False
2024-03-24,MIN,GSW,11:48,3,2,1,False
2024-03-27,MIN,DET,14:26,8,0,1,False
2024-03-29,MIN,DEN,12:58,5,1,4,False
2024-03-31,MIN,CHI,14:02,0,3,1,False
2024-04-02,MIN,HOU,18:13,11,7,1,False
2024-04-03,MIN,TOR,16:34,0,3,0,False
2024-04-05,MIN,PHO,13:50,4,0,1,False
2024-04-07,MIN,LAL,13:16,6,2,2,False
2024-04-09,MIN,WAS,25:07,6,7,3,False
2024-04-10,MIN,DEN,10:24,0,1,0,False
2024-04-12,MIN,ATL,14:50,4,2,1,False
2024-04-14,MIN,PHO,8:16,5,0,0,False
