Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,LAL,DEN,6:54,0,0,1,False
2023-10-26,LAL,PHO,5:57,0,0,2,False
2023-10-29,LAL,SAC,7:11,4,0,2,False
2023-10-30,LAL,ORL,9:48,0,0,2,False
2023-11-01,LAL,LAC,13:32,3,1,2,False
2023-11-04,LAL,ORL,11:11,2,1,1,False
2023-11-06,LAL,MIA,N/A,N/A,N/A,N/A,False
2023-11-08,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-11-10,LAL,PHO,4:46,2,0,1,False
2023-11-12,LAL,POR,7:00,2,1,0,False
2023-11-14,LAL,MEM,21:10,11,1,1,False
2023-11-15,LAL,SAC,13:16,3,0,1,False
2023-11-17,LAL,POR,8:16,0,0,1,False
2023-11-19,LAL,HOU,4:43,0,0,2,False
2023-11-21,LAL,UTA,18:49,10,1,2,False
2023-11-22,LAL,DAL,11:14,2,0,4,False
2023-11-25,LAL,CLE,20:43,10,1,3,False
2023-11-27,LAL,PHI,19:00,7,1,2,False
2023-11-29,LAL,DET,6:53,0,0,1,False
2023-11-30,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-12-02,LAL,HOU,6:06,2,0,0,False
2023-12-05,LAL,PHO,9:16,0,0,2,False
2023-12-07,LAL,NOP,16:46,4,0,4,False
2023-12-12,LAL,DAL,12:45,0,1,4,False
2023-12-13,LAL,SAS,7:21,4,0,1,False
2023-12-15,LAL,SAS,19:50,8,0,7,True
2023-12-18,LAL,NYK,7:43,2,0,2,False
2023-12-20,LAL,CHI,1:18,2,0,1,False
2023-12-21,LAL,MIN,11:16,3,1,3,False
2023-12-23,LAL,OKC,6:08,0,1,0,False
2023-12-25,LAL,BOS,9:10,0,0,1,False
2023-12-28,LAL,CHO,6:42,10,0,2,False
2023-12-30,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-12-31,LAL,NOP,9:54,0,0,2,False
2024-01-03,LAL,MIA,0:39,0,0,0,False
2024-01-05,LAL,MEM,N/A,N/A,N/A,N/A,False
2024-01-07,LAL,LAC,N/A,N/A,N/A,N/A,False
2024-01-09,LAL,TOR,N/A,N/A,N/A,N/A,False
2024-01-11,LAL,PHO,13:01,6,1,2,False
2024-01-13,LAL,UTA,N/A,N/A,N/A,N/A,False
2024-01-15,LAL,OKC,N/A,N/A,N/A,N/A,False
2024-01-17,LAL,DAL,4:44,0,1,0,False
2024-01-19,LAL,BRK,2:56,0,0,0,False
2024-01-21,LAL,POR,4:06,4,0,1,False
2024-01-23,LAL,LAC,0:55,0,0,0,False
2024-01-25,LAL,CHI,N/A,N/A,N/A,N/A,False
2024-01-27,LAL,GSW,N/A,N/A,N/A,N/A,False
2024-01-29,LAL,HOU,13:42,9,0,2,False
2024-01-30,LAL,ATL,24:28,6,1,6,True
2024-02-01,LAL,BOS,33:52,16,2,10,True
2024-02-03,LAL,NYK,12:30,10,3,1,False
2024-02-05,LAL,CHO,10:52,0,0,3,False
2024-02-08,LAL,DEN,17:00,9,1,6,False
2024-02-09,LAL,NOP,17:09,6,0,8,False
2024-02-13,LAL,DET,13:28,2,1,7,False
2024-02-14,LAL,UTA,11:40,4,1,0,False
2024-02-22,LAL,GSW,18:22,7,1,7,False
2024-02-23,LAL,SAS,18:57,8,0,4,False
2024-02-25,LAL,PHO,5:33,2,0,0,False
2024-02-28,LAL,LAC,10:37,0,0,2,False
2024-02-29,LAL,WAS,10:55,6,0,5,False
2024-03-02,LAL,DEN,8:53,4,0,4,False
2024-03-04,LAL,OKC,17:47,4,2,6,False
2024-03-06,LAL,SAC,12:53,1,0,5,False
2024-03-08,LAL,MIL,17:19,8,0,1,False
2024-03-10,LAL,MIN,15:50,9,0,5,False
2024-03-13,LAL,SAC,6:52,4,0,1,False
2024-03-16,LAL,GSW,28:02,7,0,12,False
2024-03-18,LAL,ATL,16:47,7,0,3,False
2024-03-22,LAL,PHI,8:20,5,1,5,False
2024-03-24,LAL,IND,7:59,4,0,4,False
2024-03-26,LAL,MIL,16:56,2,0,4,False
2024-03-27,LAL,MEM,30:30,14,1,7,True
2024-03-29,LAL,IND,10:30,2,2,2,False
2024-03-31,LAL,BRK,N/A,N/A,N/A,N/A,False
2024-04-02,LAL,TOR,18:33,7,2,7,False
2024-04-03,LAL,WAS,9:51,3,2,0,False
2024-04-06,LAL,CLE,11:41,4,0,3,False
2024-04-07,LAL,MIN,32:36,19,0,10,False
2024-04-09,LAL,GSW,28:19,11,1,6,True
2024-04-12,LAL,MEM,5:11,2,0,2,False
2024-04-14,LAL,NOP,12:08,0,0,3,False
