Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,BRK,NOP,34:09,10,3,7,True
2022-10-21,BRK,TOR,39:18,7,3,4,True
2022-10-24,BRK,MEM,35:43,8,4,3,True
2022-10-26,BRK,MIL,37:03,12,0,0,True
2022-10-27,BRK,DAL,40:45,10,1,7,True
2022-10-29,BRK,IND,37:47,11,5,1,True
2022-10-31,BRK,IND,36:49,8,5,8,True
2022-11-01,BRK,CHI,33:42,20,3,5,True
2022-11-04,BRK,WAS,28:47,13,8,3,True
2022-11-05,BRK,CHO,38:05,6,5,4,True
2022-11-07,BRK,DAL,40:57,15,8,4,True
2022-11-09,BRK,NYK,33:53,6,5,10,True
2022-11-12,BRK,LAC,34:32,12,3,5,True
2022-11-13,BRK,LAL,37:14,6,4,4,True
2022-11-15,BRK,SAC,24:08,3,1,2,True
2022-11-17,BRK,POR,37:19,11,11,10,True
2022-11-20,BRK,MEM,31:29,12,8,5,True
2022-11-22,BRK,PHI,39:07,11,6,7,True
2022-11-23,BRK,TOR,27:25,15,7,4,True
2022-11-25,BRK,IND,40:44,9,3,4,True
2022-11-27,BRK,POR,38:27,7,4,5,True
2022-11-28,BRK,ORL,36:20,5,5,10,True
2022-11-30,BRK,WAS,39:16,8,7,8,True
2022-12-02,BRK,TOR,32:18,11,4,8,True
2022-12-04,BRK,BOS,41:22,6,4,4,True
2022-12-07,BRK,CHO,37:22,3,4,4,True
2022-12-09,BRK,ATL,37:19,6,5,9,True
2022-12-10,BRK,IND,N/A,N/A,N/A,N/A,False
2022-12-12,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-12-16,BRK,TOR,32:28,0,3,7,True
2022-12-18,BRK,DET,31:37,11,2,2,True
2022-12-21,BRK,GSW,26:50,14,2,0,True
2022-12-23,BRK,MIL,27:48,17,0,1,True
2022-12-26,BRK,CLE,36:13,10,4,3,True
2022-12-28,BRK,ATL,34:59,7,1,4,True
2022-12-31,BRK,CHO,32:07,14,6,3,True
2023-01-02,BRK,SAS,N/A,N/A,N/A,N/A,False
2023-01-04,BRK,CHI,34:44,0,3,4,True
2023-01-06,BRK,NOP,36:12,14,1,7,True
2023-01-08,BRK,MIA,34:53,8,6,6,True
2023-01-12,BRK,BOS,38:11,11,2,5,True
2023-01-15,BRK,OKC,33:25,11,8,10,True
2023-01-17,BRK,SAS,21:08,5,0,2,True
2023-01-19,BRK,PHO,34:00,4,4,3,True
2023-01-20,BRK,UTA,34:18,13,6,5,True
2023-01-22,BRK,GSW,39:11,16,1,6,True
2023-01-25,BRK,PHI,34:44,8,5,4,True
2023-01-26,BRK,DET,28:42,3,1,3,True
2023-01-28,BRK,NYK,36:00,14,3,5,True
2023-01-30,BRK,LAL,28:08,14,3,6,True
2023-02-01,BRK,BOS,26:31,7,4,6,True
2023-02-04,BRK,WAS,27:31,10,4,6,True
2023-02-06,BRK,LAC,35:21,15,3,1,True
2023-02-07,BRK,PHO,28:53,3,6,4,True
2023-02-09,BRK,CHI,28:15,6,4,3,True
2023-02-11,BRK,PHI,17:12,3,3,4,False
2023-02-13,BRK,NYK,21:49,8,1,3,False
2023-02-15,BRK,MIA,24:50,8,4,3,False
2023-02-24,BRK,CHI,23:48,2,3,5,False
2023-02-26,BRK,ATL,19:41,12,0,4,False
2023-02-28,BRK,MIL,27:38,4,1,6,False
2023-03-01,BRK,NYK,23:40,3,4,6,False
2023-03-03,BRK,BOS,34:06,10,3,6,False
2023-03-05,BRK,CHO,18:48,3,3,2,False
2023-03-07,BRK,HOU,32:40,11,3,11,False
2023-03-09,BRK,MIL,N/A,N/A,N/A,N/A,False
2023-03-10,BRK,MIN,36:21,12,2,15,False
2023-03-12,BRK,DEN,29:03,11,4,6,False
2023-03-14,BRK,OKC,17:14,6,2,5,False
2023-03-16,BRK,SAC,23:59,7,2,5,False
2023-03-19,BRK,DEN,27:27,7,6,3,False
2023-03-21,BRK,CLE,24:43,12,2,8,False
2023-03-23,BRK,CLE,29:45,12,2,8,False
2023-03-25,BRK,MIA,26:36,8,2,3,False
2023-03-26,BRK,ORL,N/A,N/A,N/A,N/A,False
2023-03-29,BRK,HOU,25:56,9,4,5,False
2023-03-31,BRK,ATL,31:48,5,6,4,False
2023-04-02,BRK,UTA,19:07,3,4,3,False
2023-04-04,BRK,MIN,35:07,8,3,6,False
2023-04-05,BRK,DET,37:03,15,8,7,True
2023-04-07,BRK,ORL,27:08,6,3,5,False
2023-04-09,BRK,PHI,N/A,N/A,N/A,N/A,False
