Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MIN,OKC,12:26,11,1,3,False
2022-10-21,MIN,UTA,18:24,4,1,6,False
2022-10-23,MIN,OKC,23:17,11,3,3,False
2022-10-24,MIN,SAS,8:47,3,0,0,False
2022-10-26,MIN,SAS,19:23,6,2,2,False
2022-10-28,MIN,LAL,25:56,13,0,5,False
2022-10-30,MIN,SAS,23:23,9,1,2,False
2022-11-01,MIN,PHO,17:29,8,2,2,False
2022-11-04,MIN,MIL,15:09,6,0,1,False
2022-11-05,MIN,HOU,31:33,16,2,6,False
2022-11-07,MIN,NYK,21:30,2,2,3,False
2022-11-09,MIN,PHO,19:07,4,0,1,False
2022-11-11,MIN,MEM,19:30,5,0,0,False
2022-11-13,MIN,CLE,21:46,19,1,2,False
2022-11-16,MIN,ORL,13:54,5,3,1,False
2022-11-19,MIN,PHI,19:00,9,1,3,False
2022-11-21,MIN,MIA,30:13,7,2,4,False
2022-11-23,MIN,IND,10:45,4,0,1,False
2022-11-25,MIN,CHO,N/A,N/A,N/A,N/A,False
2022-11-27,MIN,GSW,N/A,N/A,N/A,N/A,False
2022-11-28,MIN,WAS,N/A,N/A,N/A,N/A,False
2022-11-30,MIN,MEM,N/A,N/A,N/A,N/A,False
2022-12-03,MIN,OKC,N/A,N/A,N/A,N/A,False
2022-12-07,MIN,IND,N/A,N/A,N/A,N/A,False
2022-12-09,MIN,UTA,N/A,N/A,N/A,N/A,False
2022-12-10,MIN,POR,N/A,N/A,N/A,N/A,False
2022-12-12,MIN,POR,N/A,N/A,N/A,N/A,False
2022-12-14,MIN,LAC,N/A,N/A,N/A,N/A,False
2022-12-16,MIN,OKC,N/A,N/A,N/A,N/A,False
2022-12-18,MIN,CHI,N/A,N/A,N/A,N/A,False
2022-12-19,MIN,DAL,N/A,N/A,N/A,N/A,False
2022-12-21,MIN,DAL,N/A,N/A,N/A,N/A,False
2022-12-23,MIN,BOS,N/A,N/A,N/A,N/A,False
2022-12-26,MIN,MIA,N/A,N/A,N/A,N/A,False
2022-12-28,MIN,NOP,N/A,N/A,N/A,N/A,False
2022-12-30,MIN,MIL,N/A,N/A,N/A,N/A,False
2022-12-31,MIN,DET,N/A,N/A,N/A,N/A,False
2023-01-02,MIN,DEN,N/A,N/A,N/A,N/A,False
2023-01-04,MIN,POR,20:46,11,0,2,False
2023-01-06,MIN,LAC,26:08,10,1,3,False
2023-01-08,MIN,HOU,26:42,14,4,0,False
2023-01-11,MIN,DET,27:07,9,2,2,False
2023-01-13,MIN,PHO,19:22,16,0,1,False
2023-01-14,MIN,CLE,25:43,7,2,3,False
2023-01-16,MIN,UTA,22:11,12,0,2,False
2023-01-18,MIN,DEN,31:35,14,1,4,False
2023-01-19,MIN,TOR,23:38,6,4,0,False
2023-01-21,MIN,HOU,21:30,7,4,2,False
2023-01-23,MIN,HOU,N/A,N/A,N/A,N/A,False
2023-01-25,MIN,NOP,N/A,N/A,N/A,N/A,False
2023-01-27,MIN,MEM,N/A,N/A,N/A,N/A,False
2023-01-28,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-01-30,MIN,SAC,13:24,3,0,4,False
2023-02-01,MIN,GSW,20:54,5,1,3,False
2023-02-03,MIN,ORL,19:25,8,2,2,False
2023-02-05,MIN,DEN,26:07,9,2,4,False
2023-02-07,MIN,DEN,19:07,5,1,0,False
2023-02-08,MIN,UTA,28:44,12,7,5,True
2023-02-10,MIN,MEM,18:26,12,3,3,False
2023-02-13,MIN,DAL,22:28,7,5,1,True
2023-02-16,MIN,WAS,22:18,5,0,4,False
2023-02-24,MIN,CHO,N/A,N/A,N/A,N/A,False
2023-02-26,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-02-28,MIN,LAC,23:11,10,0,1,False
2023-03-03,MIN,LAL,20:38,13,4,4,False
2023-03-04,MIN,SAC,18:23,8,2,0,False
2023-03-07,MIN,PHI,25:03,13,2,3,False
2023-03-10,MIN,BRK,23:06,8,0,3,False
2023-03-13,MIN,ATL,22:04,9,2,1,False
2023-03-15,MIN,BOS,20:11,3,1,2,False
2023-03-17,MIN,CHI,24:54,4,1,3,False
2023-03-18,MIN,TOR,30:00,4,2,2,True
2023-03-20,MIN,NYK,32:09,35,2,5,True
2023-03-22,MIN,ATL,28:22,15,3,2,False
2023-03-26,MIN,GSW,13:56,5,2,1,False
2023-03-27,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-03-29,MIN,PHO,N/A,N/A,N/A,N/A,False
2023-03-31,MIN,LAL,20:34,6,1,3,False
2023-04-02,MIN,POR,19:02,6,0,2,False
2023-04-04,MIN,BRK,23:04,7,0,3,False
2023-04-08,MIN,SAS,25:17,15,2,4,False
2023-04-09,MIN,NOP,35:23,18,0,3,False
