Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,CHI,DET,27:08,3,3,3,False
2021-10-22,CHI,NOP,28:49,9,3,3,False
2021-10-23,CHI,DET,26:31,12,4,0,False
2021-10-25,CHI,TOR,27:43,8,2,2,False
2021-10-28,CHI,NYK,32:54,10,6,1,False
2021-10-30,CHI,UTA,24:59,7,3,4,False
2021-11-01,CHI,BOS,23:17,9,6,3,False
2021-11-03,CHI,PHI,31:55,6,6,3,False
2021-11-06,CHI,PHI,32:13,9,4,3,False
2021-11-08,CHI,BRK,23:57,5,2,4,False
2021-11-10,CHI,DAL,22:44,16,1,2,False
2021-11-12,CHI,GSW,24:45,4,5,3,False
2021-11-14,CHI,LAC,38:40,7,5,9,True
2021-11-15,CHI,LAL,34:27,0,5,6,True
2021-11-17,CHI,POR,37:36,12,9,10,True
2021-11-19,CHI,DEN,34:18,4,2,4,True
2021-11-21,CHI,NYK,30:02,7,4,4,True
2021-11-22,CHI,IND,N/A,N/A,N/A,N/A,False
2021-11-24,CHI,HOU,32:49,15,2,4,False
2021-11-26,CHI,ORL,25:15,4,3,5,False
2021-11-27,CHI,MIA,34:07,22,6,3,False
2021-11-29,CHI,CHO,25:05,14,7,3,False
2021-12-02,CHI,NYK,30:30,6,6,6,False
2021-12-04,CHI,BRK,7:59,6,0,1,True
2021-12-06,CHI,DEN,N/A,N/A,N/A,N/A,False
2021-12-08,CHI,CLE,N/A,N/A,N/A,N/A,False
2021-12-11,CHI,MIA,27:25,6,5,1,True
2021-12-19,CHI,LAL,37:46,17,2,9,True
2021-12-20,CHI,HOU,6:04,0,2,1,True
2021-12-26,CHI,IND,N/A,N/A,N/A,N/A,False
2021-12-27,CHI,ATL,N/A,N/A,N/A,N/A,False
2021-12-29,CHI,ATL,N/A,N/A,N/A,N/A,False
2021-12-31,CHI,IND,N/A,N/A,N/A,N/A,False
2022-01-01,CHI,WAS,N/A,N/A,N/A,N/A,False
2022-01-03,CHI,ORL,N/A,N/A,N/A,N/A,False
2022-01-07,CHI,WAS,N/A,N/A,N/A,N/A,False
2022-01-09,CHI,DAL,N/A,N/A,N/A,N/A,False
2022-01-11,CHI,DET,N/A,N/A,N/A,N/A,False
2022-01-12,CHI,BRK,N/A,N/A,N/A,N/A,False
2022-01-14,CHI,GSW,N/A,N/A,N/A,N/A,False
2022-01-15,CHI,BOS,N/A,N/A,N/A,N/A,False
2022-01-17,CHI,MEM,N/A,N/A,N/A,N/A,False
2022-01-19,CHI,CLE,22:55,9,2,3,False
2022-01-21,CHI,MIL,23:34,7,4,8,False
2022-01-23,CHI,ORL,N/A,N/A,N/A,N/A,False
2022-01-24,CHI,OKC,N/A,N/A,N/A,N/A,False
2022-01-26,CHI,TOR,N/A,N/A,N/A,N/A,False
2022-01-28,CHI,SAS,N/A,N/A,N/A,N/A,False
2022-01-30,CHI,POR,N/A,N/A,N/A,N/A,False
2022-02-01,CHI,ORL,N/A,N/A,N/A,N/A,False
2022-02-03,CHI,TOR,N/A,N/A,N/A,N/A,False
2022-02-04,CHI,IND,N/A,N/A,N/A,N/A,False
2022-02-06,CHI,PHI,N/A,N/A,N/A,N/A,False
2022-02-07,CHI,PHO,N/A,N/A,N/A,N/A,False
2022-02-09,CHI,CHO,N/A,N/A,N/A,N/A,False
2022-02-11,CHI,MIN,N/A,N/A,N/A,N/A,False
2022-02-12,CHI,OKC,N/A,N/A,N/A,N/A,False
2022-02-14,CHI,SAS,N/A,N/A,N/A,N/A,False
2022-02-16,CHI,SAC,N/A,N/A,N/A,N/A,False
2022-02-24,CHI,ATL,N/A,N/A,N/A,N/A,False
2022-02-26,CHI,MEM,N/A,N/A,N/A,N/A,False
2022-02-28,CHI,MIA,N/A,N/A,N/A,N/A,False
2022-03-03,CHI,ATL,N/A,N/A,N/A,N/A,False
2022-03-04,CHI,MIL,N/A,N/A,N/A,N/A,False
2022-03-07,CHI,PHI,N/A,N/A,N/A,N/A,False
2022-03-09,CHI,DET,N/A,N/A,N/A,N/A,False
2022-03-12,CHI,CLE,29:12,11,4,1,False
2022-03-14,CHI,SAC,27:08,6,2,1,False
2022-03-16,CHI,UTA,25:29,2,1,2,False
2022-03-18,CHI,PHO,25:29,8,3,3,False
2022-03-21,CHI,TOR,32:37,7,6,2,True
2022-03-22,CHI,MIL,29:46,3,6,5,True
2022-03-24,CHI,NOP,27:58,11,2,1,True
2022-03-26,CHI,CLE,38:03,10,7,8,True
2022-03-28,CHI,NYK,30:17,3,2,5,True
2022-03-29,CHI,WAS,28:06,2,4,3,True
2022-03-31,CHI,LAC,33:26,7,7,3,True
2022-04-02,CHI,MIA,21:43,0,4,3,True
2022-04-05,CHI,MIL,22:10,0,8,3,True
2022-04-06,CHI,BOS,N/A,N/A,N/A,N/A,False
2022-04-08,CHI,CHO,N/A,N/A,N/A,N/A,False
2022-04-10,CHI,MIN,N/A,N/A,N/A,N/A,False
