Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-26,PHI,MIL,25:35,0,0,7,True
2023-10-28,PHI,TOR,21:12,3,0,3,True
2023-10-29,PHI,POR,19:34,3,0,4,True
2023-11-01,LAC,LAL,20:49,0,0,5,False
2023-11-06,LAC,NYK,11:15,2,0,1,False
2023-11-08,LAC,BRK,20:48,3,3,6,False
2023-11-10,LAC,DAL,6:10,0,0,1,False
2023-11-12,LAC,MEM,13:06,3,1,2,False
2023-11-14,LAC,DEN,21:22,6,0,5,False
2023-11-17,LAC,HOU,14:56,0,0,0,False
2023-11-20,LAC,SAS,15:40,0,0,5,False
2023-11-22,LAC,SAS,12:45,0,0,1,False
2023-11-24,LAC,NOP,22:09,0,3,2,False
2023-11-25,LAC,DAL,7:43,0,0,1,False
2023-11-27,LAC,DEN,5:56,0,1,0,False
2023-11-29,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-11-30,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-12-02,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-12-06,LAC,DEN,N/A,N/A,N/A,N/A,False
2023-12-08,LAC,UTA,N/A,N/A,N/A,N/A,False
2023-12-11,LAC,POR,N/A,N/A,N/A,N/A,False
2023-12-12,LAC,SAC,N/A,N/A,N/A,N/A,False
2023-12-14,LAC,GSW,N/A,N/A,N/A,N/A,False
2023-12-16,LAC,NYK,N/A,N/A,N/A,N/A,False
2023-12-18,LAC,IND,N/A,N/A,N/A,N/A,False
2023-12-20,LAC,DAL,N/A,N/A,N/A,N/A,False
2023-12-21,LAC,OKC,N/A,N/A,N/A,N/A,False
2023-12-23,LAC,BOS,N/A,N/A,N/A,N/A,False
2023-12-26,LAC,CHO,N/A,N/A,N/A,N/A,False
2023-12-29,LAC,MEM,N/A,N/A,N/A,N/A,False
2024-01-01,LAC,MIA,N/A,N/A,N/A,N/A,False
2024-01-03,LAC,PHO,N/A,N/A,N/A,N/A,False
2024-01-05,LAC,NOP,N/A,N/A,N/A,N/A,False
2024-01-07,LAC,LAL,N/A,N/A,N/A,N/A,False
2024-01-08,LAC,PHO,N/A,N/A,N/A,N/A,False
2024-01-10,LAC,TOR,N/A,N/A,N/A,N/A,False
2024-01-12,LAC,MEM,N/A,N/A,N/A,N/A,False
2024-01-14,LAC,MIN,N/A,N/A,N/A,N/A,False
2024-01-16,LAC,OKC,N/A,N/A,N/A,N/A,False
2024-01-21,LAC,BRK,N/A,N/A,N/A,N/A,False
2024-01-23,LAC,LAL,N/A,N/A,N/A,N/A,False
2024-01-26,LAC,TOR,N/A,N/A,N/A,N/A,False
2024-01-27,LAC,BOS,N/A,N/A,N/A,N/A,False
2024-01-29,LAC,CLE,N/A,N/A,N/A,N/A,False
2024-01-31,LAC,WAS,N/A,N/A,N/A,N/A,False
2024-02-02,LAC,DET,N/A,N/A,N/A,N/A,False
2024-02-04,LAC,MIA,N/A,N/A,N/A,N/A,False
2024-02-05,LAC,ATL,N/A,N/A,N/A,N/A,False
2024-02-07,LAC,NOP,N/A,N/A,N/A,N/A,False
2024-02-10,LAC,DET,N/A,N/A,N/A,N/A,False
2024-02-12,LAC,MIN,N/A,N/A,N/A,N/A,False
2024-02-14,LAC,GSW,N/A,N/A,N/A,N/A,False
2024-02-22,LAC,OKC,N/A,N/A,N/A,N/A,False
2024-02-23,LAC,MEM,14:13,0,0,3,False
2024-02-25,LAC,SAC,5:20,0,0,0,False
2024-02-28,LAC,LAL,11:07,0,0,2,False
2024-03-01,LAC,WAS,N/A,N/A,N/A,N/A,False
2024-03-03,LAC,MIN,N/A,N/A,N/A,N/A,False
2024-03-04,LAC,MIL,N/A,N/A,N/A,N/A,False
2024-03-06,LAC,HOU,N/A,N/A,N/A,N/A,False
2024-03-09,LAC,CHI,N/A,N/A,N/A,N/A,False
2024-03-10,LAC,MIL,25:30,7,2,6,True
2024-03-12,LAC,MIN,N/A,N/A,N/A,N/A,False
2024-03-14,LAC,CHI,N/A,N/A,N/A,N/A,False
2024-03-15,LAC,NOP,24:08,6,0,2,False
2024-03-17,LAC,ATL,20:40,3,0,4,False
2024-03-20,LAC,POR,25:37,0,1,7,False
2024-03-22,LAC,POR,8:17,3,1,2,False
2024-03-24,LAC,PHI,N/A,N/A,N/A,N/A,False
2024-03-25,LAC,IND,11:50,0,0,2,False
2024-03-27,LAC,PHI,3:23,0,0,0,False
2024-03-29,LAC,ORL,N/A,N/A,N/A,N/A,False
2024-03-31,LAC,CHO,N/A,N/A,N/A,N/A,False
2024-04-02,LAC,SAC,N/A,N/A,N/A,N/A,False
2024-04-04,LAC,DEN,16:37,0,1,3,True
2024-04-05,LAC,UTA,14:07,3,1,0,True
2024-04-07,LAC,CLE,14:28,0,1,1,True
2024-04-09,LAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-10,LAC,PHO,23:19,10,1,5,True
2024-04-12,LAC,UTA,20:44,0,0,5,True
2024-04-14,LAC,HOU,7:54,0,0,0,True
