Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,TOR,CLE,N/A,N/A,N/A,N/A,False
2018-10-19,TOR,BOS,N/A,N/A,N/A,N/A,False
2018-10-20,TOR,WAS,N/A,N/A,N/A,N/A,False
2018-10-22,TOR,CHO,N/A,N/A,N/A,N/A,False
2018-10-24,TOR,MIN,5:14,0,0,0,False
2018-10-26,TOR,DAL,N/A,N/A,N/A,N/A,False
2018-10-29,TOR,MIL,13:09,4,1,2,False
2018-10-30,TOR,PHI,13:58,7,1,4,False
2018-11-02,TOR,PHO,6:42,2,0,2,False
2018-11-04,TOR,LAL,21:34,11,2,2,False
2018-11-05,TOR,UTA,23:44,9,0,1,False
2018-11-07,TOR,SAC,13:00,2,1,0,False
2018-11-10,TOR,NYK,24:18,12,3,5,False
2018-11-12,TOR,NOP,16:10,10,0,2,False
2018-11-14,TOR,DET,14:05,0,2,2,False
2018-11-16,TOR,BOS,25:31,7,2,2,False
2018-11-17,TOR,CHI,19:09,7,4,4,False
2018-11-20,TOR,ORL,13:15,4,2,1,False
2018-11-21,TOR,ATL,22:30,6,1,2,False
2018-11-23,TOR,WAS,18:30,10,3,3,False
2018-11-25,TOR,MIA,13:21,10,1,4,False
2018-11-27,TOR,MEM,13:32,3,2,0,False
2018-11-29,TOR,GSW,12:03,8,2,0,False
2018-12-01,TOR,CLE,19:34,2,1,1,False
2018-12-03,TOR,DEN,15:06,9,2,3,False
2018-12-05,TOR,PHI,12:32,2,2,0,False
2018-12-07,TOR,BRK,16:50,5,1,3,False
2018-12-09,TOR,MIL,10:29,0,1,3,False
2018-12-11,TOR,LAC,20:37,12,3,4,False
2018-12-12,TOR,GSW,20:43,6,3,5,False
2018-12-14,TOR,POR,17:25,2,5,1,False
2018-12-16,TOR,DEN,38:23,15,4,8,True
2018-12-19,TOR,IND,21:38,6,4,6,False
2018-12-21,TOR,CLE,32:56,8,3,4,True
2018-12-22,TOR,PHI,17:12,4,3,3,False
2018-12-26,TOR,MIA,16:06,7,2,3,False
2018-12-28,TOR,ORL,30:48,6,6,3,False
2018-12-30,TOR,CHI,14:48,8,2,1,False
2019-01-01,TOR,UTA,18:19,8,0,0,False
2019-01-03,TOR,SAS,24:00,15,1,4,False
2019-01-05,TOR,MIL,13:48,0,2,1,False
2019-01-06,TOR,IND,25:14,10,6,4,False
2019-01-08,TOR,ATL,15:32,4,5,1,False
2019-01-11,TOR,BRK,23:14,12,2,5,False
2019-01-13,TOR,WAS,21:49,17,3,6,False
2019-01-16,TOR,BOS,12:15,0,0,0,False
2019-01-17,TOR,PHO,18:30,10,5,0,False
2019-01-19,TOR,MEM,22:50,9,3,1,False
2019-01-22,TOR,SAC,24:22,9,2,6,False
2019-01-23,TOR,IND,14:16,4,3,3,False
2019-01-25,TOR,HOU,N/A,N/A,N/A,N/A,False
2019-01-27,TOR,DAL,13:15,9,1,1,False
2019-01-31,TOR,MIL,16:06,4,0,2,False
2019-02-03,TOR,LAC,20:09,14,3,3,False
2019-02-05,TOR,PHI,17:59,8,5,4,False
2019-02-07,TOR,ATL,N/A,N/A,N/A,N/A,False
2019-02-09,MEM,NOP,23:14,7,2,1,False
2019-02-12,MEM,SAS,34:29,4,6,8,True
2019-02-13,MEM,CHI,26:15,12,5,2,False
2019-02-22,MEM,LAC,25:30,6,1,4,False
2019-02-23,MEM,CLE,32:28,15,3,7,False
2019-02-25,MEM,LAL,25:44,9,4,6,False
2019-02-27,MEM,CHI,22:10,9,2,4,False
2019-03-02,MEM,DAL,25:20,4,2,6,False
2019-03-03,MEM,OKC,36:29,17,6,8,True
2019-03-05,MEM,POR,26:27,25,1,3,False
2019-03-08,MEM,UTA,29:36,11,5,6,False
2019-03-10,MEM,ORL,25:42,10,3,5,False
2019-03-13,MEM,ATL,29:44,10,7,3,False
2019-03-16,MEM,WAS,24:11,5,3,1,False
2019-03-20,MEM,HOU,41:38,9,4,3,True
2019-03-22,MEM,ORL,38:34,12,8,7,True
2019-03-23,MEM,MIN,26:51,12,6,4,False
2019-03-25,MEM,OKC,35:01,18,13,3,True
2019-03-27,MEM,GSW,25:00,5,5,2,False
2019-03-30,MEM,PHO,28:01,11,3,3,False
2019-03-31,MEM,LAC,35:25,20,4,8,True
2019-04-03,MEM,POR,28:40,11,6,4,True
2019-04-05,MEM,DAL,39:03,26,14,10,True
2019-04-07,MEM,DAL,42:10,20,12,13,True
2019-04-09,MEM,DET,37:19,15,2,9,True
2019-04-10,MEM,GSW,36:46,13,11,11,True
