Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,UTA,SAC,N/A,N/A,N/A,N/A,False
2018-10-19,UTA,GSW,N/A,N/A,N/A,N/A,False
2018-10-22,UTA,MEM,10:31,7,0,0,False
2018-10-24,UTA,HOU,4:12,0,0,0,False
2018-10-27,UTA,NOP,5:20,4,0,1,False
2018-10-28,UTA,DAL,12:56,11,0,1,False
2018-10-31,UTA,MIN,8:05,0,2,0,False
2018-11-02,UTA,MEM,27:12,9,1,0,True
2018-11-03,UTA,DEN,5:13,0,0,0,False
2018-11-05,UTA,TOR,16:13,9,0,0,False
2018-11-07,UTA,DAL,N/A,N/A,N/A,N/A,False
2018-11-09,UTA,BOS,N/A,N/A,N/A,N/A,False
2018-11-12,UTA,MEM,N/A,N/A,N/A,N/A,False
2018-11-14,UTA,DAL,20:48,5,1,0,False
2018-11-16,UTA,PHI,N/A,N/A,N/A,N/A,False
2018-11-17,UTA,BOS,2:20,0,0,0,False
2018-11-19,UTA,IND,4:33,5,0,0,False
2018-11-21,UTA,SAC,N/A,N/A,N/A,N/A,False
2018-11-23,UTA,LAL,2:39,0,0,0,False
2018-11-25,UTA,SAC,13:12,9,1,1,False
2018-11-26,UTA,IND,13:17,5,1,0,False
2018-11-28,UTA,BRK,N/A,N/A,N/A,N/A,False
2018-11-30,UTA,CHO,N/A,N/A,N/A,N/A,False
2018-12-02,UTA,MIA,N/A,N/A,N/A,N/A,False
2018-12-04,UTA,SAS,N/A,N/A,N/A,N/A,False
2018-12-06,UTA,HOU,8:27,2,0,2,False
2018-12-09,UTA,SAS,0:22,0,0,0,False
2018-12-10,UTA,OKC,N/A,N/A,N/A,N/A,False
2018-12-12,UTA,MIA,9:20,3,1,0,False
2018-12-15,UTA,ORL,N/A,N/A,N/A,N/A,False
2018-12-17,UTA,HOU,N/A,N/A,N/A,N/A,False
2018-12-19,UTA,GSW,N/A,N/A,N/A,N/A,False
2018-12-21,UTA,POR,N/A,N/A,N/A,N/A,False
2018-12-22,UTA,OKC,N/A,N/A,N/A,N/A,False
2018-12-25,UTA,POR,N/A,N/A,N/A,N/A,False
2018-12-27,UTA,PHI,N/A,N/A,N/A,N/A,False
2018-12-29,UTA,NYK,N/A,N/A,N/A,N/A,False
2019-01-01,UTA,TOR,N/A,N/A,N/A,N/A,False
2019-01-04,UTA,CLE,N/A,N/A,N/A,N/A,False
2019-01-05,UTA,DET,N/A,N/A,N/A,N/A,False
2019-01-07,UTA,MIL,N/A,N/A,N/A,N/A,False
2019-01-09,UTA,ORL,N/A,N/A,N/A,N/A,False
2019-01-11,UTA,LAL,N/A,N/A,N/A,N/A,False
2019-01-12,UTA,CHI,13:41,7,0,1,False
2019-01-14,UTA,DET,19:39,8,1,1,False
2019-01-16,UTA,LAC,15:03,6,4,0,False
2019-01-18,UTA,CLE,24:00,7,3,0,False
2019-01-21,UTA,POR,N/A,N/A,N/A,N/A,False
2019-01-23,UTA,DEN,3:17,0,0,0,False
2019-01-25,UTA,MIN,N/A,N/A,N/A,N/A,False
2019-01-27,UTA,MIN,0:45,0,0,1,False
2019-01-30,UTA,POR,17:25,10,1,1,False
2019-02-01,UTA,ATL,8:15,0,0,0,False
2019-02-02,UTA,HOU,3:19,2,1,1,False
2019-02-06,UTA,PHO,2:59,0,0,1,False
2019-02-09,UTA,SAS,2:45,5,0,0,False
2019-02-12,UTA,GSW,N/A,N/A,N/A,N/A,False
2019-02-22,UTA,OKC,N/A,N/A,N/A,N/A,False
2019-02-23,UTA,DAL,N/A,N/A,N/A,N/A,False
2019-02-27,UTA,LAC,N/A,N/A,N/A,N/A,False
2019-02-28,UTA,DEN,10:10,0,1,0,False
2019-03-02,UTA,MIL,N/A,N/A,N/A,N/A,False
2019-03-04,UTA,NOP,N/A,N/A,N/A,N/A,False
2019-03-06,UTA,NOP,N/A,N/A,N/A,N/A,False
2019-03-08,UTA,MEM,4:24,3,0,0,False
2019-03-11,UTA,OKC,1:32,3,0,0,False
2019-03-13,UTA,PHO,N/A,N/A,N/A,N/A,False
2019-03-14,UTA,MIN,N/A,N/A,N/A,N/A,False
2019-03-16,UTA,BRK,N/A,N/A,N/A,N/A,False
2019-03-18,UTA,WAS,N/A,N/A,N/A,N/A,False
2019-03-20,UTA,NYK,7:48,6,0,0,False
2019-03-21,UTA,ATL,N/A,N/A,N/A,N/A,False
2019-03-23,UTA,CHI,N/A,N/A,N/A,N/A,False
2019-03-25,UTA,PHO,N/A,N/A,N/A,N/A,False
2019-03-27,UTA,LAL,2:27,1,0,0,False
2019-03-29,UTA,WAS,N/A,N/A,N/A,N/A,False
2019-04-01,UTA,CHO,N/A,N/A,N/A,N/A,False
2019-04-03,UTA,PHO,18:33,14,0,3,False
2019-04-05,UTA,SAC,26:22,23,2,0,False
2019-04-07,UTA,LAL,15:10,5,1,1,False
2019-04-09,UTA,DEN,13:19,2,0,1,False
2019-04-10,UTA,LAC,40:43,40,4,7,True
