Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,GSW,PHO,N/A,N/A,N/A,N/A,False
2023-10-27,GSW,SAC,N/A,N/A,N/A,N/A,False
2023-10-29,GSW,HOU,N/A,N/A,N/A,N/A,False
2023-10-30,GSW,NOP,N/A,N/A,N/A,N/A,False
2023-11-01,GSW,SAC,N/A,N/A,N/A,N/A,False
2023-11-03,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-11-05,GSW,CLE,N/A,N/A,N/A,N/A,False
2023-11-06,GSW,DET,N/A,N/A,N/A,N/A,False
2023-11-08,GSW,DEN,N/A,N/A,N/A,N/A,False
2023-11-11,GSW,CLE,N/A,N/A,N/A,N/A,False
2023-11-12,GSW,MIN,N/A,N/A,N/A,N/A,False
2023-11-14,GSW,MIN,N/A,N/A,N/A,N/A,False
2023-11-16,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-11-18,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-11-20,GSW,HOU,N/A,N/A,N/A,N/A,False
2023-11-22,GSW,PHO,N/A,N/A,N/A,N/A,False
2023-11-24,GSW,SAS,N/A,N/A,N/A,N/A,False
2023-11-28,GSW,SAC,N/A,N/A,N/A,N/A,False
2023-11-30,GSW,LAC,N/A,N/A,N/A,N/A,False
2023-12-02,GSW,LAC,N/A,N/A,N/A,N/A,False
2023-12-06,GSW,POR,N/A,N/A,N/A,N/A,False
2023-12-08,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-12-12,GSW,PHO,N/A,N/A,N/A,N/A,False
2023-12-14,GSW,LAC,N/A,N/A,N/A,N/A,False
2023-12-16,GSW,BRK,N/A,N/A,N/A,N/A,False
2023-12-17,GSW,POR,N/A,N/A,N/A,N/A,False
2023-12-19,GSW,BOS,N/A,N/A,N/A,N/A,False
2023-12-22,GSW,WAS,2:14,0,1,0,False
2023-12-23,GSW,POR,3:49,0,0,0,False
2023-12-25,GSW,DEN,N/A,N/A,N/A,N/A,False
2023-12-28,GSW,MIA,N/A,N/A,N/A,N/A,False
2023-12-30,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-01-02,GSW,ORL,N/A,N/A,N/A,N/A,False
2024-01-04,GSW,DEN,N/A,N/A,N/A,N/A,False
2024-01-05,GSW,DET,N/A,N/A,N/A,N/A,False
2024-01-07,GSW,TOR,N/A,N/A,N/A,N/A,False
2024-01-10,GSW,NOP,N/A,N/A,N/A,N/A,False
2024-01-12,GSW,CHI,N/A,N/A,N/A,N/A,False
2024-01-13,GSW,MIL,N/A,N/A,N/A,N/A,False
2024-01-15,GSW,MEM,N/A,N/A,N/A,N/A,False
2024-01-24,GSW,ATL,N/A,N/A,N/A,N/A,False
2024-01-25,GSW,SAC,N/A,N/A,N/A,N/A,False
2024-01-27,GSW,LAL,N/A,N/A,N/A,N/A,False
2024-01-30,GSW,PHI,N/A,N/A,N/A,N/A,False
2024-02-02,GSW,MEM,N/A,N/A,N/A,N/A,False
2024-02-03,GSW,ATL,N/A,N/A,N/A,N/A,False
2024-02-05,GSW,BRK,N/A,N/A,N/A,N/A,False
2024-02-07,GSW,PHI,N/A,N/A,N/A,N/A,False
2024-02-08,GSW,IND,N/A,N/A,N/A,N/A,False
2024-02-10,GSW,PHO,N/A,N/A,N/A,N/A,False
2024-02-12,GSW,UTA,N/A,N/A,N/A,N/A,False
2024-02-14,GSW,LAC,N/A,N/A,N/A,N/A,False
2024-02-15,GSW,UTA,N/A,N/A,N/A,N/A,False
2024-02-22,GSW,LAL,N/A,N/A,N/A,N/A,False
2024-02-23,GSW,CHO,N/A,N/A,N/A,N/A,False
2024-02-25,GSW,DEN,1:45,0,0,1,False
2024-02-27,GSW,WAS,N/A,N/A,N/A,N/A,False
2024-02-29,GSW,NYK,N/A,N/A,N/A,N/A,False
2024-03-01,GSW,TOR,N/A,N/A,N/A,N/A,False
2024-03-03,GSW,BOS,N/A,N/A,N/A,N/A,False
2024-03-06,GSW,MIL,N/A,N/A,N/A,N/A,False
2024-03-07,GSW,CHI,N/A,N/A,N/A,N/A,False
2024-03-09,GSW,SAS,N/A,N/A,N/A,N/A,False
2024-03-11,GSW,SAS,N/A,N/A,N/A,N/A,False
2024-03-13,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-03-16,GSW,LAL,N/A,N/A,N/A,N/A,False
2024-03-18,GSW,NYK,N/A,N/A,N/A,N/A,False
2024-03-20,GSW,MEM,N/A,N/A,N/A,N/A,False
2024-03-22,GSW,IND,N/A,N/A,N/A,N/A,False
2024-03-24,GSW,MIN,N/A,N/A,N/A,N/A,False
2024-03-26,GSW,MIA,N/A,N/A,N/A,N/A,False
2024-03-27,GSW,ORL,N/A,N/A,N/A,N/A,False
2024-03-29,GSW,CHO,N/A,N/A,N/A,N/A,False
2024-03-31,GSW,SAS,N/A,N/A,N/A,N/A,False
2024-04-02,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-04-04,GSW,HOU,N/A,N/A,N/A,N/A,False
2024-04-05,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-04-07,GSW,UTA,2:47,2,0,2,False
2024-04-09,GSW,LAL,1:47,0,0,0,False
2024-04-11,GSW,POR,N/A,N/A,N/A,N/A,False
2024-04-12,GSW,NOP,N/A,N/A,N/A,N/A,False
2024-04-14,GSW,UTA,5:25,1,0,4,False
