Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,DAL,PHO,27:31,15,3,3,True
2022-10-22,DAL,MEM,28:22,15,2,2,True
2022-10-25,DAL,NOP,37:59,24,5,2,True
2022-10-27,DAL,BRK,27:38,11,5,3,True
2022-10-29,DAL,OKC,35:27,20,2,2,True
2022-10-30,DAL,ORL,31:31,12,5,4,True
2022-11-02,DAL,UTA,35:10,20,5,4,True
2022-11-04,DAL,TOR,37:59,21,7,1,True
2022-11-07,DAL,BRK,27:53,2,5,6,True
2022-11-09,DAL,ORL,37:30,29,5,4,True
2022-11-10,DAL,WAS,37:33,33,6,4,True
2022-11-12,DAL,POR,32:30,20,6,7,True
2022-11-15,DAL,LAC,40:59,16,6,3,True
2022-11-16,DAL,HOU,32:25,9,10,2,True
2022-11-18,DAL,DEN,26:10,15,1,2,True
2022-11-20,DAL,DEN,29:36,11,8,1,True
2022-11-23,DAL,BOS,31:37,15,4,4,True
2022-11-26,DAL,TOR,28:20,15,7,2,True
2022-11-27,DAL,MIL,31:10,22,2,3,True
2022-11-29,DAL,GSW,22:45,14,2,0,True
2022-12-01,DAL,DET,27:50,2,6,0,True
2022-12-03,DAL,NYK,30:05,17,9,9,True
2022-12-05,DAL,PHO,28:05,21,2,4,True
2022-12-06,DAL,DEN,30:51,13,7,2,True
2022-12-09,DAL,MIL,31:54,15,4,4,True
2022-12-10,DAL,CHI,29:10,27,8,4,True
2022-12-12,DAL,OKC,34:44,20,10,7,True
2022-12-14,DAL,CLE,32:00,10,7,6,True
2022-12-16,DAL,POR,25:22,13,4,1,True
2022-12-17,DAL,CLE,N/A,N/A,N/A,N/A,False
2022-12-19,DAL,MIN,37:35,20,7,2,True
2022-12-21,DAL,MIN,41:08,19,3,4,True
2022-12-23,DAL,HOU,37:13,11,1,0,True
2022-12-25,DAL,LAL,40:26,8,8,2,True
2022-12-27,DAL,NYK,43:34,25,5,6,True
2022-12-29,DAL,HOU,34:53,15,6,4,True
2022-12-31,DAL,SAS,35:53,11,3,2,True
2023-01-02,DAL,HOU,37:44,11,4,1,True
2023-01-05,DAL,BOS,40:02,18,5,1,True
2023-01-07,DAL,NOP,32:09,12,4,1,True
2023-01-08,DAL,OKC,35:48,21,8,3,True
2023-01-10,DAL,LAC,40:18,13,5,4,True
2023-01-12,DAL,LAL,51:15,17,4,4,True
2023-01-14,DAL,POR,33:09,25,5,1,True
2023-01-15,DAL,POR,34:54,28,9,0,True
2023-01-18,DAL,ATL,39:25,20,7,4,True
2023-01-20,DAL,MIA,30:42,19,2,3,True
2023-01-22,DAL,LAC,35:39,21,5,4,True
2023-01-24,DAL,WAS,34:41,20,8,1,True
2023-01-26,DAL,PHO,39:41,36,9,6,True
2023-01-28,DAL,UTA,41:31,35,8,4,True
2023-01-30,DAL,DET,31:46,12,2,3,True
2023-02-02,DAL,NOP,36:08,21,4,3,True
2023-02-04,DAL,GSW,32:37,25,4,4,True
2023-02-06,BRK,LAC,N/A,N/A,N/A,N/A,False
2023-02-07,BRK,PHO,N/A,N/A,N/A,N/A,False
2023-02-09,BRK,CHI,38:34,25,6,5,True
2023-02-11,BRK,PHI,31:10,9,6,6,True
2023-02-13,BRK,NYK,32:55,28,4,3,True
2023-02-15,BRK,MIA,35:32,9,5,4,True
2023-02-24,BRK,CHI,24:26,2,5,1,True
2023-02-26,BRK,ATL,41:03,20,8,4,True
2023-02-28,BRK,MIL,34:32,26,8,6,True
2023-03-01,BRK,NYK,29:26,11,10,2,True
2023-03-03,BRK,BOS,36:18,17,8,3,True
2023-03-05,BRK,CHO,39:10,24,8,8,True
2023-03-07,BRK,HOU,28:44,23,4,1,True
2023-03-09,BRK,MIL,N/A,N/A,N/A,N/A,False
2023-03-10,BRK,MIN,44:31,29,11,3,True
2023-03-12,BRK,DEN,37:47,15,16,6,True
2023-03-14,BRK,OKC,39:24,16,11,6,True
2023-03-16,BRK,SAC,38:09,18,7,3,True
2023-03-19,BRK,DEN,27:03,8,11,2,True
2023-03-21,BRK,CLE,38:22,19,11,5,True
2023-03-23,BRK,CLE,42:07,25,12,4,True
2023-03-25,BRK,MIA,35:41,15,9,7,True
2023-03-26,BRK,ORL,29:08,2,5,3,True
2023-03-29,BRK,HOU,38:29,20,11,4,True
2023-03-31,BRK,ATL,33:26,9,12,4,True
2023-04-02,BRK,UTA,34:30,17,12,4,True
2023-04-04,BRK,MIN,38:15,30,6,3,True
2023-04-05,BRK,DET,32:52,6,16,3,True
2023-04-07,BRK,ORL,35:31,6,14,7,True
2023-04-09,BRK,PHI,N/A,N/A,N/A,N/A,False
