Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,PHO,DAL,40:37,28,9,4,True
2022-10-21,PHO,POR,43:55,33,3,5,True
2022-10-23,PHO,LAC,34:49,35,4,1,True
2022-10-25,PHO,GSW,35:19,34,7,2,True
2022-10-28,PHO,NOP,32:36,16,4,5,True
2022-10-30,PHO,HOU,35:23,30,6,3,True
2022-11-01,PHO,MIN,30:26,18,5,7,True
2022-11-04,PHO,POR,38:22,25,5,5,True
2022-11-05,PHO,POR,29:10,24,3,3,True
2022-11-07,PHO,PHI,43:24,28,5,7,True
2022-11-09,PHO,MIN,38:10,32,10,4,True
2022-11-11,PHO,ORL,34:28,17,6,8,True
2022-11-14,PHO,MIA,41:34,25,5,8,True
2022-11-16,PHO,GSW,36:38,27,9,2,True
2022-11-18,PHO,UTA,41:17,49,10,8,True
2022-11-20,PHO,NYK,29:31,20,3,5,True
2022-11-22,PHO,LAL,35:27,25,5,4,True
2022-11-25,PHO,DET,35:42,21,5,7,True
2022-11-26,PHO,UTA,39:21,27,7,11,True
2022-11-28,PHO,SAC,40:39,44,4,8,True
2022-11-30,PHO,CHI,30:40,51,6,4,True
2022-12-02,PHO,HOU,33:52,41,8,4,True
2022-12-04,PHO,SAS,27:48,20,8,0,True
2022-12-05,PHO,DAL,30:20,11,5,2,True
2022-12-07,PHO,BOS,24:37,17,3,5,True
2022-12-09,PHO,NOP,36:00,14,7,2,True
2022-12-11,PHO,NOP,N/A,N/A,N/A,N/A,False
2022-12-13,PHO,HOU,N/A,N/A,N/A,N/A,False
2022-12-15,PHO,LAC,34:53,14,4,4,True
2022-12-17,PHO,NOP,42:27,58,5,6,True
2022-12-19,PHO,LAL,N/A,N/A,N/A,N/A,False
2022-12-20,PHO,WAS,N/A,N/A,N/A,N/A,False
2022-12-23,PHO,MEM,N/A,N/A,N/A,N/A,False
2022-12-25,PHO,DEN,4:20,2,0,0,True
2022-12-27,PHO,MEM,N/A,N/A,N/A,N/A,False
2022-12-28,PHO,WAS,N/A,N/A,N/A,N/A,False
2022-12-30,PHO,TOR,N/A,N/A,N/A,N/A,False
2023-01-02,PHO,NYK,N/A,N/A,N/A,N/A,False
2023-01-04,PHO,CLE,N/A,N/A,N/A,N/A,False
2023-01-06,PHO,MIA,N/A,N/A,N/A,N/A,False
2023-01-08,PHO,CLE,N/A,N/A,N/A,N/A,False
2023-01-10,PHO,GSW,N/A,N/A,N/A,N/A,False
2023-01-11,PHO,DEN,N/A,N/A,N/A,N/A,False
2023-01-13,PHO,MIN,N/A,N/A,N/A,N/A,False
2023-01-16,PHO,MEM,N/A,N/A,N/A,N/A,False
2023-01-19,PHO,BRK,N/A,N/A,N/A,N/A,False
2023-01-21,PHO,IND,N/A,N/A,N/A,N/A,False
2023-01-22,PHO,MEM,N/A,N/A,N/A,N/A,False
2023-01-24,PHO,CHO,N/A,N/A,N/A,N/A,False
2023-01-26,PHO,DAL,N/A,N/A,N/A,N/A,False
2023-01-28,PHO,SAS,N/A,N/A,N/A,N/A,False
2023-01-30,PHO,TOR,N/A,N/A,N/A,N/A,False
2023-02-01,PHO,ATL,N/A,N/A,N/A,N/A,False
2023-02-03,PHO,BOS,N/A,N/A,N/A,N/A,False
2023-02-04,PHO,DET,N/A,N/A,N/A,N/A,False
2023-02-07,PHO,BRK,25:35,19,6,4,True
2023-02-09,PHO,ATL,N/A,N/A,N/A,N/A,False
2023-02-10,PHO,IND,26:14,21,5,4,True
2023-02-14,PHO,SAC,29:14,32,2,5,True
2023-02-16,PHO,LAC,34:41,19,9,3,True
2023-02-24,PHO,OKC,36:00,25,8,6,True
2023-02-26,PHO,MIL,38:18,24,8,4,True
2023-03-01,PHO,CHO,33:10,37,7,6,True
2023-03-03,PHO,CHI,35:51,35,6,5,True
2023-03-05,PHO,DAL,39:57,36,10,5,True
2023-03-08,PHO,OKC,27:31,44,4,3,True
2023-03-11,PHO,SAC,38:30,28,8,3,True
2023-03-13,PHO,GSW,35:15,32,1,4,True
2023-03-14,PHO,MIL,43:08,30,3,4,True
2023-03-16,PHO,ORL,36:19,19,2,5,True
2023-03-19,PHO,OKC,36:22,46,1,3,True
2023-03-22,PHO,LAL,40:33,33,5,6,True
2023-03-24,PHO,SAC,33:10,32,5,8,True
2023-03-25,PHO,PHI,31:39,29,5,3,True
2023-03-27,PHO,UTA,33:31,24,5,7,True
2023-03-29,PHO,MIN,36:21,29,5,3,True
2023-03-31,PHO,DEN,35:04,27,6,2,True
2023-04-02,PHO,OKC,36:57,22,10,5,True
2023-04-04,PHO,SAS,32:53,27,3,7,True
2023-04-06,PHO,DEN,37:28,15,8,1,True
2023-04-07,PHO,LAL,N/A,N/A,N/A,N/A,False
2023-04-09,PHO,LAC,N/A,N/A,N/A,N/A,False
