Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-21,LAC,GSW,14:42,5,0,1,False
2021-10-23,LAC,MEM,N/A,N/A,N/A,N/A,False
2021-10-25,LAC,POR,12:00,5,1,0,False
2021-10-27,LAC,CLE,2:42,0,1,0,False
2021-10-29,LAC,POR,14:23,5,0,5,False
2021-11-01,LAC,OKC,0:43,0,0,0,False
2021-11-03,LAC,MIN,N/A,N/A,N/A,N/A,False
2021-11-05,LAC,MIN,3:17,0,0,1,False
2021-11-07,LAC,CHO,N/A,N/A,N/A,N/A,False
2021-11-09,LAC,POR,0:25,0,0,0,False
2021-11-11,LAC,MIA,N/A,N/A,N/A,N/A,False
2021-11-13,LAC,MIN,7:38,3,0,1,False
2021-11-14,LAC,CHI,0:19,0,0,0,False
2021-11-16,LAC,SAS,24:50,5,2,2,False
2021-11-18,LAC,MEM,28:58,8,1,3,True
2021-11-19,LAC,NOP,13:55,3,2,1,False
2021-11-21,LAC,DAL,25:14,3,2,5,True
2021-11-23,LAC,DAL,24:02,7,2,2,False
2021-11-26,LAC,DET,N/A,N/A,N/A,N/A,False
2021-11-28,LAC,GSW,10:05,2,0,2,False
2021-11-29,LAC,NOP,24:10,9,0,3,True
2021-12-01,LAC,SAC,N/A,N/A,N/A,N/A,False
2021-12-03,LAC,LAL,N/A,N/A,N/A,N/A,False
2021-12-04,LAC,SAC,N/A,N/A,N/A,N/A,False
2021-12-06,LAC,POR,N/A,N/A,N/A,N/A,False
2021-12-08,LAC,BOS,N/A,N/A,N/A,N/A,False
2021-12-11,LAC,ORL,N/A,N/A,N/A,N/A,False
2021-12-13,LAC,PHO,N/A,N/A,N/A,N/A,False
2021-12-15,LAC,UTA,4:26,1,0,1,False
2021-12-18,LAC,OKC,6:26,0,0,1,False
2021-12-20,LAC,SAS,N/A,N/A,N/A,N/A,False
2021-12-22,LAC,SAC,24:56,8,1,6,False
2021-12-26,LAC,DEN,23:16,9,1,9,False
2021-12-27,LAC,BRK,25:23,8,1,4,False
2021-12-29,LAC,BOS,28:01,8,3,3,False
2021-12-31,LAC,TOR,28:10,15,1,1,False
2022-01-01,LAC,BRK,32:18,14,5,8,True
2022-01-03,LAC,MIN,28:57,9,2,5,False
2022-01-06,LAC,PHO,26:55,8,1,2,False
2022-01-08,LAC,MEM,21:44,7,3,4,True
2022-01-09,LAC,ATL,33:05,21,3,5,True
2022-01-11,LAC,DEN,43:08,18,7,5,True
2022-01-13,LAC,NOP,25:41,5,5,6,True
2022-01-15,LAC,SAS,32:06,20,1,5,True
2022-01-17,LAC,IND,35:59,16,7,3,True
2022-01-19,LAC,DEN,30:58,8,3,4,True
2022-01-21,LAC,PHI,34:20,12,0,3,True
2022-01-23,LAC,NYK,18:09,2,1,0,True
2022-01-25,LAC,WAS,36:48,29,1,5,True
2022-01-26,LAC,ORL,34:18,19,5,6,True
2022-01-28,LAC,MIA,32:01,15,0,3,True
2022-01-30,LAC,CHO,26:24,7,2,5,True
2022-01-31,LAC,IND,35:29,27,4,5,True
2022-02-03,LAC,LAL,23:40,3,1,4,True
2022-02-06,LAC,MIL,24:45,10,0,2,True
2022-02-08,LAC,MEM,24:03,13,0,1,False
2022-02-10,LAC,DAL,13:31,2,0,0,False
2022-02-12,LAC,DAL,30:19,11,1,5,False
2022-02-14,LAC,GSW,22:33,4,2,2,False
2022-02-15,LAC,PHO,24:43,6,2,1,False
2022-02-17,LAC,HOU,25:51,13,4,2,False
2022-02-25,LAC,LAL,23:07,14,2,1,False
2022-02-27,LAC,HOU,25:01,9,3,3,False
2022-03-01,LAC,HOU,17:21,10,4,3,False
2022-03-03,LAC,LAL,26:43,8,2,3,False
2022-03-06,LAC,NYK,30:42,16,3,1,False
2022-03-08,LAC,GSW,29:44,9,2,2,False
2022-03-09,LAC,WAS,25:04,7,0,4,True
2022-03-11,LAC,ATL,36:00,8,3,0,True
2022-03-13,LAC,DET,35:35,8,4,2,True
2022-03-14,LAC,CLE,39:40,19,2,3,True
2022-03-16,LAC,TOR,23:45,10,2,2,True
2022-03-18,LAC,UTA,30:06,2,0,3,True
2022-03-22,LAC,DEN,19:11,6,1,2,True
2022-03-25,LAC,PHI,37:34,21,3,4,True
2022-03-29,LAC,UTA,0:28,0,0,1,False
2022-03-31,LAC,CHI,0:46,0,1,0,False
2022-04-01,LAC,MIL,42:31,32,7,6,True
2022-04-03,LAC,NOP,2:32,0,1,0,False
2022-04-06,LAC,PHO,8:51,2,0,2,False
2022-04-09,LAC,SAC,4:06,0,1,0,False
2022-04-10,LAC,OKC,42:41,35,5,13,True
