Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MEM,NYK,38:59,18,1,11,True
2022-10-21,MEM,HOU,31:02,8,3,9,True
2022-10-22,MEM,DAL,20:47,8,0,6,True
2022-10-24,MEM,BRK,32:24,17,0,4,True
2022-10-27,MEM,SAC,29:53,4,1,2,True
2022-10-29,MEM,UTA,29:34,10,1,3,True
2022-10-31,MEM,UTA,23:41,3,1,8,True
2022-11-02,MEM,POR,28:59,11,0,7,True
2022-11-04,MEM,CHO,21:01,12,1,5,True
2022-11-06,MEM,WAS,26:54,4,2,10,True
2022-11-07,MEM,BOS,18:29,8,0,1,True
2022-11-09,MEM,SAS,22:59,7,1,7,True
2022-11-11,MEM,MIN,34:20,12,0,7,True
2022-11-13,MEM,WAS,28:44,15,2,7,True
2022-11-15,MEM,NOP,24:52,8,1,7,False
2022-11-18,MEM,OKC,23:06,15,1,7,False
2022-11-20,MEM,BRK,21:06,8,1,3,True
2022-11-22,MEM,SAC,16:23,7,2,2,False
2022-11-25,MEM,NOP,N/A,N/A,N/A,N/A,False
2022-11-27,MEM,NYK,17:42,7,1,4,False
2022-11-30,MEM,MIN,16:53,4,2,3,False
2022-12-02,MEM,PHI,21:48,13,3,5,False
2022-12-04,MEM,DET,18:11,5,5,7,False
2022-12-05,MEM,MIA,33:37,18,2,10,True
2022-12-07,MEM,OKC,22:15,14,3,5,False
2022-12-09,MEM,DET,18:23,9,0,5,False
2022-12-12,MEM,ATL,20:37,16,2,5,False
2022-12-15,MEM,MIL,26:55,14,1,3,False
2022-12-17,MEM,OKC,16:41,7,1,5,False
2022-12-20,MEM,DEN,14:03,6,1,3,False
2022-12-23,MEM,PHO,20:11,10,1,4,False
2022-12-25,MEM,GSW,20:47,9,2,2,False
2022-12-27,MEM,PHO,14:44,3,0,0,False
2022-12-29,MEM,TOR,13:38,6,1,5,False
2022-12-31,MEM,NOP,N/A,N/A,N/A,N/A,False
2023-01-01,MEM,SAC,N/A,N/A,N/A,N/A,False
2023-01-04,MEM,CHO,20:11,8,2,3,False
2023-01-05,MEM,ORL,13:00,0,1,2,False
2023-01-08,MEM,UTA,17:19,12,2,5,False
2023-01-09,MEM,SAS,17:47,13,0,3,False
2023-01-11,MEM,SAS,22:46,7,0,5,False
2023-01-14,MEM,IND,26:06,17,1,4,False
2023-01-16,MEM,PHO,22:25,6,1,5,False
2023-01-18,MEM,CLE,19:31,16,0,2,False
2023-01-20,MEM,LAL,14:59,4,0,5,False
2023-01-22,MEM,PHO,11:51,0,2,1,False
2023-01-23,MEM,SAC,14:18,8,2,0,False
2023-01-25,MEM,GSW,20:33,13,0,3,False
2023-01-27,MEM,MIN,18:34,5,1,4,False
2023-01-29,MEM,IND,15:12,2,2,3,False
2023-02-01,MEM,POR,17:32,10,0,2,False
2023-02-02,MEM,CLE,33:59,21,1,10,True
2023-02-05,MEM,TOR,32:01,15,4,6,True
2023-02-07,MEM,CHI,16:50,5,1,5,False
2023-02-10,MEM,MIN,20:19,18,0,4,False
2023-02-12,MEM,BOS,27:30,9,1,7,False
2023-02-15,MEM,UTA,21:24,10,2,3,False
2023-02-23,MEM,PHI,15:10,6,1,0,False
2023-02-25,MEM,DEN,22:50,5,1,6,False
2023-02-28,MEM,LAL,15:27,6,1,3,False
2023-03-01,MEM,HOU,20:49,9,1,5,False
2023-03-03,MEM,DEN,23:27,1,2,4,False
2023-03-05,MEM,LAC,19:40,9,0,0,False
2023-03-07,MEM,LAL,26:28,11,1,5,False
2023-03-09,MEM,GSW,29:33,15,1,7,False
2023-03-11,MEM,DAL,22:37,10,1,5,False
2023-03-13,MEM,DAL,21:30,10,3,9,False
2023-03-15,MEM,MIA,20:47,5,4,4,False
2023-03-17,MEM,SAS,17:13,3,0,5,False
2023-03-18,MEM,GSW,18:03,4,1,3,False
2023-03-20,MEM,DAL,27:52,22,2,14,False
2023-03-22,MEM,HOU,21:05,5,1,1,False
2023-03-24,MEM,HOU,26:16,8,2,6,False
2023-03-26,MEM,ATL,18:34,0,1,4,False
2023-03-28,MEM,ORL,23:56,9,1,5,False
2023-03-29,MEM,LAC,32:38,17,1,8,True
2023-03-31,MEM,LAC,16:20,13,0,8,False
2023-04-02,MEM,CHI,17:34,3,1,3,False
2023-04-04,MEM,POR,23:17,8,4,11,False
2023-04-05,MEM,NOP,6:57,2,1,1,True
2023-04-07,MEM,MIL,N/A,N/A,N/A,N/A,False
2023-04-09,MEM,OKC,N/A,N/A,N/A,N/A,False
