Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,GSW,PHO,17:59,11,0,3,False
2023-10-27,GSW,SAC,21:07,10,1,3,False
2023-10-29,GSW,HOU,17:28,5,1,3,False
2023-10-30,GSW,NOP,20:51,13,4,3,True
2023-11-01,GSW,SAC,15:07,1,0,3,False
2023-11-03,GSW,OKC,17:31,8,2,1,False
2023-11-05,GSW,CLE,14:17,3,0,3,False
2023-11-06,GSW,DET,19:19,4,2,2,False
2023-11-08,GSW,DEN,13:53,10,1,3,False
2023-11-11,GSW,CLE,17:45,8,1,5,False
2023-11-12,GSW,MIN,13:06,2,0,3,False
2023-11-14,GSW,MIN,13:41,11,2,2,False
2023-11-16,GSW,OKC,22:55,12,1,4,False
2023-11-18,GSW,OKC,17:37,6,1,4,False
2023-11-20,GSW,HOU,21:36,7,0,4,False
2023-11-22,GSW,PHO,22:31,8,1,9,False
2023-11-24,GSW,SAS,16:54,9,1,4,True
2023-11-28,GSW,SAC,13:05,11,2,1,False
2023-11-30,GSW,LAC,27:39,13,1,3,True
2023-12-02,GSW,LAC,31:57,21,2,5,True
2023-12-06,GSW,POR,26:11,12,0,4,False
2023-12-08,GSW,OKC,15:49,2,0,4,False
2023-12-12,GSW,PHO,23:31,12,0,4,False
2023-12-14,GSW,LAC,15:57,11,1,5,False
2023-12-16,GSW,BRK,14:28,2,1,3,False
2023-12-17,GSW,POR,18:52,6,1,4,False
2023-12-19,GSW,BOS,16:36,10,0,0,False
2023-12-22,GSW,WAS,18:39,5,0,3,False
2023-12-23,GSW,POR,17:27,11,1,1,False
2023-12-25,GSW,DEN,2:32,0,0,0,False
2023-12-28,GSW,MIA,12:48,11,0,3,False
2023-12-30,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-01-02,GSW,ORL,N/A,N/A,N/A,N/A,False
2024-01-04,GSW,DEN,N/A,N/A,N/A,N/A,False
2024-01-05,GSW,DET,5:35,0,0,1,False
2024-01-07,GSW,TOR,21:36,21,1,3,False
2024-01-10,GSW,NOP,24:47,21,0,2,False
2024-01-12,GSW,CHI,N/A,N/A,N/A,N/A,False
2024-01-13,GSW,MIL,N/A,N/A,N/A,N/A,False
2024-01-15,GSW,MEM,N/A,N/A,N/A,N/A,False
2024-01-24,GSW,ATL,N/A,N/A,N/A,N/A,False
2024-01-25,GSW,SAC,N/A,N/A,N/A,N/A,False
2024-01-27,GSW,LAL,N/A,N/A,N/A,N/A,False
2024-01-30,GSW,PHI,N/A,N/A,N/A,N/A,False
2024-02-02,GSW,MEM,N/A,N/A,N/A,N/A,False
2024-02-03,GSW,ATL,N/A,N/A,N/A,N/A,False
2024-02-05,GSW,BRK,15:23,4,0,1,False
2024-02-07,GSW,PHI,19:18,8,3,2,False
2024-02-08,GSW,IND,13:29,5,1,3,False
2024-02-10,GSW,PHO,N/A,N/A,N/A,N/A,False
2024-02-12,GSW,UTA,8:40,0,0,4,False
2024-02-14,GSW,LAC,8:18,6,0,2,False
2024-02-15,GSW,UTA,N/A,N/A,N/A,N/A,False
2024-02-22,GSW,LAL,19:31,4,1,6,False
2024-02-23,GSW,CHO,8:22,5,0,0,False
2024-02-25,GSW,DEN,1:45,0,0,0,False
2024-02-27,GSW,WAS,22:31,12,1,3,True
2024-02-29,GSW,NYK,25:34,8,1,4,True
2024-03-01,GSW,TOR,31:34,17,1,5,True
2024-03-03,GSW,BOS,19:17,11,0,4,True
2024-03-06,GSW,MIL,20:45,6,1,4,False
2024-03-07,GSW,CHI,22:51,10,0,9,False
2024-03-09,GSW,SAS,26:16,9,0,5,False
2024-03-11,GSW,SAS,11:59,2,0,1,False
2024-03-13,GSW,DAL,19:02,9,1,3,False
2024-03-16,GSW,LAL,N/A,N/A,N/A,N/A,False
2024-03-18,GSW,NYK,7:43,3,1,0,False
2024-03-20,GSW,MEM,4:04,3,0,0,False
2024-03-22,GSW,IND,6:25,4,0,1,False
2024-03-24,GSW,MIN,N/A,N/A,N/A,N/A,False
2024-03-26,GSW,MIA,6:03,9,1,0,False
2024-03-27,GSW,ORL,23:35,12,3,5,False
2024-03-29,GSW,CHO,24:52,15,3,4,False
2024-03-31,GSW,SAS,21:58,10,1,4,False
2024-04-02,GSW,DAL,20:11,12,0,3,False
2024-04-04,GSW,HOU,23:49,9,1,3,False
2024-04-05,GSW,DAL,26:31,9,2,2,True
2024-04-07,GSW,UTA,25:59,8,2,6,False
2024-04-09,GSW,LAL,1:47,0,1,1,False
2024-04-11,GSW,POR,21:22,8,1,2,False
2024-04-12,GSW,NOP,18:51,9,1,3,False
2024-04-14,GSW,UTA,16:57,9,2,1,False
