Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MIA,CHI,N/A,N/A,N/A,N/A,False
2022-10-21,MIA,BOS,N/A,N/A,N/A,N/A,False
2022-10-22,MIA,TOR,N/A,N/A,N/A,N/A,False
2022-10-24,MIA,TOR,N/A,N/A,N/A,N/A,False
2022-10-26,MIA,POR,13:43,2,0,2,False
2022-10-27,MIA,GSW,7:36,4,1,0,False
2022-10-29,MIA,SAC,0:50,0,0,0,False
2022-11-01,MIA,GSW,N/A,N/A,N/A,N/A,False
2022-11-02,MIA,SAC,N/A,N/A,N/A,N/A,False
2022-11-04,MIA,IND,N/A,N/A,N/A,N/A,False
2022-11-07,MIA,POR,N/A,N/A,N/A,N/A,False
2022-11-10,MIA,CHO,N/A,N/A,N/A,N/A,False
2022-11-12,MIA,CHO,1:38,3,0,0,False
2022-11-14,MIA,PHO,N/A,N/A,N/A,N/A,False
2022-11-16,MIA,TOR,23:49,13,1,3,True
2022-11-18,MIA,WAS,30:14,18,0,6,True
2022-11-20,MIA,CLE,32:13,7,5,4,True
2022-11-21,MIA,MIN,22:53,4,3,5,True
2022-11-23,MIA,WAS,12:28,7,0,5,True
2022-11-25,MIA,WAS,14:28,7,0,1,True
2022-11-27,MIA,ATL,N/A,N/A,N/A,N/A,False
2022-11-30,MIA,BOS,N/A,N/A,N/A,N/A,False
2022-12-02,MIA,BOS,N/A,N/A,N/A,N/A,False
2022-12-05,MIA,MEM,N/A,N/A,N/A,N/A,False
2022-12-06,MIA,DET,9:00,5,0,1,False
2022-12-08,MIA,LAC,N/A,N/A,N/A,N/A,False
2022-12-10,MIA,SAS,N/A,N/A,N/A,N/A,False
2022-12-12,MIA,IND,N/A,N/A,N/A,N/A,False
2022-12-14,MIA,OKC,N/A,N/A,N/A,N/A,False
2022-12-15,MIA,HOU,N/A,N/A,N/A,N/A,False
2022-12-17,MIA,SAS,14:47,3,0,1,True
2022-12-20,MIA,CHI,1:21,0,0,0,False
2022-12-23,MIA,IND,N/A,N/A,N/A,N/A,False
2022-12-26,MIA,MIN,18:57,9,0,3,True
2022-12-28,MIA,LAL,0:27,0,0,0,False
2022-12-30,MIA,DEN,N/A,N/A,N/A,N/A,False
2022-12-31,MIA,UTA,N/A,N/A,N/A,N/A,False
2023-01-02,MIA,LAC,N/A,N/A,N/A,N/A,False
2023-01-04,MIA,LAL,N/A,N/A,N/A,N/A,False
2023-01-06,MIA,PHO,N/A,N/A,N/A,N/A,False
2023-01-08,MIA,BRK,N/A,N/A,N/A,N/A,False
2023-01-10,MIA,OKC,N/A,N/A,N/A,N/A,False
2023-01-12,MIA,MIL,N/A,N/A,N/A,N/A,False
2023-01-14,MIA,MIL,N/A,N/A,N/A,N/A,False
2023-01-16,MIA,ATL,N/A,N/A,N/A,N/A,False
2023-01-18,MIA,NOP,N/A,N/A,N/A,N/A,False
2023-01-20,MIA,DAL,N/A,N/A,N/A,N/A,False
2023-01-22,MIA,NOP,N/A,N/A,N/A,N/A,False
2023-01-24,MIA,BOS,N/A,N/A,N/A,N/A,False
2023-01-27,MIA,ORL,N/A,N/A,N/A,N/A,False
2023-01-29,MIA,CHO,N/A,N/A,N/A,N/A,False
2023-01-31,MIA,CLE,N/A,N/A,N/A,N/A,False
2023-02-02,MIA,NYK,N/A,N/A,N/A,N/A,False
2023-02-04,MIA,MIL,N/A,N/A,N/A,N/A,False
2023-02-08,MIA,IND,N/A,N/A,N/A,N/A,False
2023-02-10,MIA,HOU,N/A,N/A,N/A,N/A,False
2023-02-11,MIA,ORL,N/A,N/A,N/A,N/A,False
2023-02-13,MIA,DEN,N/A,N/A,N/A,N/A,False
2023-02-15,MIA,BRK,N/A,N/A,N/A,N/A,False
2023-02-24,MIA,MIL,N/A,N/A,N/A,N/A,False
2023-02-25,MIA,CHO,N/A,N/A,N/A,N/A,False
2023-02-27,MIA,PHI,N/A,N/A,N/A,N/A,False
2023-03-01,MIA,PHI,N/A,N/A,N/A,N/A,False
2023-03-03,MIA,NYK,N/A,N/A,N/A,N/A,False
2023-03-04,MIA,ATL,N/A,N/A,N/A,N/A,False
2023-03-06,MIA,ATL,N/A,N/A,N/A,N/A,False
2023-03-08,MIA,CLE,N/A,N/A,N/A,N/A,False
2023-03-10,MIA,CLE,N/A,N/A,N/A,N/A,False
2023-03-11,MIA,ORL,N/A,N/A,N/A,N/A,False
2023-03-13,MIA,UTA,N/A,N/A,N/A,N/A,False
2023-03-15,MIA,MEM,N/A,N/A,N/A,N/A,False
2023-03-18,MIA,CHI,N/A,N/A,N/A,N/A,False
2023-03-19,MIA,DET,N/A,N/A,N/A,N/A,False
2023-03-22,MIA,NYK,N/A,N/A,N/A,N/A,False
2023-03-25,MIA,BRK,N/A,N/A,N/A,N/A,False
2023-03-28,MIA,TOR,N/A,N/A,N/A,N/A,False
2023-03-29,MIA,NYK,N/A,N/A,N/A,N/A,False
2023-04-01,MIA,DAL,N/A,N/A,N/A,N/A,False
2023-04-04,MIA,DET,N/A,N/A,N/A,N/A,False
2023-04-06,MIA,PHI,N/A,N/A,N/A,N/A,False
2023-04-07,MIA,WAS,N/A,N/A,N/A,N/A,False
2023-04-09,MIA,ORL,N/A,N/A,N/A,N/A,False
