Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,TOR,CLE,17:32,4,0,0,False
2018-10-19,TOR,BOS,21:18,9,0,4,False
2018-10-20,TOR,WAS,29:00,12,1,4,True
2018-10-22,TOR,CHO,24:44,5,1,4,False
2018-10-24,TOR,MIN,28:17,6,1,5,False
2018-10-26,TOR,DAL,N/A,N/A,N/A,N/A,False
2018-10-29,TOR,MIL,N/A,N/A,N/A,N/A,False
2018-10-30,TOR,PHI,N/A,N/A,N/A,N/A,False
2018-11-02,TOR,PHO,21:24,2,0,1,False
2018-11-04,TOR,LAL,24:04,7,2,1,True
2018-11-05,TOR,UTA,24:56,17,0,1,True
2018-11-07,TOR,SAC,23:45,11,0,7,False
2018-11-10,TOR,NYK,24:45,16,0,2,False
2018-11-12,TOR,NOP,24:14,17,0,2,False
2018-11-14,TOR,DET,23:58,7,2,3,False
2018-11-16,TOR,BOS,9:21,5,0,0,False
2018-11-17,TOR,CHI,N/A,N/A,N/A,N/A,False
2018-11-20,TOR,ORL,N/A,N/A,N/A,N/A,False
2018-11-21,TOR,ATL,N/A,N/A,N/A,N/A,False
2018-11-23,TOR,WAS,19:03,15,1,0,False
2018-11-25,TOR,MIA,15:41,4,1,3,False
2018-11-27,TOR,MEM,17:03,5,0,1,False
2018-11-29,TOR,GSW,16:09,5,0,3,False
2018-12-01,TOR,CLE,21:36,8,1,6,False
2018-12-03,TOR,DEN,11:32,6,0,1,False
2018-12-05,TOR,PHI,18:20,4,2,5,False
2018-12-07,TOR,BRK,16:55,3,0,4,False
2018-12-09,TOR,MIL,12:23,2,0,2,False
2018-12-11,TOR,LAC,20:34,12,0,2,False
2018-12-12,TOR,GSW,19:05,4,0,3,False
2018-12-14,TOR,POR,18:34,5,1,1,False
2018-12-16,TOR,DEN,25:38,7,1,5,False
2018-12-19,TOR,IND,20:16,8,1,2,False
2018-12-21,TOR,CLE,22:10,21,0,8,True
2018-12-22,TOR,PHI,26:29,5,1,5,True
2018-12-26,TOR,MIA,25:22,5,2,8,False
2018-12-28,TOR,ORL,22:50,8,1,2,False
2018-12-30,TOR,CHI,20:35,5,2,3,False
2019-01-01,TOR,UTA,17:55,2,3,2,False
2019-01-03,TOR,SAS,17:48,0,1,2,False
2019-01-05,TOR,MIL,16:41,3,0,2,False
2019-01-06,TOR,IND,24:17,5,1,5,False
2019-01-08,TOR,ATL,28:04,14,1,2,False
2019-01-11,TOR,BRK,22:03,13,1,3,False
2019-01-13,TOR,WAS,21:06,7,0,4,False
2019-01-16,TOR,BOS,N/A,N/A,N/A,N/A,False
2019-01-17,TOR,PHO,N/A,N/A,N/A,N/A,False
2019-01-19,TOR,MEM,N/A,N/A,N/A,N/A,False
2019-01-22,TOR,SAC,N/A,N/A,N/A,N/A,False
2019-01-23,TOR,IND,N/A,N/A,N/A,N/A,False
2019-01-25,TOR,HOU,10:31,2,0,1,False
2019-01-27,TOR,DAL,10:56,5,0,2,False
2019-01-31,TOR,MIL,6:33,0,1,1,False
2019-02-03,TOR,LAC,23:40,4,0,3,False
2019-02-05,TOR,PHI,13:56,2,2,4,False
2019-02-07,TOR,ATL,25:43,6,1,8,False
2019-02-09,TOR,NYK,15:51,2,0,3,False
2019-02-11,TOR,BRK,17:46,6,1,2,False
2019-02-13,TOR,WAS,35:43,22,0,5,False
2019-02-22,TOR,SAS,16:03,9,0,2,False
2019-02-24,TOR,ORL,24:23,5,0,6,True
2019-02-26,TOR,BOS,19:56,5,1,1,False
2019-03-01,TOR,POR,13:48,2,0,0,False
2019-03-03,TOR,DET,34:45,13,0,6,False
2019-03-05,TOR,HOU,13:41,3,0,1,False
2019-03-08,TOR,NOP,22:46,7,3,3,False
2019-03-10,TOR,MIA,23:55,11,1,3,False
2019-03-11,TOR,CLE,25:38,8,1,4,False
2019-03-14,TOR,LAL,23:52,7,0,4,False
2019-03-17,TOR,DET,18:40,8,0,3,False
2019-03-18,TOR,NYK,17:38,14,1,3,False
2019-03-20,TOR,OKC,13:50,6,1,3,False
2019-03-22,TOR,OKC,16:51,2,0,1,False
2019-03-24,TOR,CHO,14:32,3,2,2,False
2019-03-26,TOR,CHI,24:58,10,1,1,False
2019-03-28,TOR,NYK,N/A,N/A,N/A,N/A,False
2019-03-30,TOR,CHI,N/A,N/A,N/A,N/A,False
2019-04-01,TOR,ORL,N/A,N/A,N/A,N/A,False
2019-04-03,TOR,BRK,N/A,N/A,N/A,N/A,False
2019-04-05,TOR,CHO,15:42,4,0,0,False
2019-04-07,TOR,MIA,16:41,0,1,2,False
2019-04-09,TOR,MIN,18:29,9,2,5,False
