Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-19,BRK,MIL,N/A,N/A,N/A,N/A,False
2021-10-22,BRK,PHI,N/A,N/A,N/A,N/A,False
2021-10-24,BRK,CHO,1:29,0,0,0,False
2021-10-25,BRK,WAS,4:03,2,0,0,False
2021-10-27,BRK,MIA,1:34,0,0,0,False
2021-10-29,BRK,IND,N/A,N/A,N/A,N/A,False
2021-10-31,BRK,DET,6:39,5,0,2,False
2021-11-03,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-11-05,BRK,DET,N/A,N/A,N/A,N/A,False
2021-11-07,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-11-08,BRK,CHI,3:14,2,0,1,False
2021-11-10,BRK,ORL,6:54,4,0,5,False
2021-11-12,BRK,NOP,N/A,N/A,N/A,N/A,False
2021-11-14,BRK,OKC,N/A,N/A,N/A,N/A,False
2021-11-16,BRK,GSW,9:04,4,0,7,False
2021-11-17,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-11-19,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-11-22,BRK,CLE,N/A,N/A,N/A,N/A,False
2021-11-24,BRK,BOS,2:39,4,0,2,False
2021-11-27,BRK,PHO,N/A,N/A,N/A,N/A,False
2021-11-30,BRK,NYK,N/A,N/A,N/A,N/A,False
2021-12-03,BRK,MIN,N/A,N/A,N/A,N/A,False
2021-12-04,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-12-07,BRK,DAL,N/A,N/A,N/A,N/A,False
2021-12-08,BRK,HOU,N/A,N/A,N/A,N/A,False
2021-12-10,BRK,ATL,N/A,N/A,N/A,N/A,False
2021-12-12,BRK,DET,N/A,N/A,N/A,N/A,False
2021-12-14,BRK,TOR,13:11,7,0,7,False
2021-12-16,BRK,PHI,13:21,3,0,5,False
2021-12-18,BRK,ORL,N/A,N/A,N/A,N/A,False
2021-12-25,BRK,LAL,N/A,N/A,N/A,N/A,False
2021-12-27,BRK,LAC,N/A,N/A,N/A,N/A,False
2021-12-30,BRK,PHI,N/A,N/A,N/A,N/A,False
2022-01-01,BRK,LAC,N/A,N/A,N/A,N/A,False
2022-01-03,BRK,MEM,9:24,6,0,4,False
2022-01-05,BRK,IND,N/A,N/A,N/A,N/A,False
2022-01-07,BRK,MIL,6:58,6,0,3,False
2022-01-09,BRK,SAS,11:16,7,0,6,False
2022-01-10,BRK,POR,24:00,14,2,7,False
2022-01-12,BRK,CHI,21:40,20,0,7,True
2022-01-13,BRK,OKC,19:55,4,1,6,True
2022-01-15,BRK,NOP,26:51,12,0,10,True
2022-01-17,BRK,CLE,23:42,10,2,6,True
2022-01-19,BRK,WAS,15:54,14,2,6,True
2022-01-21,BRK,SAS,14:14,6,0,10,True
2022-01-23,BRK,MIN,21:58,8,0,9,True
2022-01-25,BRK,LAL,10:58,4,0,8,True
2022-01-26,BRK,DEN,N/A,N/A,N/A,N/A,False
2022-01-29,BRK,GSW,N/A,N/A,N/A,N/A,False
2022-02-01,BRK,PHO,2:42,2,0,1,False
2022-02-02,BRK,SAC,N/A,N/A,N/A,N/A,False
2022-02-04,BRK,UTA,16:22,11,2,8,False
2022-02-06,BRK,DEN,13:31,4,1,1,False
2022-02-08,BRK,BOS,24:29,2,2,9,False
2022-02-10,BRK,WAS,17:14,9,0,10,False
2022-02-12,BRK,MIA,27:06,10,3,12,False
2022-02-14,BRK,SAC,1:36,2,0,0,False
2022-02-16,BRK,NYK,N/A,N/A,N/A,N/A,False
2022-02-17,BRK,WAS,1:08,0,0,0,False
2022-02-24,BRK,BOS,5:32,7,1,1,False
2022-02-26,BRK,MIL,N/A,N/A,N/A,N/A,False
2022-02-28,BRK,TOR,12:00,9,1,7,False
2022-03-01,BRK,TOR,N/A,N/A,N/A,N/A,False
2022-03-03,BRK,MIA,N/A,N/A,N/A,N/A,False
2022-03-06,BRK,BOS,N/A,N/A,N/A,N/A,False
2022-03-08,BRK,CHO,N/A,N/A,N/A,N/A,False
2022-03-10,BRK,PHI,N/A,N/A,N/A,N/A,False
2022-03-13,BRK,NYK,N/A,N/A,N/A,N/A,False
2022-03-15,BRK,ORL,N/A,N/A,N/A,N/A,False
2022-03-16,BRK,DAL,N/A,N/A,N/A,N/A,False
2022-03-18,BRK,POR,N/A,N/A,N/A,N/A,False
2022-03-21,BRK,UTA,N/A,N/A,N/A,N/A,False
2022-03-23,BRK,MEM,N/A,N/A,N/A,N/A,False
2022-03-26,BRK,MIA,N/A,N/A,N/A,N/A,False
2022-03-27,BRK,CHO,N/A,N/A,N/A,N/A,False
2022-03-29,BRK,DET,N/A,N/A,N/A,N/A,False
2022-03-31,BRK,MIL,N/A,N/A,N/A,N/A,False
2022-04-02,BRK,ATL,N/A,N/A,N/A,N/A,False
2022-04-05,BRK,HOU,N/A,N/A,N/A,N/A,False
2022-04-06,BRK,NYK,N/A,N/A,N/A,N/A,False
2022-04-08,BRK,CLE,N/A,N/A,N/A,N/A,False
2022-04-10,BRK,IND,N/A,N/A,N/A,N/A,False
