Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,PHO,DAL,3:57,0,0,1,False
2022-10-21,PHO,POR,13:36,2,0,3,False
2022-10-23,PHO,LAC,1:14,2,0,1,False
2022-10-25,PHO,GSW,1:31,2,0,0,False
2022-10-28,PHO,NOP,1:38,0,0,3,False
2022-10-30,PHO,HOU,1:01,2,0,0,False
2022-11-01,PHO,MIN,N/A,N/A,N/A,N/A,False
2022-11-04,PHO,POR,5:04,0,0,1,False
2022-11-05,PHO,POR,16:11,4,0,3,False
2022-11-07,PHO,PHI,1:19,0,0,0,False
2022-11-09,PHO,MIN,3:14,0,0,0,False
2022-11-11,PHO,ORL,7:49,0,0,1,False
2022-11-14,PHO,MIA,6:36,0,1,1,False
2022-11-16,PHO,GSW,8:38,0,2,2,False
2022-11-18,PHO,UTA,3:00,0,0,1,False
2022-11-20,PHO,NYK,13:20,7,1,5,False
2022-11-22,PHO,LAL,6:55,0,1,2,False
2022-11-25,PHO,DET,14:09,7,1,2,False
2022-11-26,PHO,UTA,N/A,N/A,N/A,N/A,False
2022-11-28,PHO,SAC,N/A,N/A,N/A,N/A,False
2022-11-30,PHO,CHI,3:16,0,0,1,False
2022-12-02,PHO,HOU,N/A,N/A,N/A,N/A,False
2022-12-04,PHO,SAS,26:13,9,6,11,False
2022-12-05,PHO,DAL,27:30,12,3,2,False
2022-12-07,PHO,BOS,23:23,28,2,7,False
2022-12-09,PHO,NOP,12:44,3,1,2,False
2022-12-11,PHO,NOP,5:45,2,1,2,False
2022-12-13,PHO,HOU,20:02,10,3,6,False
2022-12-15,PHO,LAC,25:20,11,2,11,False
2022-12-17,PHO,NOP,23:20,7,1,6,False
2022-12-19,PHO,LAL,9:52,3,0,3,False
2022-12-20,PHO,WAS,N/A,N/A,N/A,N/A,False
2022-12-23,PHO,MEM,24:03,7,3,4,False
2022-12-25,PHO,DEN,10:19,4,1,2,False
2022-12-27,PHO,MEM,25:36,12,2,6,False
2022-12-28,PHO,WAS,20:40,3,2,4,False
2022-12-30,PHO,TOR,12:16,5,2,1,True
2023-01-02,PHO,NYK,4:12,2,0,1,False
2023-01-04,PHO,CLE,N/A,N/A,N/A,N/A,False
2023-01-06,PHO,MIA,5:41,1,0,1,False
2023-01-08,PHO,CLE,9:20,4,1,1,False
2023-01-10,PHO,GSW,24:18,7,1,5,False
2023-01-11,PHO,DEN,34:00,14,5,9,False
2023-01-13,PHO,MIN,20:05,7,1,3,False
2023-01-16,PHO,MEM,9:25,9,0,1,False
2023-01-19,PHO,BRK,N/A,N/A,N/A,N/A,False
2023-01-21,PHO,IND,34:07,24,4,10,False
2023-01-22,PHO,MEM,13:22,4,0,3,False
2023-01-24,PHO,CHO,24:10,9,2,7,False
2023-01-26,PHO,DAL,9:10,0,0,1,False
2023-01-28,PHO,SAS,11:44,2,2,0,False
2023-01-30,PHO,TOR,5:50,3,1,1,False
2023-02-01,PHO,ATL,15:22,2,3,2,False
2023-02-03,PHO,BOS,N/A,N/A,N/A,N/A,False
2023-02-04,PHO,DET,N/A,N/A,N/A,N/A,False
2023-02-07,PHO,BRK,N/A,N/A,N/A,N/A,False
2023-02-09,PHO,ATL,32:01,25,3,4,False
2023-02-10,PHO,IND,35:20,17,0,6,True
2023-02-14,PHO,SAC,39:26,19,3,6,True
2023-02-16,PHO,LAC,41:03,24,1,5,True
2023-02-24,PHO,OKC,31:59,15,2,7,True
2023-02-26,PHO,MIL,32:45,11,0,7,True
2023-03-01,PHO,CHO,33:24,4,1,3,True
2023-03-03,PHO,CHI,32:02,25,0,4,True
2023-03-05,PHO,DAL,21:47,9,0,1,True
2023-03-08,PHO,OKC,20:55,5,3,4,True
2023-03-11,PHO,SAC,34:57,15,0,1,True
2023-03-13,PHO,GSW,32:03,11,2,3,True
2023-03-14,PHO,MIL,35:02,8,4,7,True
2023-03-16,PHO,ORL,30:25,15,4,4,True
2023-03-19,PHO,OKC,20:38,8,3,3,True
2023-03-22,PHO,LAL,19:53,5,2,3,True
2023-03-24,PHO,SAC,20:30,4,2,4,True
2023-03-25,PHO,PHI,24:48,7,6,1,True
2023-03-27,PHO,UTA,21:23,9,2,2,True
2023-03-29,PHO,MIN,32:47,10,0,9,True
2023-03-31,PHO,DEN,28:43,14,0,5,True
2023-04-02,PHO,OKC,26:27,4,2,3,True
2023-04-04,PHO,SAS,20:14,1,3,4,True
2023-04-06,PHO,DEN,21:49,5,2,3,True
2023-04-07,PHO,LAL,29:25,16,2,6,True
2023-04-09,PHO,LAC,30:26,13,3,7,True
