Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,DET,MIA,16:11,8,3,8,False
2023-10-27,DET,CHO,13:09,14,1,4,False
2023-10-28,DET,CHI,14:47,11,0,6,False
2023-10-30,DET,OKC,24:01,13,1,4,False
2023-11-01,DET,POR,33:19,10,3,6,True
2023-11-02,DET,NOP,13:21,6,0,9,False
2023-11-05,DET,PHO,11:20,11,1,2,False
2023-11-06,DET,GSW,24:28,10,1,2,True
2023-11-08,DET,MIL,19:33,12,2,2,False
2023-11-10,DET,PHI,13:18,6,1,5,False
2023-11-12,DET,CHI,23:05,14,1,5,True
2023-11-14,DET,ATL,30:12,22,1,11,True
2023-11-17,DET,CLE,15:51,8,1,3,False
2023-11-19,DET,TOR,14:55,6,3,2,False
2023-11-20,DET,DEN,25:45,18,1,8,True
2023-11-24,DET,IND,14:13,6,2,6,True
2023-11-27,DET,WAS,N/A,N/A,N/A,N/A,False
2023-11-29,DET,LAL,14:29,4,0,2,False
2023-11-30,DET,NYK,14:28,8,1,3,False
2023-12-02,DET,CLE,6:55,0,0,3,False
2023-12-06,DET,MEM,N/A,N/A,N/A,N/A,False
2023-12-08,DET,ORL,22:58,9,0,5,True
2023-12-11,DET,IND,N/A,N/A,N/A,N/A,False
2023-12-13,DET,PHI,N/A,N/A,N/A,N/A,False
2023-12-15,DET,PHI,N/A,N/A,N/A,N/A,False
2023-12-16,DET,MIL,21:58,12,1,7,True
2023-12-18,DET,ATL,22:44,17,0,1,True
2023-12-21,DET,UTA,30:39,22,0,5,True
2023-12-23,DET,BRK,15:21,5,0,5,False
2023-12-26,DET,BRK,N/A,N/A,N/A,N/A,False
2023-12-28,DET,BOS,N/A,N/A,N/A,N/A,False
2023-12-30,DET,TOR,N/A,N/A,N/A,N/A,False
2024-01-01,DET,HOU,9:13,2,2,0,False
2024-01-03,DET,UTA,N/A,N/A,N/A,N/A,False
2024-01-05,DET,GSW,N/A,N/A,N/A,N/A,False
2024-01-07,DET,DEN,N/A,N/A,N/A,N/A,False
2024-01-09,DET,SAC,N/A,N/A,N/A,N/A,False
2024-01-10,DET,SAS,N/A,N/A,N/A,N/A,False
2024-01-12,DET,HOU,12:13,11,1,4,False
2024-01-15,WAS,DET,N/A,N/A,N/A,N/A,False
2024-01-18,WAS,NYK,39:07,20,2,11,True
2024-01-20,WAS,SAS,35:38,21,2,12,True
2024-01-21,WAS,DEN,17:35,14,1,7,False
2024-01-24,WAS,MIN,25:59,17,0,15,False
2024-01-25,WAS,UTA,16:11,14,1,3,False
2024-01-27,WAS,DET,19:56,13,2,8,False
2024-01-29,WAS,SAS,19:44,15,1,3,False
2024-01-31,WAS,LAC,17:57,10,2,8,False
2024-02-02,WAS,MIA,N/A,N/A,N/A,N/A,False
2024-02-04,WAS,PHO,N/A,N/A,N/A,N/A,False
2024-02-07,WAS,CLE,N/A,N/A,N/A,N/A,False
2024-02-09,WAS,BOS,N/A,N/A,N/A,N/A,False
2024-02-10,WAS,PHI,14:52,2,0,1,True
2024-02-12,WAS,DAL,28:04,12,2,13,True
2024-02-14,WAS,NOP,30:05,14,2,10,True
2024-02-22,WAS,DEN,17:21,8,2,7,True
2024-02-23,WAS,OKC,20:58,15,1,14,True
2024-02-25,WAS,CLE,32:59,9,2,10,True
2024-02-27,WAS,GSW,32:56,20,2,9,True
2024-02-29,WAS,LAL,33:41,23,1,4,True
2024-03-01,WAS,LAC,27:50,10,0,10,True
2024-03-04,WAS,UTA,23:04,6,4,9,True
2024-03-06,WAS,ORL,N/A,N/A,N/A,N/A,False
2024-03-08,WAS,CHO,N/A,N/A,N/A,N/A,False
2024-03-10,WAS,MIA,N/A,N/A,N/A,N/A,False
2024-03-12,WAS,MEM,N/A,N/A,N/A,N/A,False
2024-03-14,WAS,HOU,N/A,N/A,N/A,N/A,False
2024-03-16,WAS,CHI,N/A,N/A,N/A,N/A,False
2024-03-17,WAS,BOS,N/A,N/A,N/A,N/A,False
2024-03-19,WAS,HOU,N/A,N/A,N/A,N/A,False
2024-03-21,WAS,SAC,N/A,N/A,N/A,N/A,False
2024-03-23,WAS,TOR,16:24,10,0,8,False
2024-03-25,WAS,CHI,17:20,16,0,2,False
2024-03-27,WAS,BRK,24:50,18,0,6,False
2024-03-29,WAS,DET,27:09,15,1,11,True
2024-03-31,WAS,MIA,25:53,12,0,10,True
2024-04-02,WAS,MIL,9:21,4,0,3,True
2024-04-03,WAS,LAL,N/A,N/A,N/A,N/A,False
2024-04-05,WAS,POR,N/A,N/A,N/A,N/A,False
2024-04-07,WAS,TOR,N/A,N/A,N/A,N/A,False
2024-04-09,WAS,MIN,N/A,N/A,N/A,N/A,False
2024-04-12,WAS,CHI,N/A,N/A,N/A,N/A,False
2024-04-14,WAS,BOS,N/A,N/A,N/A,N/A,False
