Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,DEN,UTA,N/A,N/A,N/A,N/A,False
2022-10-21,DEN,GSW,N/A,N/A,N/A,N/A,False
2022-10-22,DEN,OKC,N/A,N/A,N/A,N/A,False
2022-10-24,DEN,POR,N/A,N/A,N/A,N/A,False
2022-10-26,DEN,LAL,N/A,N/A,N/A,N/A,False
2022-10-28,DEN,UTA,N/A,N/A,N/A,N/A,False
2022-10-30,DEN,LAL,N/A,N/A,N/A,N/A,False
2022-11-03,DEN,OKC,N/A,N/A,N/A,N/A,False
2022-11-05,DEN,SAS,N/A,N/A,N/A,N/A,False
2022-11-07,DEN,SAS,N/A,N/A,N/A,N/A,False
2022-11-09,DEN,IND,N/A,N/A,N/A,N/A,False
2022-11-11,DEN,BOS,N/A,N/A,N/A,N/A,False
2022-11-13,DEN,CHI,N/A,N/A,N/A,N/A,False
2022-11-16,DEN,NYK,N/A,N/A,N/A,N/A,False
2022-11-18,DEN,DAL,N/A,N/A,N/A,N/A,False
2022-11-20,DEN,DAL,N/A,N/A,N/A,N/A,False
2022-11-22,DEN,DET,N/A,N/A,N/A,N/A,False
2022-11-23,DEN,OKC,N/A,N/A,N/A,N/A,False
2022-11-25,DEN,LAC,N/A,N/A,N/A,N/A,False
2022-11-28,DEN,HOU,N/A,N/A,N/A,N/A,False
2022-11-30,DEN,HOU,N/A,N/A,N/A,N/A,False
2022-12-02,DEN,ATL,N/A,N/A,N/A,N/A,False
2022-12-04,DEN,NOP,N/A,N/A,N/A,N/A,False
2022-12-06,DEN,DAL,N/A,N/A,N/A,N/A,False
2022-12-08,DEN,POR,N/A,N/A,N/A,N/A,False
2022-12-10,DEN,UTA,N/A,N/A,N/A,N/A,False
2022-12-14,DEN,WAS,N/A,N/A,N/A,N/A,False
2022-12-16,DEN,LAL,N/A,N/A,N/A,N/A,False
2022-12-18,DEN,CHO,N/A,N/A,N/A,N/A,False
2022-12-20,DEN,MEM,N/A,N/A,N/A,N/A,False
2022-12-23,DEN,POR,N/A,N/A,N/A,N/A,False
2022-12-25,DEN,PHO,N/A,N/A,N/A,N/A,False
2022-12-27,DEN,SAC,N/A,N/A,N/A,N/A,False
2022-12-28,DEN,SAC,N/A,N/A,N/A,N/A,False
2022-12-30,DEN,MIA,N/A,N/A,N/A,N/A,False
2023-01-01,DEN,BOS,N/A,N/A,N/A,N/A,False
2023-01-02,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-01-05,DEN,LAC,N/A,N/A,N/A,N/A,False
2023-01-06,DEN,CLE,N/A,N/A,N/A,N/A,False
2023-01-09,DEN,LAL,N/A,N/A,N/A,N/A,False
2023-01-11,DEN,PHO,N/A,N/A,N/A,N/A,False
2023-01-13,DEN,LAC,N/A,N/A,N/A,N/A,False
2023-01-15,DEN,ORL,N/A,N/A,N/A,N/A,False
2023-01-17,DEN,POR,N/A,N/A,N/A,N/A,False
2023-01-18,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-01-20,DEN,IND,N/A,N/A,N/A,N/A,False
2023-01-22,DEN,OKC,N/A,N/A,N/A,N/A,False
2023-01-24,DEN,NOP,N/A,N/A,N/A,N/A,False
2023-01-25,DEN,MIL,N/A,N/A,N/A,N/A,False
2023-01-28,DEN,PHI,N/A,N/A,N/A,N/A,False
2023-01-31,DEN,NOP,N/A,N/A,N/A,N/A,False
2023-02-02,DEN,GSW,N/A,N/A,N/A,N/A,False
2023-02-04,DEN,ATL,N/A,N/A,N/A,N/A,False
2023-02-05,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-02-07,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-02-09,DEN,ORL,N/A,N/A,N/A,N/A,False
2023-02-11,DEN,CHO,N/A,N/A,N/A,N/A,False
2023-02-13,DEN,MIA,N/A,N/A,N/A,N/A,False
2023-02-15,DEN,DAL,N/A,N/A,N/A,N/A,False
2023-02-23,DEN,CLE,N/A,N/A,N/A,N/A,False
2023-02-25,DEN,MEM,N/A,N/A,N/A,N/A,False
2023-02-26,DEN,LAC,N/A,N/A,N/A,N/A,False
2023-02-28,DEN,HOU,N/A,N/A,N/A,N/A,False
2023-03-03,DEN,MEM,N/A,N/A,N/A,N/A,False
2023-03-06,DEN,TOR,N/A,N/A,N/A,N/A,False
2023-03-08,DEN,CHI,N/A,N/A,N/A,N/A,False
2023-03-10,DEN,SAS,N/A,N/A,N/A,N/A,False
2023-03-12,DEN,BRK,N/A,N/A,N/A,N/A,False
2023-03-14,DEN,TOR,N/A,N/A,N/A,N/A,False
2023-03-16,DEN,DET,N/A,N/A,N/A,N/A,False
2023-03-18,DEN,NYK,N/A,N/A,N/A,N/A,False
2023-03-19,DEN,BRK,N/A,N/A,N/A,N/A,False
2023-03-22,DEN,WAS,N/A,N/A,N/A,N/A,False
2023-03-25,DEN,MIL,N/A,N/A,N/A,N/A,False
2023-03-27,DEN,PHI,N/A,N/A,N/A,N/A,False
2023-03-30,DEN,NOP,N/A,N/A,N/A,N/A,False
2023-03-31,DEN,PHO,N/A,N/A,N/A,N/A,False
2023-04-02,DEN,GSW,N/A,N/A,N/A,N/A,False
2023-04-04,DEN,HOU,N/A,N/A,N/A,N/A,False
2023-04-06,DEN,PHO,N/A,N/A,N/A,N/A,False
2023-04-08,DEN,UTA,N/A,N/A,N/A,N/A,False
2023-04-09,DEN,SAC,N/A,N/A,N/A,N/A,False
