Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-18,LAL,GSW,1:52,2,0,0,False
2022-10-20,LAL,LAC,N/A,N/A,N/A,N/A,False
2022-10-23,LAL,POR,N/A,N/A,N/A,N/A,False
2022-10-26,LAL,DEN,N/A,N/A,N/A,N/A,False
2022-10-28,LAL,MIN,N/A,N/A,N/A,N/A,False
2022-10-30,LAL,DEN,N/A,N/A,N/A,N/A,False
2022-11-02,LAL,NOP,N/A,N/A,N/A,N/A,False
2022-11-04,LAL,UTA,N/A,N/A,N/A,N/A,False
2022-11-06,LAL,CLE,N/A,N/A,N/A,N/A,False
2022-11-07,LAL,UTA,6:29,1,0,2,False
2022-11-09,LAL,LAC,N/A,N/A,N/A,N/A,False
2022-11-11,LAL,SAC,N/A,N/A,N/A,N/A,False
2022-11-13,LAL,BRK,N/A,N/A,N/A,N/A,False
2022-11-18,LAL,DET,N/A,N/A,N/A,N/A,False
2022-11-20,LAL,SAS,N/A,N/A,N/A,N/A,False
2022-11-22,LAL,PHO,N/A,N/A,N/A,N/A,False
2022-11-25,LAL,SAS,N/A,N/A,N/A,N/A,False
2022-11-26,LAL,SAS,N/A,N/A,N/A,N/A,False
2022-11-28,LAL,IND,N/A,N/A,N/A,N/A,False
2022-11-30,LAL,POR,N/A,N/A,N/A,N/A,False
2022-12-02,LAL,MIL,N/A,N/A,N/A,N/A,False
2022-12-04,LAL,WAS,N/A,N/A,N/A,N/A,False
2022-12-06,LAL,CLE,N/A,N/A,N/A,N/A,False
2022-12-07,LAL,TOR,N/A,N/A,N/A,N/A,False
2022-12-09,LAL,PHI,N/A,N/A,N/A,N/A,False
2022-12-11,LAL,DET,N/A,N/A,N/A,N/A,False
2022-12-13,LAL,BOS,N/A,N/A,N/A,N/A,False
2022-12-16,LAL,DEN,N/A,N/A,N/A,N/A,False
2022-12-18,LAL,WAS,N/A,N/A,N/A,N/A,False
2022-12-19,LAL,PHO,14:30,4,1,2,False
2022-12-21,LAL,SAC,N/A,N/A,N/A,N/A,False
2022-12-23,LAL,CHO,N/A,N/A,N/A,N/A,False
2022-12-25,LAL,DAL,N/A,N/A,N/A,N/A,False
2022-12-27,LAL,ORL,N/A,N/A,N/A,N/A,False
2022-12-28,LAL,MIA,N/A,N/A,N/A,N/A,False
2022-12-30,LAL,ATL,N/A,N/A,N/A,N/A,False
2023-01-02,LAL,CHO,N/A,N/A,N/A,N/A,False
2023-01-04,LAL,MIA,N/A,N/A,N/A,N/A,False
2023-01-06,LAL,ATL,1:17,0,0,0,False
2023-01-07,LAL,SAC,N/A,N/A,N/A,N/A,False
2023-01-09,LAL,DEN,2:16,4,0,0,False
2023-01-12,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-01-15,LAL,PHI,N/A,N/A,N/A,N/A,False
2023-01-16,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-01-18,LAL,SAC,N/A,N/A,N/A,N/A,False
2023-01-20,LAL,MEM,N/A,N/A,N/A,N/A,False
2023-01-22,LAL,POR,N/A,N/A,N/A,N/A,False
2023-01-24,LAL,LAC,5:07,3,1,0,False
2023-01-25,LAL,SAS,N/A,N/A,N/A,N/A,False
2023-01-28,LAL,BOS,N/A,N/A,N/A,N/A,False
2023-01-30,LAL,BRK,N/A,N/A,N/A,N/A,False
2023-01-31,LAL,NYK,N/A,N/A,N/A,N/A,False
2023-02-02,LAL,IND,N/A,N/A,N/A,N/A,False
2023-02-04,LAL,NOP,N/A,N/A,N/A,N/A,False
2023-02-07,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-02-09,LAL,MIL,N/A,N/A,N/A,N/A,False
2023-02-11,LAL,GSW,N/A,N/A,N/A,N/A,False
2023-02-13,LAL,POR,N/A,N/A,N/A,N/A,False
2023-02-15,LAL,NOP,N/A,N/A,N/A,N/A,False
2023-02-23,LAL,GSW,N/A,N/A,N/A,N/A,False
2023-02-26,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-02-28,LAL,MEM,N/A,N/A,N/A,N/A,False
2023-03-01,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-03-03,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-03-05,LAL,GSW,N/A,N/A,N/A,N/A,False
2023-03-07,LAL,MEM,N/A,N/A,N/A,N/A,False
2023-03-10,LAL,TOR,N/A,N/A,N/A,N/A,False
2023-03-12,LAL,NYK,N/A,N/A,N/A,N/A,False
2023-03-14,LAL,NOP,N/A,N/A,N/A,N/A,False
2023-03-15,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-03-17,LAL,DAL,N/A,N/A,N/A,N/A,False
2023-03-19,LAL,ORL,N/A,N/A,N/A,N/A,False
2023-03-22,LAL,PHO,N/A,N/A,N/A,N/A,False
2023-03-24,LAL,OKC,N/A,N/A,N/A,N/A,False
2023-03-26,LAL,CHI,N/A,N/A,N/A,N/A,False
2023-03-29,LAL,CHI,N/A,N/A,N/A,N/A,False
2023-03-31,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-04-02,LAL,HOU,N/A,N/A,N/A,N/A,False
2023-04-04,LAL,UTA,N/A,N/A,N/A,N/A,False
2023-04-05,LAL,LAC,N/A,N/A,N/A,N/A,False
2023-04-07,LAL,PHO,N/A,N/A,N/A,N/A,False
2023-04-09,LAL,UTA,N/A,N/A,N/A,N/A,False
