Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,OKC,CHI,N/A,N/A,N/A,N/A,False
2023-10-27,OKC,CLE,6:00,3,1,0,False
2023-10-29,OKC,DEN,14:10,2,3,0,False
2023-10-30,OKC,DET,N/A,N/A,N/A,N/A,False
2023-11-01,OKC,NOP,N/A,N/A,N/A,N/A,False
2023-11-03,OKC,GSW,12:05,5,3,1,False
2023-11-06,OKC,ATL,N/A,N/A,N/A,N/A,False
2023-11-08,OKC,CLE,N/A,N/A,N/A,N/A,False
2023-11-10,OKC,SAC,N/A,N/A,N/A,N/A,False
2023-11-12,OKC,PHO,N/A,N/A,N/A,N/A,False
2023-11-14,OKC,SAS,19:10,8,4,1,False
2023-11-16,OKC,GSW,21:21,5,7,2,False
2023-11-18,OKC,GSW,7:53,2,1,0,False
2023-11-19,OKC,POR,6:19,0,1,0,False
2023-11-22,OKC,CHI,11:17,2,2,0,False
2023-11-25,OKC,PHI,N/A,N/A,N/A,N/A,False
2023-11-28,OKC,MIN,N/A,N/A,N/A,N/A,False
2023-11-30,OKC,LAL,N/A,N/A,N/A,N/A,False
2023-12-02,OKC,DAL,N/A,N/A,N/A,N/A,False
2023-12-06,OKC,HOU,N/A,N/A,N/A,N/A,False
2023-12-08,OKC,GSW,N/A,N/A,N/A,N/A,False
2023-12-11,OKC,UTA,15:59,2,5,1,False
2023-12-14,OKC,SAC,N/A,N/A,N/A,N/A,False
2023-12-16,OKC,DEN,N/A,N/A,N/A,N/A,False
2023-12-18,OKC,MEM,7:18,0,0,0,False
2023-12-21,OKC,LAC,N/A,N/A,N/A,N/A,False
2023-12-23,OKC,LAL,N/A,N/A,N/A,N/A,False
2023-12-26,OKC,MIN,15:59,2,4,0,False
2023-12-27,OKC,NYK,N/A,N/A,N/A,N/A,False
2023-12-29,OKC,DEN,13:44,2,2,1,False
2023-12-31,OKC,BRK,12:23,2,4,3,False
2024-01-02,OKC,BOS,10:45,3,5,1,False
2024-01-03,OKC,ATL,N/A,N/A,N/A,N/A,False
2024-01-05,OKC,BRK,12:16,6,3,0,False
2024-01-08,OKC,WAS,N/A,N/A,N/A,N/A,False
2024-01-10,OKC,MIA,14:33,4,5,1,False
2024-01-11,OKC,POR,9:07,2,2,1,False
2024-01-13,OKC,ORL,11:16,7,1,2,False
2024-01-15,OKC,LAL,15:04,6,1,1,False
2024-01-16,OKC,LAC,11:18,7,2,1,False
2024-01-18,OKC,UTA,8:57,6,1,0,False
2024-01-20,OKC,MIN,7:38,0,0,0,False
2024-01-23,OKC,POR,6:41,1,0,0,False
2024-01-24,OKC,SAS,13:47,2,3,1,False
2024-01-26,OKC,NOP,16:38,3,1,2,False
2024-01-28,OKC,DET,N/A,N/A,N/A,N/A,False
2024-01-29,OKC,MIN,4:01,0,0,1,False
2024-01-31,OKC,DEN,16:41,12,5,2,False
2024-02-02,OKC,CHO,14:04,2,4,0,False
2024-02-04,OKC,TOR,14:00,3,5,1,False
2024-02-06,OKC,UTA,10:37,0,1,1,False
2024-02-09,CHO,MIL,N/A,N/A,N/A,N/A,False
2024-02-10,CHO,MEM,26:15,18,9,1,False
2024-02-12,CHO,IND,21:11,2,4,3,False
2024-02-14,CHO,ATL,19:58,13,5,2,False
2024-02-22,CHO,UTA,19:42,4,8,2,False
2024-02-23,CHO,GSW,21:52,10,3,2,False
2024-02-25,CHO,POR,24:27,11,7,2,False
2024-02-27,CHO,MIL,16:32,2,3,0,False
2024-02-29,CHO,MIL,15:28,2,7,1,False
2024-03-01,CHO,PHI,28:06,13,7,0,False
2024-03-03,CHO,TOR,35:32,12,6,2,True
2024-03-05,CHO,ORL,28:57,21,4,5,True
2024-03-08,CHO,WAS,32:00,14,3,3,True
2024-03-09,CHO,BRK,31:22,12,10,5,True
2024-03-11,CHO,DET,32:52,11,7,5,True
2024-03-13,CHO,MEM,30:15,25,8,0,True
2024-03-15,CHO,PHO,30:39,21,3,1,True
2024-03-16,CHO,PHI,33:25,11,4,2,True
2024-03-19,CHO,ORL,26:55,20,1,1,True
2024-03-23,CHO,ATL,29:31,8,6,3,True
2024-03-25,CHO,CLE,30:44,2,4,2,True
2024-03-27,CHO,CLE,34:07,11,12,1,True
2024-03-29,CHO,GSW,32:45,10,8,2,True
2024-03-31,CHO,LAC,35:26,10,13,5,True
2024-04-01,CHO,BOS,36:57,13,9,2,True
2024-04-03,CHO,POR,N/A,N/A,N/A,N/A,False
2024-04-05,CHO,ORL,34:48,14,9,5,True
2024-04-07,CHO,OKC,31:12,17,10,1,True
2024-04-09,CHO,DAL,26:11,6,4,2,True
2024-04-10,CHO,ATL,21:43,2,5,2,True
2024-04-12,CHO,BOS,16:23,5,3,1,True
2024-04-14,CHO,CLE,9:30,3,4,1,True
